numcod,prefix,prelen,prlflg,lstseq,seqlen,suffix,suflen,btsflg,seqflg,grp_nam,rowid
"dock_cap_id",""CAP"",3,0,0,10,"",0,0,0,"","F8782469-3D18-43CB-9BA7-9A570039B548"
"dock_excp_id",""CAP"",3,0,0,10,"",0,0,0,"","D190D671-249E-483A-BD64-E3D72216496E"
"dsp_rule_id",""RUL"",3,0,0,10,"",0,0,0,"","01121281-9170-4A4D-8795-6839A4299999"
"dtlnum",""D"",1,0,0,12,"",0,1,0,"","88049854-47F4-4C28-9A91-75B458753C62"
"dumbat",""DBT"",3,0,0,10,"",0,0,0,"","BFBF1B41-ACB4-4F1C-BF5B-26C0C31D5E44"
"dumpck",""A"",1,0,0,12,"",0,1,0,"dcs_data","359E6E07-4BC2-4241-853E-6650EA927FC0"
"dumpck_dtl",""A"",1,0,0,12,"",0,1,0,"dcs_data","91E1633D-7A42-489F-B580-9836D6067DCE"
"e_signature_id","",0,0,0,10,"",0,0,0,"","42396CD3-CB49-4424-89DD-9B265CDF8894"
"ems_evt_id",""EVT"",3,0,0,12,"",0,0,0,"","5E18E41D-E367-43F5-9DDC-32A7B05267B5"
"esc_seq","",0,0,0,7,"",0,0,0,"dcs_data","B55885A5-412F-4D0F-A41E-FA3C299A3EA3"
"excp_hrs_id","EXHR",4,0,0,12,"",0,1,0,"","5047A0F2-853A-4964-A87D-FA4D8016C06B"
"excp_hrs_set_id","EXHS",4,0,0,12,"",0,0,0,"","69EE7FBB-B9B1-4003-95C1-284F6B4B8418"
"excp_id","",0,0,0,10,"",0,0,0,"dcs_data","E2CCC154-8A6E-4939-ABBA-474F258C078C"
"exec_id",""X"",1,0,0,10,"",0,0,0,"","06638CE9-4810-4DA9-BC51-726B1BA985F2"
"flr_pln_map_id","",0,0,0,7,"",0,0,0,"","4FD0BEBB-2A8D-4C45-B047-CC1C7E80BFE3"
"genctn",""GC"",2,0,0,10,"",0,0,0,"","F907273B-0361-489F-83B1-C3ACC36B0FB5"
"grp_cri_id","",0,0,0,10,"",0,0,0,"","DA4EAF90-E1F4-4666-B134-C9E09E0A7F9E"
"hist_id","",0,0,0,10,"",0,0,0,"","BF97485C-D98A-40E7-BCFF-1CD9A92BBC13"
"hld_criteria_id","",0,0,0,10,"",0,0,0,"","693E1871-13D8-48AE-BBC5-C2FBADB5C9B2"
"hld_incident_id",""HLDI"",4,0,0,10,"",0,0,0,"","F3AFE367-6C30-493C-9943-832BBEB55215"
"hldhst_id","",0,0,0,10,"",0,1,0,"","3D12BAF0-F262-4E24-AA97-AFA2226C264F"
"hldnum",""HLD"",3,0,0,10,"",0,0,0,"","F9C3D72B-BDCE-4D69-B0BA-208ED9A19258"
"hrs_opr_id","HROP",4,0,0,12,"",0,1,0,"","C258F3F3-1277-4E78-AEF5-3C62AB125F30"
"hrs_opr_set_id","HROS",4,0,0,12,"",0,1,0,"","A0B28105-AB4A-436B-9812-45DD1AF52A2C"
"inb_dock_id","",0,0,0,6,"",0,0,0,"","15321ECC-B79C-4295-BD6B-BD1B5362FEB5"
"inb_qlt_id",""IBQ"",3,0,0,12,"",0,1,0,"","5D68FA6E-95AE-46AA-BDCB-B05DB6333760"
"int_err_trn_id","",0,0,0,12,"",0,0,0,"sal_data","CEDA7DC6-5747-48DE-888B-95B2D60BE9C4"
"int_err_trn_msg_id",""ERR"",3,0,0,15,"",0,0,0,"sal_data","0D8FDC61-EE74-4078-8117-9F567348C88D"
"int_pnt_cfg_id","",0,0,0,5,"",0,0,0,"dcs_data","22673398-37BF-451E-ADF0-885989B7177A"
"inv_hist_id","",0,0,0,10,"",0,0,0,"","215408F0-143D-467C-B14B-0957B922F6A8"
"inv_snap_id",""IS"",2,0,0,10,"",0,0,0,"","707DD77C-1F1E-4308-9C1E-8875AF7E82E5"
"invact_id",""IA"",2,0,0,10,"",0,0,0,"","795B78C1-37DD-4598-8444-629974C34EAF"
"invadj_id",""ADJ"",3,0,0,10,"",0,0,0,"","C24E3434-D219-4CAD-A929-FD639ABAF5E5"
"invnum",""RCPT"",4,0,0,13,"",0,0,0,"","6265AEA5-8061-491E-B818-A0425ABF2BEF"
"invsts_role_id","",0,0,0,6,"",0,0,0,"dcs_data","F08F308E-74AA-4244-8587-569BC59180D5"
"invsts_rule_id","",0,0,0,10,"",0,0,0,"dcs_data","A02A377B-C2BB-4056-A8EA-188FC8D43EE3"
"kitnum",""P"",1,0,0,10,""-KIT"",4,0,0,"","30D76C24-98D4-4711-9CF2-7C9A4E0BA1A5"
"lblbat",""B"",1,0,0,6,"",0,1,0,"","31CF23FA-8C5C-4F1D-A564-294483C2478F"
"list_grp_id",""MLP"",3,0,0,15,"",0,0,0,"dcs_data","3AA8284C-DE41-49DF-8567-2F56F7100231"
"list_id",""LST"",3,0,0,15,"",0,0,0,"dcs_data","EC78412C-2F71-45BC-9912-7149EF41D3ED"
"lms_trn_id","",0,0,0,10,"",0,0,0,"","D472B461-695F-4E64-88C3-BF28856F5150"
"lmsasn","",0,0,0,15,"",0,0,0,"","B70F71F6-2743-41F7-8EE1-D0D4B477D9C6"
"loc_typ_id","",0,0,0,10,"",0,0,0,"","504B9929-414C-49F8-9AAC-DFA4D56FD03F"
"locftp_id","",0,0,0,7,"",0,0,0,"","107FF56F-EF4E-4FA7-888A-B8436C1E195C"
"lodnum",""L"",1,0,0,12,"",0,1,0,"","A0A79A40-9AF9-44CA-888E-F7122CE0174A"
"log_key","",0,0,0,32,"",0,0,0,"","450B1738-854A-4777-87D3-F1E6C4FBB256"
"lpn_rule_id",""LRID"",4,0,0,10,"",0,0,0,"","E26974BD-731A-4EE0-9D9C-380BDBCC4DAF"
"lpncntwrk_seq","",0,0,0,10,"",0,0,1,"dcs_data","84579E48-E110-4285-AE93-CCB8AC919BBA"
"lvl_typ_id","",0,0,0,15,"",0,0,0,"","43FB9895-92A6-4A80-9D25-1ABDF15357BE"
"media_id",""MED"",3,0,0,17,"",0,0,0,"","17D8E25F-A2CC-43FD-92E2-C3644F1A6010"
"metric_accum_dtl_id",""ACD"",3,0,0,13,"",0,0,1,"","744EB14C-9471-4DE8-B008-BDE7684F5134"
"metric_accum_id",""ACC"",3,0,0,13,"",0,0,1,"","409953A9-F744-4D0E-ABD8-1D3782E9C2A9"
"mod_config_id",""MOD"",3,0,0,10,"",0,0,0,"","F819D5FE-2C48-4423-ADAE-725491080613"
"module_rpt_id","",0,0,0,10,"",0,0,0,"","9B3C89F6-30A2-451F-A52E-B95565E3A13A"
"mov_zone_id","",0,0,0,10,"",0,0,0,"","395FC423-FCE3-484D-A2CC-21651A0E8471"
"move_plan_id",""MVPL"",4,0,0,12,"",0,0,0,"","60A3BF98-2388-4FCF-AEE7-6FD5CB4B857E"
"msg_id",""MSG"",3,0,0,17,"",0,0,0,"","E1D60F4A-2786-4565-94AF-9DF1842D7EB6"
"mstr_blng_invc_num",""MBI"",3,0,0,10,"",0,0,0,"","379C2777-2620-4870-B0F9-095C301D53E1"
"new_blng_invc_num",""IVC"",3,0,0,10,"",0,0,0,"","474CAB43-B25B-4245-9B65-D911D7E98F60"
"no_loc_dtl_id",""NODTL"",5,0,0,15,"",0,0,0,"dcs_data","85936A43-CDDB-4083-B763-F18FDA6C1DDE"
"no_loc_hdr_id",""NOHDR"",5,0,0,15,"",0,0,0,"dcs_data","4813ABA8-B6FB-4335-8EF6-CAE3268F4ACB"
"ordact_id",""O"",1,0,0,10,"",0,0,0,"","01F7355B-87C4-449B-9A25-FEE1F18058AB"
"ordnum",""ORD"",3,0,0,10,"",0,1,0,"","36979B7A-655E-4ED7-ABD9-DCCEBA02E0A7"
"ordtyp_pck_ded_seq_id","",0,0,0,6,"",0,0,0,"","58B6BA4E-8911-4DE6-A748-FF631F0B657C"
"out_aud_dtl_id",""ADTL"",4,0,0,12,"",0,0,0,"","B7ECE257-2B04-4B0C-8858-2D9DA87A26DC"
"out_aud_hdr_id",""AUD"",3,0,0,12,"",0,0,0,"","42DE80D2-DBF3-4A3C-9688-098C8322F43E"
"out_aud_hst_id",""AHST"",4,0,0,10,"",0,0,0,"dcs_data","04A62FB9-406E-4D0F-97C7-605BD9D75461"
"packing_rule_id",""PRID"",4,0,0,10,"",0,0,0,"","A404446B-2655-4F09-97F7-6512F4E39F46"
"palletctl_id_num","",0,0,0,4,"",0,0,0,"","22F3B187-8B71-468C-B39A-C6D4D6AFFB35"
"pck_exc_ref",""EXC"",3,0,0,10,"",0,0,0,"","B3ED6EBC-25E1-4A16-BC2D-8EEC59E23C46"
"pck_mthd_id","",0,0,0,10,"",0,0,0,"dcs_data","3B71C391-B809-4DC7-8002-1D4259F4BE24"
"pck_rel_rule_id","",0,0,0,10,"",0,0,0,"dcs_data","5F1F1025-8E7C-4367-A888-3B8B18FF5F9E"
"pck_zone_id","",0,0,0,10,"",0,0,0,"","DC5CD445-8DB1-4699-B719-1CEDF21201E7"
"pck_zone_pck_ded_seq_id","",0,0,0,6,"",0,0,0,"","9B5F8B6C-52B3-47B6-9FD6-A5404F517323"
"pckgrp",""G"",1,0,0,10,"",0,0,0,"","94A73E5B-47F0-4FB6-B5C2-DE60950BBE95"
"pcklst_break_on_cri_id","",0,0,0,10,"",0,0,0,"","373E44BA-053E-4DAA-AB5C-DC8D5B3D7BEC"
"pcklst_grp_cri_id","",0,0,0,10,"",0,0,0,"","C39030D5-43BD-4777-826A-CA2D2D229422"
"pcklst_rule_grp_id","",0,0,0,10,"",0,0,0,"","5730B67F-4B38-4C1C-9E7C-C9E7115A923A"
"pcklst_rule_id","",0,0,0,10,"",0,0,0,"","6803D962-5D89-4E7F-A8E5-D1CA6902755A"
"pcklst_select_cri_id","",0,0,0,10,"",0,0,0,"","6C07362F-9102-40FF-80B5-31914AD3D409"
"pcklst_seq_cri_id","",0,0,0,10,"",0,0,0,"","9B3E4012-052C-4F8E-9749-AF844F443881"
"pcl_ship_act_id","",1,0,0,10,"",0,0,0,"","171B507E-EAE9-433F-AA00-BE471D22BCB1"
"pcl_usrfld_id","",0,0,0,6,"",0,0,0,"dcs_data","6B1E91FD-86D3-4911-95B1-09A8CFC8B239"
"pko_act_dtl_id",""PKOD"",4,0,0,12,"",0,0,0,"","E9B5037A-08FC-4E81-B905-F690B7CB02AC"
"pko_act_id","",0,0,0,12,"",0,0,0,"","2AD769D6-8F46-41F8-A376-752AEAF493E8"
"pko_flds_default_id","",0,0,0,10,"",0,0,0,"","74C9038D-BA68-4F61-B7EF-0358CB17CC00"
"play_prc_id","",0,0,0,10,"",0,0,0,"","E0E133F7-B243-409C-A5B2-36C0F82876F1"
"pnd_inv_rsv_id","",0,0,0,6,"",0,0,0,"","F77EB389-131A-498A-A2C8-7D656455FFAA"
"powerunit_act_id",""PUAC"",3,0,0,10,"",0,1,0,"","11D6E451-D1F3-4D32-8192-067208F611B8"
"powerunit_id",""PU"",3,0,0,10,"",0,0,0,"","CEA996D9-E236-4EA3-9B82-0CE5D38F1644"
"prmlod","",0,0,0,12,""-PLD"",4,0,0,"","E3A2AD29-9028-4FC4-9323-38C2A78DB639"
"prmsub","",0,0,0,12,""-PSB"",4,0,0,"","5C11911F-07DF-4750-9FCD-EEDA9E1E5A0D"
"prsreq","",0,0,0,10,"",0,0,0,"","D87CAD04-C511-446E-B120-CBE4140C512D"
"prtfam_set_id","",0,0,0,10,"",0,0,0,"","B6F498A4-1DEC-48E0-B5BC-FC130683867C"
"query_id","",0,0,0,10,"",0,0,0,"","9FCB1AAE-8384-453B-9EFA-DA5E977630E4"
"rcv_asset_key",""RCVA"",4,0,0,11,"",0,0,0,"","E68F2387-B602-4899-86C0-84B3839CD334"
"rcv_hst_id","",0,0,0,10,"",0,1,0,"","358C03F2-BE43-4AB1-9F1C-C64199A34CE4"
"rcv_pltbld_cri_id","",0,0,0,4,"",0,0,0,"dcs_data","C7D093EA-8B4E-4BFD-8123-B08659F07425"
"rcv_pltbld_rule_id","",0,0,0,4,"",0,0,0,"dcs_data","1ECA72C9-9069-42A9-B5C0-19C82D479E44"
"rcvkey","YYMM",4,0,0,15,"",0,0,0,"","9AB88DD8-B910-4BC6-A69E-DF5035A4C0AC"
"rcvlpn_dtl_id","",0,0,0,12,"",0,0,0,"","25F9872D-3C09-4A3B-B193-359C6BC02D2A"
"rcvlpn_id","",0,0,0,12,"",0,0,0,"","846DEB0E-5900-4F15-BED6-8C57EBA3AD98"
"reacod_id",""REA"",3,0,0,15,"",0,0,0,"dcs_data","B679600A-5E04-4CDF-BF76-75C5CA428AAC"
"recur_sched_id","SCHD",4,0,0,12,"",0,1,0,"","793D3CA5-ACA5-4146-9A43-461EA156DCF9"
"recur_sched_link_id","SCHL",4,0,0,12,"",0,1,0,"","F8438FE5-3D90-418C-B37A-38228B6E8552"
"reqnum","",0,0,0,10,"",0,0,0,"","453CC7D6-04EA-4E2A-A9F2-26F7A26E7C12"
"rfidact_id",""R"",1,0,0,10,"",0,0,0,"","4AC6454C-C96A-4B34-8FD7-B668C04D1C3C"
"rmanum",""RMA"",3,0,0,12,"",0,0,0,"","4AA8BAE9-816C-478F-8292-D32DE641CD70"
"role_pck_ded_seq_id","",0,0,0,6,"",0,0,0,"","CFE9EB10-3B81-46EC-A274-A4158B10291F"
"rplnum",""RCF"",3,0,0,10,"",0,1,0,"","08506DD5-296D-47FB-9C6C-1363E0366066"
"rplref",""RPL"",3,0,0,10,"",0,0,0,"","1828D64D-2F67-4F25-80CB-F18311CBEAB6"
"rptnum",""RPT"",3,0,0,13,"",0,0,0,"","3018AE6C-F704-4CFA-9A93-7CBD0E8AB38C"
"rule_id","",0,0,0,6,"",0,0,0,"","223B81BE-26E0-4F76-87B9-5DAC557981A7"
"rule_nam","RN",2,0,0,10,"",0,1,0,"","02C35A5C-7377-4996-886B-87F6585881F1"
"rule_set",""RS"",2,0,0,10,"",0,1,0,"sal_data","766E7CFC-BB75-40C3-8AC8-64FEBE20944C"
"schbat",""BAT"",3,0,0,10,"",0,1,0,"","D44FE717-E1CD-4027-92D1-97E8E689DA36"
"sched_id",""SCH"",3,0,0,10,"",0,0,0,"","9F52ADAC-727D-4175-A54D-49EF34E0A1D7"
"schreg",""REG"",3,0,0,10,"",0,0,0,"","C61C1CC7-DAED-4527-B706-E177224675B6"
"search_cfg_id",""SCFG"",4,0,0,10,"",0,0,0,"","5F8A7BC9-325F-4CEB-B5BD-687B5FE688C9"
"seradj_id",""SER"",3,0,0,10,"",0,0,0,"","45CFFEE5-013C-4050-97F7-1F5B2FAB0891"
"sernum_trnnum",""ST"",2,0,0,10,"",0,0,0,"","33893A85-F822-4161-8898-69B0FC22A41F"
"serv_id",""SRV"",3,0,0,12,"",0,0,0,"","8910AE26-1E82-42EC-B419-D9A242AB9BE3"
"serv_ins_id",""INS"",3,0,0,12,"",0,0,0,"","96A8AB88-85E4-4E0A-9385-2315215D2CFE"
"serv_rate_id",""SRT"",3,0,0,12,"",0,0,0,"","EF4AE1DD-93FD-4B21-B6B2-CF6D5041943E"
"sesnum",""SES"",3,0,0,10,"",0,0,0,"","58E33E92-74E0-44B0-A27A-821E90DD9917"
"ship_asset_tran_id",""ASHP"",4,0,0,12,"",0,0,0,"","6784C9E8-0D17-4B67-8674-8C107FE4C58A"
"ship_ctnnum",""SHP"",3,0,0,12,"",0,0,0,"","73A5DF1F-5363-4ACE-97E2-1CBB5935BB6E"
"ship_id",""SID"",3,0,0,15,"",0,0,0,"",""
"ship_line_id",""SLN"",3,0,0,10,"",0,1,0,"",""
"ship_move_id",""SHMV"",4,0,0,12,"",0,0,0,"","4AE54F3B-B703-4E9B-B6BA-D89315197EB9"
"shipped_lpn_act_id","",0,0,0,10,"",0,1,0,"","5ADB5F7E-805D-4E18-80FA-A829F6BC8F3B"
"shpwth","",0,0,0,10,"",0,0,0,"","B59DAE27-E5EA-4B5F-AF76-1B5B8BC391AC"
"skppck_id","",0,0,0,10,"",0,0,0,"","39E18CB4-61F7-4376-A13B-C8F20F77DA03"
"slot_typ_id","",0,0,0,10,"",0,0,0,"","E74EF7B1-409B-4A3C-BAE9-D46B7B8BFAA9"
"snap_gen_num",""SG"",2,0,0,10,"",0,0,0,"","98C66B7E-280C-4212-B8C4-D7F904135E22"
"sto_config_criteria_id","",0,0,0,6,"",0,0,0,"","B89D4F78-BCC7-4D98-955B-3D94FAB52F75"
"sto_config_id","",0,0,0,6,"",0,0,0,"","57E434B1-2B64-4EF1-9B32-635B1D20BF6C"
"sto_config_rule_id","",0,0,0,6,"",0,0,0,"","D7844BAF-6804-4D58-A6ED-F6ED57784D22"
"sto_tmpl_dtl_id","",0,0,0,7,"",0,0,0,"","423D8622-EB00-487D-B18E-7B30E9FDDD25"
"sto_tmpl_hdr_id","",0,0,0,7,"",0,0,0,"","670973E6-5F91-4817-9CD0-5B9DBF2FC87F"
"sto_zone_id","",0,0,0,10,"",0,0,0,"","1CD1594F-497C-493A-A374-7B1FD224D010"
"stoloc_nam_tmpl_id","",0,0,0,7,"",0,0,0,"","E2D167CE-1F89-4E55-A4FF-79369BCCF8AF"
"stop_id",""STP"",3,0,0,10,"",0,0,0,"",""
"subnum",""S"",1,0,0,12,"",0,1,0,"","C215166B-FAB8-4FAF-BF49-D45EB5208E53"
"tab_id",""TAB"",3,0,0,10,"",0,0,0,"","3A8A55ED-9FEB-4C96-9D8E-0C6648E71E73"
"taskid",""T"",1,0,0,10,"",0,0,0,"","D2A3FBD2-8B53-424C-AA3A-36A1CA4B66EA"
"tran_key","",0,0,0,19,"",0,0,0,"","84883A3B-7AC2-4D27-9A09-5CAB2C18B931"
"trknum",""LDI"",3,0,0,10,"",0,0,0,"","01B9D8C2-D945-4CF5-BB6E-EF87E7B08664"
"trlr_id",""TRL"",3,0,0,10,"",0,0,0,"","5B5F1EBD-A35E-4575-9954-01D724BADE71"
"trlr_plan_id","",0,0,0,6,"",0,0,0,"","AF6927BB-8555-4AEF-9B49-3D804E21D6F0"
"trlr_plan_line_id","",0,0,0,6,"",0,0,0,"","3BE8792A-7099-4748-AD28-4709B76F29B4"
"trlract_id",""TAC"",3,0,0,10,"",0,1,0,"","0CCB1C11-7D54-4A00-8C27-9918B2D9D07F"
"trnnum",""TRN"",3,0,0,10,"",0,0,0,"","8E9BD12B-EA91-47EF-89E6-77B609DCFA40"
"uc_sleep_id",""SL"",2,0,0,10,"",0,1,0,"usr_data",""
"uc_train_id",""TR"",2,0,0,10,"",0,1,0,"","A8FD0436-A615-4E62-9B48-63DE5FC23602"
"uccnum","""",0,0,0,9,"",0,0,0,"","DCE1D34D-53C3-498E-8E22-BF5558C24265"
"unavail_id",""UNAVAIL"",7,0,0,23,"",0,0,0,"","C644884D-25DB-4EC1-B7C4-8028B8B07F9D"
"undlv_invnum",""UD"",2,0,0,12,"",0,0,0,"","8984CE64-92DF-442C-B4C4-AC60EBACDE4F"
"velocity_id",""VL"",2,0,0,10,"",0,1,0,"","F1262F2C-74E9-44C1-B1D9-49F158A3D64F"
"wcs_disc_attr_id","",0,0,0,10,"",0,0,0,"","F1CD36AE-B209-4857-B192-9BC3177AEE05"
"wcs_disc_hdr_id","",0,0,0,5,"",0,0,0,"","029DBCF6-365A-49CD-BA97-7C2FBEEB90C2"
"wcs_disc_lpn_id","",0,0,0,10,"",0,0,0,"","1171AE09-F1E9-4905-8575-ABF23A30BF23"
"wcs_disc_snap_id","",0,0,0,12,"",0,0,0,"","DE2E72F3-2C44-4D3E-AFDC-904051A5424F"
"wcs_pck_grp",""G"",1,0,0,12,"",0,1,0,"dcs_data","BAB50CAA-04C0-4552-9994-B168054A5C9E"
"web_dashboard_assigned_id","",0,0,0,8,"",0,0,0,"","BE96312E-1CD9-4217-97B2-FB1A144847C4"
"web_filter_authorization_id","",0,0,0,8,"",0,0,0,"","5BFA74AD-E9B5-4688-B538-41EEAFF749F9"
"web_filter_group_id","",0,0,0,8,"",0,0,0,"","601366E1-57D5-49AE-B97E-2084B37D09BD"
"web_filter_id","",0,0,0,8,"",0,0,0,"","DD034F55-0FC9-4A99-A2FC-994359E92F13"
"web_filter_val_id","",0,0,0,8,"",0,0,0,"","9754EB7A-CA7E-419E-A468-9CBC3A518ADB"
"web_perf_id","W",1,0,0,12,"",0,1,0,"","C6BDDDCD-B0A0-497D-B9E9-719A4B053259"
"web_snapshot_id","",0,0,0,8,"",0,0,0,"","40775E6A-FAD4-449D-B71C-3D2F8477B58A"
"web_state_id","",0,0,0,8,"",0,0,0,"","AAE401ED-6C02-494C-A668-ED87E9F24BAB"
"web_user_pref_id","",0,0,0,8,"",0,0,0,"","753A017C-941E-4FED-A05E-7A707B84110B"
"wkonum",""WKO"",3,0,0,10,"",0,0,0,"","0EEE065C-B8F9-48BF-86D4-7980F713103E"
"wm_event_id","",0,0,0,19,"",0,0,0,"dcs_data","8D23F8B8-27F3-49C3-8DA6-31A6EC11CCEB"
"wrk_zone_id","",0,0,0,10,"",0,0,0,"","ACE8B488-FE13-447A-93A6-D2F9F112A560"
