rpt_id,prod_id,rpt_layout_file,def_printer,rpt_typ,keep_days,ena_ems_flg,dig_sig_req_flg,ems_evt_nam,func_area,grp_nam,is_purged
"Std-RecvTruckSummary","WM","Std-RecvTruckSummary.jrxml","","JR",7,0,0,"WMD-STD-RCVTRKSUM","","wm_data",0
"Std-ReportConfigurations","REPORTING","Std-ReportConfigurations.jrxml","","JR",7,0,0,"RPT-STD-RPTCONFIGURATIONS","","reporting_data",0
"Std-RfOutboundAuditDiscrepancy","WM","Std-RfOutboundAuditDiscrepancy.jrxml","","JR",7,0,0,"WMD-RF-OUTAUD-DISCREPANCY","","wm_data",0
"Std-RptRegistry","REPORTING","Std-RptRegistry.jrxml","","JR",7,0,0,"RPT-STD-RPTREGISTRY","","reporting_data",0
"Std-ShipmentOrderStatusReport","WM","Std-ShipmentOrderStatusReport.jrxml","","JR",7,0,0,"WMD-STD-SHPORDSTSRPT","","wm_data",0
"Std-ShippedAssets","WM","Std-ShippedAssets.jrxml","","JR",7,0,0,"WMD-STD-SHIPPEDASSETS","","dcs_data",0
"Std-ShippedByMonth","WM","Std-ShippedByMonth.jrxml","","JR",7,0,0,"WMD-STD-SHIPBYMONTH","","wm_data",0
"Std-ShippedHistory","WM","Std-ShippedHistory.jrxml","","JR",7,0,0,"WMD-STD-SHIPHST","","wm_data",0
"Std-ShippedInventory","WM","Std-ShippedInventory.jrxml","","JR",7,0,0,"WMD-STD-SHIPINV","","wm_data",0
"Std-ShippersExportDeclaration","SAL","Std-ShippersExportDeclaration.jrxml","","JR",7,0,0,"SAL-STD-SHIPPERSEXPDEC","","sal_data",0
"Std-TrlrLoadStop","WM","Std-TrlrLoadStop.jrxml","","JR",7,0,0,"WMD-STD-TRLRLOADSTOP","","wm_data",0
"Std-TrlrPalSlot","WM","Std-TrlrPalSlot.jrxml","","JR",7,0,0,"WMD-STD-TRLRPALSLOT","","wm_data",0
"Std-UserProductivitySummary","WM","Std-UserProductivitySummary.jrxml","","JR",7,0,0,"WMD-STD-USRPRODSUM","","wm_data",0
"Std-UserService","WM","Std-UserService.jrxml","","JR",7,0,0,"WMD-STD-USRSERV","","wm_data",0
"Std-VICS-BillOfLading","WM","Std-VICS-BillOfLading.jrxml","","JR",7,0,0,"WMD-STD-VICSBOL","SHP-PPWRK","wm_data",0
"Std-Walmart-BillOfLading","WM","Std-Walmart-BillOfLading.jrxml","","JR",7,0,0,"WMD-STD-WALMART","SHP-PPWRK","dcs_data",0
"Std-WorkOrderMovement","WM","Std-WorkOrderMovement.jrxml","","JR",7,0,0,"WMD-STD-WRKMOV","","wm_data",0
"Std-WorkOrderSetup","WM","Std-WorkOrderSetup.jrxml","","JR",7,0,0,"WMD-STD-WKOSETUP","","wm_data",0
"Std-YardAudit","WM","Std-YardAudit.jrxml","","JR",7,0,0,"WMD-STD-YRDAUD","","wm_data",0
"USR-RFH001-FFDELIVERYNOTE","LES","usr-rfh001-v0110-ffdeliverynote.jrxml","","JR",7,0,0,"","","",0
"USR-RFH004 Inventory report","LES","usr-rfh004-v0101-inventory.jrxml","","JR",7,0,0,"","","",0
"USR-RFH005 Troubleshoot report","LES","usr-rfh005-v0106-troubleshoot_report_1.jrxml","","JR",7,0,0,"","","",0
"USR-RFH006 customer report","LES","usr-rfh006-v0103-customer_report.jrxml","","JR",7,0,0,"","","",0
"USR-RFH008 GLN Overview","LES","usr-rfh008-v0104-GLN_overview.jrxml","","JR",7,0,0,"","","",0
"USR-RFH009 Workorder","LES","usr-rfh009-v0103-production_wo.jrxml","","JR",7,0,0,"","","",0
