lkp_id,cust_lvl,lkp_cmd,static_cmd_flg,lkp_comp,ret_fld,grp_nam
"l_adrnam_bldg",0,"if ( '&client_id' != '' ) list addresses where client_id = '&client_id' and adrtyp = 'BLDG' else list addresses where adrtyp = 'BLDG'",0,"","","sal_data"
"l_adrnam_car",0,"list addresses where adrtyp = 'CAR'",0,"","","dcs_data"
"l_adrnam_cli",0,"list addresses where adrtyp = 'CLI'",0,"","","sal_data"
"l_adrnam_cst",0,"list addresses where adrtyp = 'CST'",0,"","","sal_data"
"l_adrnam_ins",0,"list addresses where adrtyp = 'INS'",0,"","","dcs_data"
"l_adrnam_lkp",0,"list addresses for lookup",0,"","","mcs_data"
"l_adrnam_sup",0,"list addresses where adrtyp = 'SUP'",0,"","","dcs_data"
"l_adrnam_usr",0,"list addresses where adrtyp = 'USR'",0,"","","sal_data"
"l_adrpsz",0,"list city postal codes",1,"","","sal_data"
"l_adrstc",0,"list states",1,"","","mcs_data"
"l_adrtyp",0,"list code descriptions where colnam = "adrtyp"",1,"","","mcs_data"
"l_aes_typ",0,"list code descriptions where colnam = 'aes_typ'",1,"","","dcs_data"
"l_age_pflnam",0,"list aging profiles",0,"","","dcs_data"
"l_agecod",0,"list code descriptions where colnam = "agecod"",1,"","","dcs_data"
"l_aggr_func",0,"list code descriptions where colnam = "aggr_func"",1,"","","mcs_data"
"l_aisle_id",0,"if ('&wh_id' != ''){list aisles where wh_id ='&wh_id'} else {list aisles}",0,"","","dcs_data"
"l_alc_asset_grp",0,"list allocation asset groups where wh_id = '&wh_id'",0,"","","dcs_data"
"l_alc_cmd",0,"list code descriptions where colnam = 'blk_alc_cmd'",1,"","","dcs_data"
"l_alc_search_path",0,"list allocation search path for lookup",0,"","","dcs_data"
"l_alcassettyp",0,"list asset types to associate allocation asset group",0,"","","dcs_data"
"l_alctyp",0,"list code descriptions where colnam = "alctyp"",1,"","","dcs_data"
"l_alctyp_alc",0,"list code descriptions where colnam='alctyp' and codval = 'PICK-N-SHIP' & list code descriptions where colnam='alctyp' and codval='PICK-N-REPLEN-N-SHIP'",1,"","","dcs_data"
"l_alg_def",0,"sl_list alg_def | publish data where @+alg_id and @+alg_grp_id and @+alg_descr",0,"","alg_id","int_data"
"l_alg_def_grp",0,"sl_list alg_def_grp | publish data where @+alg_grp_id and  @+alg_grp_descr",0,"","alg_grp_id","int_data"
"l_alg_grp_id",0,"sl_list alg_def_grp | publish data where @+alg_grp_id and @+alg_grp_descr",0,"","alg_grp_id","int_data"
"l_alg_id",0,"sl_list alg_def | publish data where @+alg_id and @+alg_grp_id and @+alg_descr",0,"","alg_id","int_data"
"l_alg_id_kw",0,"[select distinct alg_id from sl_alg_def where alg_grp_id in ('SL_KW_ALG','SL_IFD_FLD','SL_GENERAL') and alg_grp_id != 'SL_MACRO' and alg_typ_cd != 'MACRO' order by alg_id]",0,"","","int_data"
"l_alg_id_rm",0,"[select distinct alg_id from sl_alg_def where  alg_grp_id in ( 'SL_RETR_MTHD_IMPL' , 'SL_GENERAL' )  and alg_grp_id != 'SL_MACRO' and alg_typ_cd != 'MACRO' order by alg_id]",0,"","","int_data"
"l_alg_id_syscomm",0,"[select distinct alg_id from sl_alg_def where alg_grp_id in ( 'SL_COMM','SL_COMM_ARG' , 'SL_GENERAL' ) and alg_grp_id != 'SL_MACRO' and alg_typ_cd != 'MACRO' order by alg_id]",0,"","","int_data"
"l_alg_post_async",0,"[select distinct alg_id from sl_alg_def where alg_grp_id in ('SL_COMM','SL_COMM_ARG' ,'SL_GENERAL') and alg_grp_id != 'SL_MACRO' and alg_typ_cd != 'MACRO' order by alg_id]",0,"","","int_data"
"l_alg_post_dwnld",0,"[select distinct alg_id from sl_alg_def where  alg_grp_id in ('SL_DWNLD','SL_GENERAL')  and alg_grp_id != 'SL_MACRO' and alg_typ_cd != 'MACRO' order by alg_id]",0,"","","int_data"
"l_alg_pre_async",0,"[select distinct alg_id from sl_alg_def where alg_grp_id in ('SL_COMM','SL_COMM_ARG' ,'SL_GENERAL') and alg_grp_id != 'SL_MACRO' and alg_typ_cd != 'MACRO' order by alg_id]",0,"","","int_data"
"l_alg_pre_dwnld",0,"[select distinct alg_id from sl_alg_def where  alg_grp_id in ('SL_DWNLD','SL_GENERAL')  and alg_grp_id != 'SL_MACRO' and alg_typ_cd != 'MACRO' order by alg_id]",0,"","","int_data"
"l_alloc_grp_nam",0,"if ('&wh_id' != '' and '&wh_id' != '----'){list allocation search groups where wh_id ='&wh_id'} else {list allocation search groups}",0,"","","dcs_data"
"l_allow_checkin",0,"list code descriptions where colnam = 'allow_checkin'",1,"","","dcs_data"
"l_allow_ltl_split",0,"list code descriptions where colnam="allow_ltl_ship_split"",1,"","","dcs_data"
"l_allshpare",0,"if('&wh_id' != '') {list all shipment staging areas where wh_id = '&wh_id'}else{list all shipment staging areas}",1,"","","dcs_data"
"l_alrt_fld_opr",0,"list code descriptions where colnam = "alrt_fld_opr"",0,"","","ems_data"
"l_alrt_sts",0,"list code descriptions where colnam = "alrt_sts"",0,"","","ems_data"
"l_alt_prt_typ",0,"list code descriptions where colnam="alt_prt_typ"",1,"","","dcs_data"
"l_alter_prt_typ",0,"list alternate part type for lookup where colnam="alt_prt_typ"",1,"","","dcs_data"
"l_alter_prt_uom",0,"list alternate part uom for lookup where colnam="uomcod"",1,"","","dcs_data"
"l_aodind",0,"list code descriptions where colnam = 'aodind'",1,"","","sal_data"
"l_appl_id",0,"list work flow apps",0,"","","mcs_data"
"l_appl_id_sysaud",0,"list work flow apps & [[ import com.redprairie.moca.SimpleResults; import com.redprairie.moca.MocaType; rs = new SimpleResults(); rs.addColumn('appl_id', MocaType.STRING); rs.addRow(); rs.setValue('appl_id','WinMSQL'); rs.addRow(); rs.setValue('appl_id','MSQL'); rs.addRow(); rs.setValue('appl_id','NO_APPLID'); rs; ]]",0,"","","mcs_data"
"l_appt_id",0,"list appointments where wh_id = nvl('&wh_id',@@wh_id)",0,"","","dcs_data"
"l_appt_typ",0,"list code descriptions where colnam="appt_typ"",1,"","","dcs_data"
"l_apptmnt_trknum",0,"list master receipts for lookup where trlr_stat <> 'D'",0,"","","dcs_data"
"l_apt_date",0,"list code descriptions where colnam = 'apt_date'",1,"","codval","dcs_data"
"l_arc_table",0,"list user tables",1,"","","sal_data"
"l_are_asset_typ_inv",0,"list asset type descriptions where wh_id=nvl('&wh_id',@@wh_id) and asset_cat='INV' and lst_pck_asset_flg = 1",0,"","","dcs_data"
"l_arecod",0,"list areas for lookup",0,"","","dcs_data"
"l_arecod_assigned",0,"if('&wh_id' != '' and '&wh_id' != '----'){list assigned packing areas where wh_id = '&wh_id'}else{get warehouse id | list assigned packing areas where wh_id = @wh_id}",0,"","","dcs_data"
"l_arecod_cnt",0,"if('&wh_id' != '' and '&wh_id' != '----'){list areas where cntflg=1 and wh_id = '&wh_id'} else {get warehouse id | list areas where cntflg=1 and  wh_id = @wh_id}",0,"","","dcs_data"
"l_arecod_cnt_wild",0,"if ('&wh_id' != '' and '&wh_id' != '----'){list area description with wildcard where wh_id = '&wh_id' and cntflg=1} else {get warehouse id | list area description with wildcard where wh_id = @wh_id and cntflg=1}",0,"","","dcs_data"
"l_arecod_cyc_pol",0,"if ('&wh_id' != '' and '&wh_id' != '----'){if ('&arecod' != '' and '&arecod' = 'DEFAULT') {publish data where arecod = '&arecod' and lngdsc = 'DEFAULT' and wh_id = '&wh_id'} else {list areas where [wh_id = '&wh_id' and arecod = nvl ('&arecod',arecod) ]}} else {get warehouse id|if('&arecod' != '' and '&arecod' = 'DEFAULT') { publish data where arecod = '&arecod' and lngdsc = 'DEFAULT' and wh_id = '&wh_id'} else { list areas where [wh_id = @wh_id and arecod = nvl ('&arecod',arecod) ]}}",0,"","","dcs_data"
"l_arecod_dckdoors",0,"if ('&wh_id' != ''){list areas where wh_id ='&wh_id' and shp_dck_flg = 1} else {list areas where shp_dck_flg = 1}",0,"","","dcs_data"
"l_arecod_defarea",0,"if('&wh_id' = '' or '&wh_id' = '----'){get warehouse id | list areas where wh_id = @wh_id & publish data where arecod ='DEFAULT' and lngdsc ='DEFAULT' } else { list areas where wh_id = '&wh_id' & publish data where arecod ='DEFAULT' and lngdsc ='DEFAULT'}",0,"","","dcs_data"
"l_arecod_exp_rcp",0,"list areas with expected receipts locations",0,"","","dcs_data"
"l_arecod_exp_rcp_are",0,"list areas where [wh_id = nvl('&stoloc_wh_id', wh_id) and expflg = 1 and wip_expflg = 0]",0,"","","dcs_data"
"l_arecod_locmnt",0,"list areas for location maintenance where wh_id = '&wh_id'",0,"","","dcs_data"
"l_arecod_ordcon",0,"if('&wh_id' != '' and '&wh_id' != '----'){list areas where [wh_id = '&wh_id' and arecod = nvl('&arecod', arecod)]} else {get warehouse id | list areas where [wh_id = @wh_id and arecod = nvl('&arecod',arecod)] }",0,"","","dcs_data"
"l_arecod_pck",0,"list areas where pckcod != 'N' and wh_id = '&wh_id'",0,"","","dcs_data"
"l_arecod_pd",0,"if('&wh_id' != '' and '&wh_id' != '----'){list areas where pdflg=1 and wh_id = '&wh_id'} else {get warehouse id | list areas where pdflg=1 and  wh_id = @wh_id}",0,"","","dcs_data"
"l_arecod_prdstg",0,"if ('&wh_id' != '' and '&wh_id' != '----'){list areas where wh_id ='&wh_id' and prd_stgflg = 1} else {get warehouse id | list areas where prd_stgflg = 1 and wh_id = @wh_id}",0,"","","dcs_data"
"l_arecod_proc_stag",0,"if ('&wh_id' != ''){publish data where wh_id = '&wh_id'}else{get warehouse id}|if ('&optPickPolicies' = 1 and '&optReplPolicies' = 0){[select dscmst.short_dsc, dscmst.lngdsc,aremst.* from dscmst,aremst,locmst join loc_typ on loc_typ.loc_typ_id = locmst.loc_typ_id where locmst.arecod = aremst.arecod and locmst.wh_id = aremst.wh_id and /*=varchar(*/aremst.arecod||'|'||aremst.wh_id/*=)*/ = dscmst.colval and dscmst.colnam = 'arecod|wh_id' and dscmst.locale_id = nvl(@locale_id, @@locale_id)  and (loc_typ.praflg <> 0 or loc_typ.stgflg <> 0) and aremst.wh_id=@wh_id]} else{list areas where pckcod != 'N' and wh_id = @wh_id}",0,"","","dcs_data"
"l_arecod_processing",0,"if('&wh_id' != '' and '&wh_id' != '----'){list areas where praflg = 1 and wh_id = '&wh_id'}else{get warehouse id | list areas where praflg = 1 and wh_id = @wh_id}",0,"","","dcs_data"
"l_arecod_production",0,"list production line areas",0,"","","dcs_data"
"l_arecod_rcvdckdoors",0,"if ('&wh_id' != ''){if('&bldg_id' != ''){list areas where wh_id ='&wh_id' and bldg_id = '&bldg_id' and rcv_dck_flg = 1} else {list areas where wh_id ='&wh_id' and rcv_dck_flg = 1}} else {list areas where rcv_dck_flg = 1}",0,"","","dcs_data"
"l_arecod_rcvstaging",0,"if ('&wh_id' != ''){if('&bldg_id' != ''){list areas where wh_id ='&wh_id' and bldg_id = '&bldg_id' and rcv_stgflg = 1} else {list areas where wh_id ='&wh_id' and rcv_stgflg = 1}} else {list areas where rcv_stgflg = 1}",0,"","","dcs_data"
"l_arecod_shpdckdoors",0,"if ('&wh_id' != ''){if('&bldg_id' != ''){list areas where wh_id ='&wh_id'and bldg_id = '&bldg_id' and shp_dck_flg = 1}else {list areas where wh_id ='&wh_id' and shp_dck_flg = 1}} else {list areas where shp_dck_flg = 1}",0,"","","dcs_data"
"l_arecod_shpdsp",0,"if('&wh_id' != '' and '&wh_id' != '----'){publish data where wh_id = '&wh_id'} else {get warehouse id} | if('&bldg_id' != ''){list areas where [wh_id = @wh_id and bldg_id = '&bldg_id' and arecod = nvl('&arecod',arecod)]}else{list areas where [wh_id = @wh_id and arecod = nvl('&arecod',arecod)]}",0,"","","dcs_data"
"l_arecod_shpstaging",0,"if ('&wh_id' != ''){if('&bldg_id' != ''){list areas where wh_id ='&wh_id'and bldg_id = '&bldg_id' and stgflg = 1}else {list areas where wh_id ='&wh_id' and stgflg = 1}} else {list areas where stgflg = 1}",0,"","","dcs_data"
"l_arecod_shpstg",0,"list areas where stgflg = 1 and bldg_id = '&bldg_id'",0,"","","dcs_data"
"l_arecod_shpyard",0,"list areas where yrdflg = 1 and wh_id = '&wh_id'",0,"","","dcs_data"
"l_arecod_staging",0,"if ('&wh_id' != '' and '&wh_id' != '----'){list to areas for asset movement history where wh_id ='&wh_id' and stgflg = 1} else {get warehouse id | list to areas for asset movement history where stgflg = 1 and wh_id = @wh_id}",0,"","","dcs_data"
"l_arecod_storage",0,"list areas where pckcod != 'N' and wh_id = '&wh_id'",0,"","","dcs_data"
"l_arecod_store",0,"if('&wh_id' != '' and '&wh_id' != '----') {list areas where wh_id = '&wh_id' and put_to_sto_flg = 1 and fwiflg = 1 and praflg = 0 and expflg = 0 and adjflg = 0 and shpflg = 0 and rcv_dck_flg = 0 and shp_dck_flg = 0 and xdaflg = 0 and wipflg = 0}  else  {get warehouse id | list areas where wh_id = '@wh_id' and put_to_sto_flg = 1 and fwiflg = 1 and praflg = 0 and expflg = 0 and adjflg = 0 and shpflg = 0 and rcv_dck_flg = 0 and shp_dck_flg = 0 and xdaflg = 0 and wipflg = 0}",0,"","","dcs_data"
"l_arecod_wh",0,"list areas where wh_id = '&wh_id'",0,"","","dcs_data"
"l_arecod_wip",0,"if ('&wh_id' != '' and '&wh_id' != '----'){list wip areas where wh_id = '&wh_id' and locale_id = nvl(@locale_id, @@locale_id)} else {get warehouse id | list wip areas where wh_id = @wh_id and locale_id = nvl(@locale_id, @@locale_id)}",0,"","","dcs_data"
"l_arecod_xdck",0,"list areas where xdaflg = 1 and wh_id = '&wh_id'",0,"","","dcs_data"
"l_arecod_yard",0,"get warehouse id where wh_id = '&wh_id'|[select distinct locmst.arecod from aremst,locmst join loc_typ on loc_typ.loc_typ_id = locmst.loc_typ_id where locmst.arecod = aremst.arecod and locmst.wh_id = aremst.wh_id and (loc_typ.yrdflg = 1 or loc_typ.rcv_dck_flg = 1 or loc_typ.shp_dck_flg = 1) and locmst.wh_id = @wh_id] | if ('&bldg_id' != '') {list areas where arecod = @arecod and bldg_id = '&bldg_id' and wh_id = @wh_id catch (-1403)} else {list areas where arecod = @arecod and wh_id = @wh_id}",0,"","","dcs_data"
"l_arecod_yrd_dstloc",0,"if('&wh_id' != '' and '&wh_id' != '----'){[select distinct locmst.arecod from aremst,locmst join loc_typ on loc_typ.loc_typ_id = locmst.loc_typ_id where locmst.arecod = aremst.arecod and locmst.wh_id = aremst.wh_id and (loc_typ.yrdflg = 1 or loc_typ.rcv_dck_flg = 1 or loc_typ.shp_dck_flg = 1) and locmst.wh_id = '&wh_id'] | list areas where arecod = @arecod and wh_id = '&wh_id'}else{get warehouse id where wh_id = @wh_id|[select locmst.arecod from aremst,locmst join loc_typ on loc_typ.loc_typ_id = locmst.loc_typ_id where locmst.arecod = aremst.arecod and locmst.wh_id = aremst.wh_id and (loc_typ.yrdflg = 1 or loc_typ.rcv_dck_flg = 1 or loc_typ.shp_dck_flg = 1) and locmst.wh_id = @wh_id] | list areas where arecod = @arecod and wh_id = @wh_id}",0,"","","dcs_data"
"l_arecod_yrd_rcv",0,"[select locmst.arecod from aremst,locmst join loc_typ on loc_typ.loc_typ_id = locmst.loc_typ_id where locmst.arecod = aremst.arecod and locmst.wh_id = aremst.wh_id and loc_typ.yrdflg = 1 or loc_typ.rcv_dck_flg = 1] | list areas where arecod = @arecod",0,"","","dcs_data"
"l_arg_key",0,"publish data where res_key = '&res_key' | if(@res_key = ''){hide stack variable where name = 'res_key'} | [select distinct arg_key from res_fltr_rule where 1=1 and @+res_key]",0,"","","dcs_data"
"l_arg_typ",0,"list code descriptions where colnam = "arg_typ"",1,"","","sal_data"
"l_argtyp",0,"list code descriptions where colnam = "argtyp"",1,"","","dcs_data"
"l_asctmstrcpt_trknum",0,"list master receipts to assign where wh_id ='&wh_id'",0,"","","dcs_data"
"l_asset_cat",0,"list code descriptions where colnam = "asset_cat"",1,"","","dcs_data"
"l_asset_id",0,"list serialized assets",0,"","","dcs_data"
"l_asset_map",0,"list asset maps where wh_id = '&wh_id'",0,"","","dcs_data"
"l_asset_num",0,"list asset numbers",0,"","","dcs_data"
"l_asset_prtnum",0,"list parts where rcvflg = 0 and @+prtnum",0,"","","dcs_data"
"l_asset_stat",0,"list code descriptions where colnam = "asset_stat"",1,"","","dcs_data"
"l_asset_typ",0,"list asset type descriptions where wh_id = '&wh_id'",0,"","","dcs_data"
"l_asset_typ_i_nonser",0,"list asset types where asset_cat = 'INV' and ser_flg = 0",0,"","","dcs_data"
"l_asset_typ_inv",0,"list asset type descriptions where wh_id='&wh_id' and asset_cat='INV'",0,"","","dcs_data"
"l_asset_typ_invdspmw",0,"list asset type descriptions for multiple warehouses where asset_cat='INV'",0,"","","dcs_data"
"l_asset_typ_non_ser",0,"if ('&wh_id'=''){list asset type descriptions where ser_flg = "0" and wh_id = @@wh_id}else{list asset type descriptions where ser_flg = "0" and wh_id = '&wh_id'} ",0,"","","dcs_data"
"l_asset_typ_ord",0,"list suggested assets for picked inventory for lookup where wh_id = '&wh_id' and wrkref = '&wrkref'",0,"","","dcs_data"
"l_asset_typ_pld",0,"if('&invtid' != ''){list asset type for pallet build where wh_id='&wh_id' and invtid='&invtid'}else{set return status where status = 12020}",0,"","","dcs_data"
"l_asset_typ_plr",0,"list asset types where asset_cat="INV" and lst_pck_asset_flg=1 & list asset types where asset_cat="PC" and lst_pck_asset_flg=1",0,"","","dcs_data"
"l_asset_typ_rcv",0,"list asset type descriptions where asset_cat="INV" and wh_id=@@wh_id",0,"","","dcs_data"
"l_asset_typ_ser",0,"list asset type descriptions where ser_flg = "1" and wh_id = '&wh_id' ",0,"","","dcs_data"
"l_asset_typ_ser_trl",0,"if ('&trlr_id' = '') { list asset types where asset_cat = 'TRL' and ser_flg = 1 } else { list trailers where trlr_id = '&trlr_id' catch(-1403) | if (@temp_flg = 1) { list asset types where asset_cat = 'TRL' and temp_flg = 1 and ser_flg = 1 } else if ( @temp_flg = 0 ){ list asset types where asset_cat = 'TRL' and temp_flg = 0 and ser_flg = 1 } else { list asset types where asset_cat = 'TRL' and ser_flg = 1 }}",0,"","","dcs_data"
"l_assettyp",0,"list asset types",1,"","","dcs_data"
"l_astidfy_invnum",0,"list receive invoice headers for lookup where trknum = '&trknum'",0,"","","dcs_data"
"l_atecod",0,"list code descriptions where colnam = "atecod"",1,"","","dcs_data"
"l_ath_grp_nam",0,"[select distinct ath_grp_nam from les_usr_ath UNION select distinct ath_grp_nam from les_ath_role UNION select distinct ath_grp_nam from les_mnu_opt order by 1]",0,"","","mcs_data"
"l_athmnt_usr_id",0,"get user information",0,"","","sal_data"
"l_att_sts",0,"list code descriptions where colnam = "att_sts"",0,"","","ems_data"
"l_attach_loc",0,"list code descriptions where colnam = 'attach_loc'",1,"","","mcs_data"
"l_attn_cod",0,"list code descriptions where colnam = "attn_cod"",1,"","","dcs_data"
"l_aud_typ",0,"list code descriptions where colnam = "aud_typ"",1,"","","dcs_data"
"l_audit_res_key",0,"[select distinct res_key from res_fltr_rule]",0,"","","dcs_data"
"l_audit_settings",0,"[select distinct polvar from poldat_view where polcod = 'LOCATION-AUDIT' and wh_id = '&wh_id']",0,"","","dcs_data"
"l_autcmpstp",0,"list code descriptions where colnam = "autcmpstp"",1,"","","dcs_data"
"l_auto_alc_mtd",0,"list code descriptions where colnam = "auto_alc_mtd"",1,"","","dcs_data"
"l_auto_alc_table",0,"list table names for auto allocation where rule_type = '&rule_type' and wh_id = '&wh_id'",0,"","","dcs_data"
"l_auto_find",0,"list code descriptions where colnam = "auto_find"",1,"","","mcs_data"
"l_bar_code_tmpl_id",0,"list bar code templates by supplier",0,"","","dcs_data"
"l_basepoint_id",0,"if ('&wh_id' != '') {list warehouse base points where wh_id = '&wh_id'} else {list warehouse base points}",0,"","","dcs_data"
"l_batcon",0,"list code descriptions where colnam = "batcon"",1,"","","dcs_data"
"l_batsts",0,"list code descriptions where colnam = "batsts"",1,"","","dcs_data"
"l_battyp",0,"list code descriptions where colnam = "battyp"",1,"","","dcs_data"
"l_bb_func",0,"[select 'BAR' codval, mls_text descr from les_mls_cat where mls_id = 'btnFuncBar' and locale_id = @@locale_id and prod_id = 'LES' and appl_id = 'LES' and frm_id = 'LES' and vartn = 'LES' and srt_seq = 0 and cust_lvl = 0 ]",0,"","","mcs_data"
"l_bldg_id",0,"if ('&wh_id' != '' and '&wh_id' != '----'){list buildings where wh_id ='&wh_id'} else {list buildings}",0,"","","dcs_data"
"l_bldg_id_yard",0,"[select distinct b.bldg_id from bldg_mst b, aremst a,locmst l join loc_typ lt on lt.loc_typ_id = l.loc_typ_id where l.arecod = a.arecod and l.wh_id = a.wh_id and lt.yrdflg = 1 and a.bldg_id = b.bldg_id]",0,"","","dcs_data"
"l_blk_alg_eo_seg",0,"[ select distinct alg_id from sl_alg_def where alg_grp_id in ('SL_IFD_BLOCK','SL_IFD_SEG_BLOCK','SL_EO_SEG_BLOCK','SL_GENERAL') and alg_grp_id != 'SL_MACRO' and alg_typ_cd != 'MACRO' order by alg_id]",0,"","","int_data"
"l_blk_alg_eval_cd",0,"sl_list col_vp where db_col_id = 'BLK_ALG_EVAL_CD'",1,"","","int_data"
"l_blk_alg_ifd",0,"[ select distinct alg_id from sl_alg_def where alg_grp_id in ('SL_IFD_BLOCK','SL_IFD_SEG_BLOCK','SL_EO_SEG_BLOCK','SL_GENERAL') and alg_grp_id != 'SL_MACRO' and alg_typ_cd != 'MACRO' order by alg_id]",0,"","","int_data"
"l_blk_alg_ifd_seg",0,"[ select distinct alg_id from sl_alg_def where alg_grp_id in ('SL_IFD_BLOCK','SL_IFD_SEG_BLOCK','SL_EO_SEG_BLOCK','SL_GENERAL') and alg_grp_id != 'SL_MACRO' and alg_typ_cd != 'MACRO' order by alg_id]",0,"","","int_data"
"l_blng_anniv_cyc_typ",0,"list code descriptions where colnam = 'blng_cyc_typ' and codval like 'A%'",1,"","","sal_data"
"l_blng_chrg_typ",0,"list code descriptions where colnam = "blng_chrg_typ"",1,"","","dcs_data"
"l_blng_chrg_typ_wiz",0,"[select blng_chrg_typ codval, lngdsc from blng_serv_typ, dscmst where dscmst.locale_id = nvl(@@locale_id, @locale_id) and dscmst.colnam = 'blng_chrg_typ' and dscmst.colval = blng_serv_typ.blng_chrg_typ and blng_serv_typ.blng_serv_typ  = '&blng_serv_typ' order by dscmst.lngdsc]",0,"","","sal_data"
"l_blng_cyc_typ",0,"list anniversary billing cycle types where client_id = '&client_id'",0,"","","sal_data"
"l_blng_invc_grp_cod",0,"list billing invoice group codes",1,"","","sal_data"
"l_blng_invc_num",0,"list billing invoice headers",0,"","","sal_data"
"l_blng_invc_stat",0,"list code descriptions where colnam = "blng_invc_stat"",1,"","","sal_data"
"l_blng_invc_stat2",0,"list code descriptions where colnam = "blng_invc_stat2"",1,"","","sal_data"
"l_blng_mthd_typ",0,"list code descriptions where colnam = "blng_mthd_typ"",1,"","","dcs_data"
"l_blng_prd_id",0,"if ('&client_id' != '' and '&blng_prd_id'!= '') { list billing periods where client_id = '&client_id' and blng_prd_id = '&blng_prd_id'} else if ('&client_id' = '' and '&blng_prd_id'!= '') {list billing periods where blng_prd_id = '&blng_prd_id'} else if ('&client_id' != '' and '&blng_prd_id'= '') {list billing periods where client_id = '&client_id'} else { list billing periods }",0,"","","sal_data"
"l_blng_rate",0,"list billing rates",0,"","","dcs_data"
