job_id,role_id,name,enabled,type,command,log_file,trace_level,overlap,schedule,start_delay,timer,grp_nam
"INVAVAILSTAT","","create available inventory stats",0,"cron","list warehouses | create available inventory stats where wh_id = @wh_id","$LESDIR/log/invavailstat.log","",0,"0 0 1 * * ?",0,0,"dcs_data"
"INV-RECON","","Auto Play Inventory Reconciliation",0,"cron","play inventory reconciliation","$LESDIR/log/inv-recon.log","",0,"0 0 1 * * ?",0,0,"dcs_data"
"INV-SNAP","","Generates Inventory Snapshot Records For Every Part",0,"cron","generate inventory snapshot","$LESDIR/log/inv_snapshot.log","",0,"0 0 0 ? * 7",0,0,"dcs_data"
"LOG-BLOCKING-LOCKS-AND-PROBES-DATA","","LOG-BLOCKING-LOCKS-AND-PROBES-DATA",0,"cron","generate support zip files where alwaysCollect = 0 and filesToGenerate = 'probes.csv;database-connections.csv;sessions.csv;thread-cpu-report.txt;native-processes.csv;blocking-locks.csv'","","",0,"0 */1 * ? * *",0,0,""
"LOG-PROBLEM-QUERY-AND-OTHER-SUPPORT-ZIP-DATA","","LOG-PROBLEM-QUERY-AND-OTHER-SUPPORT-ZIP-DATA",0,"cron","generate support zip files where alwaysCollect = 1 and filesToGenerate = '{group=com.redprairie.moca, type=SQL-Executions, name=all-requests-timer}.csv;{group=com.redprairie.moca, type=SQL-Executions, name=result-set-sizes}.csv;{group=com.redprairie.moca, type=SQL-Executions, name=slowest-queries}.csv'","","",0,"0 0 */2 ? * *",0,0,""
"LOG-REGISTRY-JOBS-HEALTH-CHECKS","","LOG-REGISTRY-JOBS-HEALTH-CHECKS",0,"cron","generate support zip files where alwaysCollect = 1 and healthCheck = true and filesToGenerate = 'jobs.csv;tasks.csv;registry;health-checks.csv'","","",0,"0 0 0 ? * * *",0,0,""
"LOW-ASSET-ALERT","","Processes The EMS Alerts For Locations With Assets Less Than The Minimum Stocking Level",0,"cron","list warehouses | process ems event for low assets at location where wh_id = @wh_id","$LESDIR/log/low_asset_alert.log","",0,"0 0 0 * * ?",0,0,"dcs_data"
"OUTBOUND-WORK-SEQUENCING","","Unlocks work to Ship staging by Outbound Work Sequence",0,"timer","list warehouses | process outbound work sequence where wh_id = @wh_id","$LESDIR/log/process_outbound_work_sequence.log","",0,"",0,600,"dcs_data"
"PARCEL-SHP-VALIDATION","","Parcel Shipment Validation",0,"cron","job parcel shipment validation where numofthreads = 20","$LESDIR/log/parcelshpvalidation.log","",0,"0 0 * ? * *",0,0,"dcs_data"
"PCKRELMGR","","Pick Release Manager",0,"timer","job pick release manager","$LESDIR/log/pckrelmgr.log","",0,"",0,60,"dcs_data"
"PCKRSVMGR","","Pick Reservation Manager",0,"timer","job pick reservation manager","$LESDIR/log/pckrsvmgr.log","",0,"",0,120,"dcs_data"
"PICKSUMMARYBYHOUR","","create pick summary by hour",1,"cron","list warehouses | create pick summary by hour where wh_id = @wh_id","$LESDIR/log/picksummarybyhour.log","",0,"0 0 * ? * *",0,0,"dcs_data"
"PROCESS-ADV-ALLOC-ROUTE","","Process Advance Allocation Routes",0,"timer","list warehouses | process advanced allocation for routes where wh_id=@wh_id catch(-1403)","$LESDIR/log/adv_alloc_routes.log","",0,"",60,3600,"dcs_data"
"PROCESS-AUTO-ALLOCATION","","Process Auto Allocation",1,"cron","[[ MocaUtils.currentContext().putSystemVariable("job_id", "PROCESS-AUTO-ALLOCATION") ]] | list warehouses /*| create shipments for sequence orders catch(@?)*/ | process auto allocation where oprmod = 'S' and rulmod = 'B' and wh_id = @wh_id","$LESDIR/log/process_auto_allocation.log","",0,"0 0/3 * ? 1-12 1-7 *",0,0,"dcs_data"
"PROCESS-CSGN","","Process Consigned Inventory",0,"cron","list warehouses | process scheduled ownership change where wh_id=@wh_id","$LESDIR/log/process_csgn.log","",0,"0 0 * * *",0,0,"dcs_data"
"PROCESS-DFRD-LMLE","","Process Labor Work Estimates",0,"cron","execute deferred commands where exec_typ='LMLE' and delflg = 1","$LESDIR/log/proc_dfrd_lmle.log","",0,"0 0,5,10,15,20,25,30,35,40,45,50,55 * * * ?",0,0,"dcs_data"
"PROCESS-LIST-PICK","","Process List Picks",0,"timer","list warehouses | process pick list rules where wh_id = @wh_id","$LESDIR/log/list_pick_process.log","",0,"",45,120,"dcs_data"
"PROCESS-PIP-SCHBAT","","Generate PIP Emergency Replenishment",0,"cron","process pip emergency replenishment","$LESDIR/log/pip_schbat.log","",0,"0 0,5,10,15,20,25,30,35,40,45,50,55 * * * ?",0,0,"dcs_data"
"PROCESS-RCV-PLAN","","Process Receive Plan",0,"timer","list warehouses | process lms planning for receive trucks where wh_id = @wh_id catch(@?)","$LESDIR/log/process_rcv_plan.log","",0,"",1800,1800,"dcs_data"
"PROCESS-USR-AUTOLOAD-LPN","","Process usr autoload lpn",0,"timer","list warehouses | process usr auto load of lpn","$LESDIR/log/usr_autoload_lpn_process.log","",0,"",60,600,"dcs_data"
"PROCESS-WKO-ADVREL","","Any Work Order With Auto Release Pick On With Picks In Pending Or Hold Status Will Be Automatically Released Based On The Auto Release Pick Date",0,"cron","process advanced pick release for work order","$LESDIR/log/wko_adv_pick_rel.log","",0,"0 0,5,10,15,20,25,30,35,40,45,50,55 * * * ?",0,0,"dcs_data"
"PUR-DIRS","","Purge Directories",1,"cron","purge directories","$LESDIR/log/purge_dirs.log","",0,"0 0 3 ? * *",0,0,"sal_data"
"PURGE-ALLOC-RULES","","Purges Unused Allocation Rules",1,"cron","list warehouses | purge allocation rule where wh_id = @wh_id","$LESDIR/log/purge_allocation_rules.log","",0,"0 30 1 * * ?",0,0,"dcs_data"
"PURGE-ALLOC-STATS","","Purges allocation statistics",0,"cron","list warehouses | purge allocation stats where wh_id = @wh_id and dayold = 7","","",0,"0 0 1 * * ?",0,0,"dcs_data"
"PURGE-ASYNC-RESOURCE","","Purges Asynchronous Resources",1,"cron","purge asynchronous resources where dayold = 7","","",0,"0 0 * * * ?",0,0,"dcs_data"
"PURGE-CANCEL-CNT","","Purges Cancelled Counts",0,"cron","purge cancelled counts where dayold = 30","$LESDIR/log/purge_cancel_cnt.log","",0,"0 0 17 ? * 6",0,0,"dcs_data"
"PURGE-CANCEL-RPL","","Purges Cancelled Replenishment Picks",1,"cron","purge cancelled replenishment picks where dayold = 30","$LESDIR/log/purge_cancel_repln.log","",0,"0 30 1 * * ?",0,0,"dcs_data"
"PURGE-CUST-CONSIGNMENTS","","Purges Customs Consignments",0,"cron","purge customs consignments where dayold = 30","$LESDIR/log/purge_cust_consign.log","",0,"0 45 1 * * ?",0,0,"dcs_data"
"PURGE-CUSTOMS-RTTN","","Purges old Customs Rotations whose used flag is 'Y'",1,"cron","list warehouses | purge customs rotations where wh_id = @wh_id","$LESDIR/log/purge_customs_rotations.log","",0,"0 30 1 * * ?",0,0,"dcs_data"
"PURGE-DAILY-TRN","","Purges Daily Transactions",0,"cron","purge daily transaction table where dayold = 30","$LESDIR/log/purge_dlytrn.log","",0,"0 45 1 * * ?",0,0,"dcs_data"
"PURGE-EXHRS","","Purges Any Exception Hours Sets Configured As Temporary That Are Not Being Referenced By An Address Transportation Operation",1,"cron","purge exception hours set","$LESDIR/log/purge_exhrs.log","",0,"0 46 23 * * ?",0,0,"dcs_data"
"PURGE-INV-ADJ","","Purges Inventory In An Adjustment Area",1,"cron","purge adjusted inventory where dayold = 2","$LESDIR/log/purge_invadj.log","",0,"0 0 5 ? * 1",0,0,"dcs_data"
"PURGE-JOB-EXECUTIONS","","MOCA Job Execution Purger",1,"cron","remove job execution where start_dte < sysdate - 7","","",0,"0 0 9 ? * *",0,0,"moca_data"
"PURGE-MANCNTDIS","","Purges Manual Count Discrepancies",0,"cron","purge manual count discrepancies where dayold = 1","$LESDIR/log/purge_mancntdis.log","",0,"0 0,5,10,15,20,25,30,35,40,45,50,55 * * * ?",0,0,"dcs_data"
"PURGE-OPHRS","","Purges Any Address Status Tolerance Sets Configured As Temporary That Are Not Being Referenced By An Address Transportation Operation",1,"cron","purge operational hours set","$LESDIR/log/purge_ophrs.log","",0,"0 47 23 * * ?",0,0,"dcs_data"
"PURGE-ORDER-ACT","","Purges Order Activity",0,"cron","purge order activity where dayold = 30","$LESDIR/log/purge_ordact.log","",0,"0 30 1 * * ?",0,0,"dcs_data"
"PURGE-ORPHAN-TRLR","","Purges Transport Equipments That Have Been Dispatched, But Have Never Had Carrier Loads Or Planned Inbound Orders Tied To Them",0,"cron","purge orphan trailers where dayold = 30","$LESDIR/log/purge_orphan_trlr.log","",0,"0 30 1 * * ?",0,0,"dcs_data"
"PURGE-RCV-ITEM-FTP","","Purging Receiving Item Footprint",0,"cron","purge receiving part footprints","$LESDIR/log/purge_rcv_item_ftp.log","",0,"0 0 0 L */3 ?",0,0,"dcs_data"
"PURGE-REPL-LINK","","Purge Replenishment Links",0,"cron","purge replenishment link","","",0,"0 0 1 ? * 1",0,0,"dcs_data"
"PURGE-REPORT-BOOKMARKS","","Purge Report Bookmarks",0,"cron","purge report bookmarks where bookmark_expiration_days=90","$LESDIR/log/purge_report_bookmarks.log","",0,"0 0 1 * * ?",0,0,"reporting_data"
"PURGE-RPL-ALLOC-LOC-LOG","","Purges Failed Allocate Location Logs during Allocating Replenishment",0,"cron","purge replenishment allocate location log where dayold = 30","","",0,"0 0 1 * * ?",0,0,"dcs_data"
"PURGE-SHIPPED-LPN-ACT","","Purges Shipped Lpn Activities",0,"cron","purge shipped lpn activity table where dayold = 30","$LESDIR/log/purge_shipped_lpn_act.log","",0,"0 45 1 * * ?",0,0,"dcs_data"
"PURGE-TASK-EXECUTIONS","","MOCA Task Execution Purger",1,"cron","remove task execution where start_dte < sysdate - 7","","",0,"0 0 4 ? * *",0,0,"moca_data"
"PURGE-TRN-ERR-INFO","","Purges transaction errors information",0,"cron","purge transaction error information where dayold = 30 and prcsd_flg = 1","","",0,"0 30 1 * * ?",0,0,"dcs_data"
"PURGE-UOM-PICK-EXCEPTIONS","","Purges UOM pick exceptions",0,"cron","purge uom pick exceptions where dayold = 30","","",0,"0 0 1 * * ?",0,0,"dcs_data"
"PURGE-WCS-DISCREPANCIES","","Purging WCS Discrepancies",0,"cron","list warehouses | purge wcs discrepancies where wh_id = @wh_id","$LESDIR/log/purge_wcs_disc.log","",0,"0 0 1 ? * 1",0,0,"dcs_data"
"PURGE-WEB-PERF","","Purging web performance entries",1,"cron","purge web perf resources where dayold=.5","$LESDIR/log/purge_web_perf.log","",0,"0 0 * ? * *",0,0,"dcs_data"
"PUR-PRONUM","","Purge Used PRO Number Blocks",0,"cron","purge used pro number blocks where daysold = 30.0","$LESDIR/log/purge_pronum.log","",0,"0 45 23 * * ?",0,0,"sal_data"
"PUR-SYSAUD","","Purge System Audit",1,"cron","purge system audit records","$LESDIR/log/purge_sysaud.log","",0,"0 0 23 * * ?",0,0,"sal_data"
"RECALC-VELZON","","Recalculates the Item Velocities",0,"cron","recalculate item velocities","$LESDIR/log/recalc_itemvel.log","",0,"0 0 0 15 * ?",0,0,"dcs_data"
"RECEIVING-SNAPSHOT","","Receiving Snapshot",1,"cron","list warehouses | create current receiving snapshot for warehouse where wh_id = @wh_id","","",0,"0 0,30 * * * ?",0,0,"dcs_data"
"RELEASE-LIST-PICK","","Release List Picks",0,"timer","list warehouses | process pick list release where wh_id = @wh_id
|
process usr pick work escalation","$LESDIR/log/list_pick_release.log","",0,"",60,120,"dcs_data"
"REL-PICKS","","Release Picks Based On Labor Planning Policy",1,"cron","list warehouses | release picks by dispatch time where wh_id = @wh_id","$LESDIR/log/rel_picks.log","",0,"0 0 1 * * ?",0,0,"dcs_data"
"REPLENMGR","","Replenishment Manager",1,"timer","job emergency replenishment manager","$LESDIR/log/replenmgr.log","",0,"",0,300,"dcs_data"
"ReportPurge","","Purge Reports",1,"cron","purge moca report archive files catch(501, -1403)","$LESDIR/log/ReportPurge.log","",0,"0 3 * * * ?",0,0,"mocarpt_data"
"RESERVE_NEXT_LOCATION","","Reserve the next locatoin for load",0,"timer","process failed inventory reservation","$LESDIR/log/reserve_next_location.log","",0,"",60,120,"dcs_data"
"RFID-MISSING-TAGS","","Processes The EMS Alerts For Trailers With RFID Tags In The Yard That Are Missing From The Roll Call",0,"cron","list warehouses | process missing rfid tags where wh_id = @wh_id","$LESDIR/log/rfid_miss_tag.log","",0,"0 20 * * * ?",0,0,"dcs_data"
"RFID-ROLL-CALL","","Executes The Roll Call For Trailers With RFID tags",0,"cron","list warehouses | process roll call where wh_id = @wh_id","$LESDIR/log/rfid_roll_call.log","",0,"0 0 0 * * ?",0,0,"dcs_data"
"SEND-TMS-ORDER-LINE-MEASURES","","Sends Outbound Order Line Measures to the TMS.",0,"timer","list warehouses | send tms order line measures where batch_size = 1000","$LESDIR/log/send_tms_order_line_measures.log","",0,"",60,3600,"dcs_data"
"SHIP-CNFRM-INV-WF","","SHIP-CNFRM-INV-WF",1,"timer","process usr wf confirmations","$LESDIR/log/SHIP-CNFRM-INV-WF.log","",0,"",0,600,"usr_data"
"SL-FEED_PROBE_DATA","","Feeds performance data to probe.",1,"cron","feed probe data where process_last_hour_files = true","$LESDIR/log/sl-feedprobedata.log","",0,"0 5 0-23 * * ?",0,0,"int_data"
"SLOW-MOV-ASSETS","","Processes The EMS Alerts For Slow Moving Assets",0,"cron","list warehouses | process ems event for slow moving assets where wh_id = @wh_id","$LESDIR/log/slow_mov_assets.log","",0,"0 0 * * * ?",0,0,"dcs_data"
"SL-PURASYN","","Purging Integrator errored asynchronous events.",0,"cron","[delete from sl_async_evt_que where sysdate - ins_dt >= 15 and async_evt_stat_cd = 'ERR'] catch(-1403)","$LESDIR/log/sl-purasyn.log","",0,"0 59 3 * * ?",0,0,"int_data"
"SL-PURDWLD","","Purging Integrator completed/errored downloads, but not purging events/download inprocess (status EPROC/ID, event status EC/IC).",1,"cron","sl_purge dwnld where older_than_days = 15 and not_ok_evt_stat_cd_list = "EB,EE,EN,IE,IN,SE" and dwnld_stat_cd_list = "EERR,NEW" and commit_cnt = 2 catch(-1403)","$LESDIR/log/sl-purdwld.log","",0,"0 00 10 * * ?",0,0,"int_data"
"SL-PURDWLD-SC","","Purging Integrator completed downloads, but not purging events/download inprocess (status EPROC/ID, event status EC/IC).",1,"cron","sl_purge dwnld where older_than_days = 7 and not_ok_evt_stat_cd_list = "SC" and dwnld_stat_cd_list = "EERR,NEW" and commit_cnt = 2 catch(-1403)","$LESDIR/log/sl-purdwld-sc.log","",0,"0 30 6 * * ?",0,0,"int_data"
"SL-PUREVTD","","Purging Integrator completed/errored events, but not purging event inprocess (event status EC,IC).",1,"cron","sl_purge evt_data where older_than_days = 15 and evt_stat_cd_list = "EE,IE,SE" and commit_cnt = 2 catch(-1403)","$LESDIR/log/sl-purevtd.log","",0,"0 00 20 * * ?",0,0,"int_data"
"SL-PUREVTD-SC","","Purging Integrator completed events, but not purging event inprocess (event status EC,IC).",1,"cron","sl_purge evt_data where older_than_days = 7 and evt_stat_cd_list = "SC" and commit_cnt = 2 catch(-1403)","$LESDIR/log/sl-purevtd-sc.log","",0,"0 00 7 * * ?",0,0,"int_data"
"SL-PURMLOG","","Purging Integrator message log data that is not attached to download or event.",1,"cron","sl_purge msg_log where older_than_days = 10 and commit_cnt = 50 catch(-1403)","$LESDIR/log/sl-purmlog.log","",0,"0 59 2 * * ?",0,0,"int_data"
"SL-PURSAPTID","","Purging Integrator confirmed SAP TIDs.",0,"cron","[delete from sl_es_sap_tid where sysdate - ins_dt >= 30 and es_stat_cd = 'CNFMD'] catch(-1403)","$LESDIR/log/sl-pursaptid.log","",0,"0 59 3 * * ?",0,0,"int_data"
"SL-SOCKETMONITOR","","Monitor socket connections.",0,"timer","sl_monitor socket","$LESDIR/log/sl-monitorsocket.log","",0,"",0,120,"int_data"
"SYNC-ADRMST","","Synchronization For The Addresses And Related Information",1,"cron","archive production data where arc_nam = 'STDPRD-ADDRESSES'","$LESDIR/log/sync_adrmst.log","",0,"0 0 15 ? * 7",0,0,"dcs_data"
"SYNC-APPT","","Synchronizes Data For Appointments",0,"cron","archive production data where arc_nam = 'OBSOLETE-APPOINTMENT'","$LESDIR/log/sync_appt.log","",0,"0 0 1 ? * 1",0,0,"dcs_data"
"SYNC-AREMST","","Synchronizes Data For Areas",1,"cron","archive single table data where arc_nam = 'STDPRD-AREAS' and arc_date_column = 'last_upd_dt' and arc_keep_days=1 and arc_purge_flg=0 and arc_local=0 and arc_max_batch_size=10000","$LESDIR/log/sync_adrmst.log","",0,"0 0 16 ? * 7",0,0,"dcs_data"
"SYNC-BILTRANS","","Synchronizes Data for billing",1,"cron","archive production data where arc_nam = 'BILL-TRAN'","$LESDIR/log/sync_biltrans.log","",0,"0 30 16 ? * 7",0,0,"dcs_data"
"SYNC-BLDGMST","","Synchronizes Data For Building ",1,"cron","archive single table data where arc_nam = 'STDPRD-BUILDINGS' and arc_date_column = 'last_upd_dt' and arc_keep_days=1 and arc_purge_flg=0 and arc_local=0 and arc_max_batch_size=10000","$LESDIR/log/sync_bldgmst.log","",0,"0 30 16 ? * 7",0,0,"dcs_data"
"SYNC-BOMHDR","","Synchronizes Data For Bill Of Materials And Related Information",0,"cron","archive production data where arc_nam = 'BILL-OF-MATERIALS'","$LESDIR/log/sync_bomhdr.log","",0,"0 0 1 ? * 1",0,0,"dcs_data"
"SYNC-CANPCK","","Synchronizes Data For Cancelled Ripple Picks ",0,"cron","archive production data where arc_nam = 'STDPRD-CANCELED-RPL-PICKS'","$LESDIR/log/sync_canpck.log","",0,"0 0 1 ? * 1",0,0,"dcs_data"
"SYNC-CANSHORT","","Synchronizes Data For Cancelled Shorts",0,"cron","archive production data where arc_nam = 'CANCELLED-SHORTS'","$LESDIR/log/sync_canshort.log","",0,"0 0 1 ? * 1",0,0,"dcs_data"
"SYNC-CARMOVE","","Synchronizes Data For Dispatched Transport Equipments",1,"cron","archive production data where arc_nam = 'DISPATCHED-TRAILERS'","$LESDIR/log/sync_carmove.log","",0,"0 0 18 ? * *",0,0,"dcs_data"
"SYNC-CARMOVE-P","","Synchronizes Data For Dispatched Transport Equipments",1,"cron","archive production data where arc_nam = 'DISPATCHED-TRAILERS-P'","$LESDIR/log/sync_carmove_p.log","",0,"0 0 09 ? * *",0,0,"dcs_data"
"SYNC-CARR","","Synchronizes The Carrier Data Between The Production And Archive Instances",1,"cron","archive production data where arc_nam = 'STDPRD-CARRIERS'","$LESDIR/log/sync_carr.log","",0,"0 30 23 ? * *",0,0,"dcs_data"
"SYNC-CNFRMBCKSERV","","Synchronizes Data For Conform Back Service",1,"cron","archive production data where arc_nam = 'CNFRM-BCK-SERV'","$LESDIR/log/sync_cnfrmbckserv.log","",0,"0 0 0 ? * 7",0,0,"dcs_data"
"SYNC-CNFRMINVSERV","","Synchronizes Data For Conform Inventory Service",1,"cron","archive production data where arc_nam = 'CNFRM_INV_SERV'","$LESDIR/log/sync_cnfrminvserv.log","",1,"0 10 0 ? * 7",0,0,"dcs_data"
"SYNC-CNFRMNONINVSERV","","Synchronizes Data For Conform Non-Inventory Service",1,"cron","archive production data where arc_nam = 'CNFRM-NONINV-SERV'","$LESDIR/log/sync_cnfrmnoninvserv.log","",1,"0 20 0 ? * 7",0,0,"dcs_data"
