seqnum,i_wh_id,i_colnam,i_mask,i_sts_stoloc_set,i_sts_lodnum_set,i_sts_lodnum_add,i_sts_exception_set,i_sts_exception,i_sts_gp,i_sts_gp_mb,i_sts_gp_fwi,i_sts_invtyp,i_sts_photo_miss,i_sts_prtfam,i_sts_vg_ais,i_sts_vg_kweker,i_sts_vg_diff,i_sts_asset_typ,i_stoloc_exploc,i_stoloc_rcvloc_new,i_stoloc_rcvloc_add,i_stoloc_rexcploc,i_invmix_train,i_invmix_lpn,i_inv_attr_str17,i_stoloc_on_dc,i_lodnum_on_dc,i_identifier_on_dc,i_have_confirmation,use_location,add_to_lodnum,start_scan,add_scan,new_train,allocate_location,auto_deposit,clear_pre,finish_scan,finish_asset_typ,clear_post,show_error,show_message,show_confirmation,show_parms,open_rf_frm,open_rf_frm_parms_cmd,description
110,"----","inv_attr_str8","%","1","1","%","%","%","%","%","%","%","%","%","%","%","%","1","%","%","%","%","%","%","%","%","1","1","",0,0,0,0,0,0,0,"",0,"","","","","dlgDeenInsteadOfStapelwagen[Y|N]","","","","NAI-S05-01, Scenario a: WMS determines that the load is handled as a Danish cart instead of a Trolley cart."
120,"----","inv_attr_str8","%","1","1","%","%","%","%","%","%","%","%","%","%","%","%","1","1","%","%","%","%","%","%","%","1","1","dlgDeenInsteadOfStapelwagen=Y",0,0,0,0,0,1,1,"clear usr rf device context where clear_type='clear_for_dummy_load';process usr rf identify load exception where acttyp='A' and hldpfx=@wh_id and hldnum='CARR.TYPE' and reacod='OVERIG' and invtyp=@dc_invtyp and asset_typ='2' and nottxt=''",1,"2","clear usr rf device context where clear_type='all_except_stoloc'","stsPabExceptionFinished","","","auto_deposit_mov_zone_lngdsc","","","NAI-S05-01, Scenario a: WMS determines that the load is handled as a Danish cart instead of a Trolley cart."
121,"----","inv_attr_str8","%","1","1","%","%","%","%","%","%","%","%","%","%","%","%","1","0","%","%","%","%","%","%","%","1","1","dlgDeenInsteadOfStapelwagen=Y",0,0,0,0,0,0,0,"clear usr rf device context where clear_type='clear_for_dummy_load';process usr rf identify load exception where acttyp='A' and hldpfx=@wh_id and hldnum='CARR.TYPE' and reacod='OVERIG' and invtyp=@dc_invtyp and asset_typ='2' and nottxt=''",1,"2","clear usr rf device context where clear_type='all_except_stoloc'","stsPabExceptionFinished","","","auto_deposit_mov_zone_lngdsc","","","NAI-S05-01, Scenario a: WMS determines that the load is handled as a Danish cart instead of a Trolley cart."
130,"----","inv_attr_str8","%","1","0","%","%","%","0","%","%","%","%","%","%","%","%","1","%","%","%","%","%","%","PP","%","0","0","",0,0,1,1,0,0,0,"",0,"","","","","dlgGQPlantPassport[Y|N]","lotnum","","","GAI-CHK-001 - Check on Plant Passport."
133,"----","inv_attr_str8","%","1","0","%","%","%","0","%","%","%","%","%","%","%","%","1","%","%","%","%","%","%","PPQA","%","0","0","",0,0,1,1,0,0,0,"",0,"","","","","dlgGQPlantPassport[Y|N]","lotnum","","","GFF-CFG-069 (IFT-1755) Quality indication at inbound"
135,"----","inv_attr_str8","%","1","0","%","%","%","0","%","%","%","%","%","%","%","%","1","%","%","%","%","%","%","QA","%","0","0","",0,0,1,1,0,0,0,"",0,"","","","","dlgQualityInspection[Y]","lotnum","","","GFF-CFG-069 (IFT-1755) Quality indication at inbound"
140,"----","inv_attr_str8","%","1","0","%","%","%","1","0","0","%","%","%","%","%","%","%","1","%","%","%","%","%","PP","%","0","1","dlgGQPlantPassport=Y",0,0,0,1,0,0,0,"",0,"","","","","dlgGpMbNotReceivedIsBroken[Y|N]","lotnum","","","GAI-CHK-001 - Check on Plant Passport."
143,"----","inv_attr_str8","%","1","0","%","%","%","1","0","0","%","%","%","%","%","%","%","1","%","%","%","%","%","PPQA","%","0","1","dlgGQPlantPassport=Y",0,0,0,1,0,0,0,"",0,"","","","","dlgGpMbNotReceivedIsBroken[Y|N]","lotnum","","","GFF-CFG-069 (IFT-1755) Quality indication at inbound"
145,"----","inv_attr_str8","%","1","0","%","%","%","1","0","0","%","%","%","%","%","%","%","1","%","%","%","%","%","QA","%","0","1","dlgQualityInspection=Y",0,0,0,1,0,0,0,"",0,"","","","","dlgGpMbNotReceivedIsBroken[Y|N]","lotnum","","","GFF-CFG-069 (IFT-1755) Quality indication at inbound."
150,"----","inv_attr_str8","%","1","0","%","0","%","%","%","%","%","%","%","%","%","%","%","1","%","%","%","%","%","PP","%","1","1","",0,0,0,0,0,0,0,"",1,"2","clear usr rf device context where clear_type='all_except_stoloc'","","stsPabFinished","","","","","GAI-CHK-001 - Check on Plant Passport."
153,"----","inv_attr_str8","%","1","0","%","0","%","%","%","%","%","%","%","%","%","%","%","1","%","%","%","%","%","PPQA","%","1","1","",0,0,0,0,0,0,0,"",1,"2","clear usr rf device context where clear_type='all_except_stoloc'","","stsPabFinished","","","","","GFF-CFG-069 (IFT-1755) Quality indication at inbound"
155,"----","inv_attr_str8","%","1","0","%","0","%","%","%","%","%","%","%","%","%","%","%","1","%","%","%","%","%","QA","%","1","1","",0,0,0,0,0,0,0,"",1,"2","clear usr rf device context where clear_type='all_except_stoloc'","","stsPabFinished","","","","","GFF-CFG-069 (IFT-1755) Quality indication at inbound"
160,"----","inv_attr_str8","%","1","1","%","%","%","%","%","%","%","%","%","%","%","%","1","%","%","%","%","%","%","%","%","1","1","dlgDeenInsteadOfStapelwagen=N",0,0,0,0,0,0,0,"",0,"","","","","","","","","NAI-S05-01, Scenario a: WMS determines that the load is handled as a Danish cart instead of a Trolley cart."
170,"----","inv_attr_str8","%","1","0","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","PP","%","0","0","",0,0,1,1,0,0,0,"",0,"","","","","dlgGQPlantPassport[Y|N]","lotnum","","","GAI-CHK-001 - Check on Plant Passport."
173,"----","inv_attr_str8","%","1","0","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","QA","%","0","0","",0,0,1,1,0,0,0,"",0,"","","","","dlgQualityInspection[Y]","lotnum","","","GFF-CFG-069 (IFT-1755) Quality indication at inbound)"
175,"----","inv_attr_str8","%","1","0","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","PPQA","%","0","0","",0,0,1,1,0,0,0,"",0,"","","","","dlgGQPlantPassport[Y|N]","lotnum","","","GAI-CHK-001 - Check on Plant Passport."
177,"----","inv_attr_str8","%","1","1","%","%","%","%","%","%","*MULT*","%","%","%","%","%","%","1","%","%","%","%","%","%","%","%","%","dlgAddUnlinkedPAB=Y,dlgGQPlantPassport=Y",0,0,0,0,0,0,0,"",0,"","","errMultipleInvtyp","","","","USR_IDENTIFY_LOAD_EX","publish data where disable_back='1' and dvc_var_nam='hldpfx,hldnum,asset_typ,invtyp,nottxt' and dvc_ena_flg='0,0,1,1,0' and hldpfx=@@wh_id and hldnum='LOT.MULT'","NAI-S02-07, Scenario f: Different part families or ASN types with non linked PRNs on 1 physical load."
178,"----","inv_attr_str8","%","1","1","%","%","%","%","%","%","%","%","%","456,567","%","%","%","1","%","%","%","%","%","%","%","%","%","dlgAddUnlinkedPAB=Y,dlgGQPlantPassport=Y",0,0,0,1,0,0,0,"",0,"","","","stsPabAdded","","","USR_IDENTIFY_LOAD_EX","publish data where disable_back='1' and dvc_var_nam='hldpfx,hldnum,asset_typ,invtyp,nottxt' and dvc_ena_flg='0,0,0,0,0' and hldpfx=@@wh_id and hldnum='PHOTO.MISS' and invtyp='10' and nottxt=''","NAI-S04-01, Scenario a: PRN contains auction group 'photo missing '."
179,"----","inv_attr_str8","%","1","1","%","%","%","%","%","%","%","%","%","","456,567","%","%","1","%","%","%","%","%","%","%","%","%","dlgAddUnlinkedPAB=Y,dlgGQPlantPassport=Y",0,0,0,1,0,0,0,"",0,"","","","stsPabAdded","","","USR_IDENTIFY_LOAD_EX","publish data where disable_back='1' and dvc_var_nam='hldpfx,hldnum,asset_typ,invtyp,nottxt' and dvc_ena_flg='0,0,0,0,0' and hldpfx=@@wh_id and hldnum='PHOTO.MISS' and invtyp='10' and nottxt=''","NAI-S04-01, Scenario a: PRN contains auction group 'photo missing '."
180,"----","inv_attr_str8","%","1","1","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","PP","%","%","%","dlgAddUnlinkedPAB=Y,dlgGQPlantPassport=Y",0,0,0,1,0,0,0,"",0,"","","","stsPabStarted","","","","","GAI-CHK-001 - Check on Plant Passport."
183,"----","inv_attr_str8","%","1","1","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","PPQA","%","%","%","dlgAddUnlinkedPAB=Y,dlgGQPlantPassport=Y,dlgQualityInspection=Y",0,0,0,1,0,0,0,"",0,"","","","stsPabStarted","","","","","GFF-CFG-069 (IFT-1755) Quality indication at inbound"
185,"----","inv_attr_str8","%","1","1","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","QA","%","%","%","dlgAddUnlinkedPAB=Y,dlgQualityInspection=Y",0,0,0,1,0,0,0,"",0,"","","","stsPabStarted","","","","","GFF-CFG-069 (IFT-1755) Quality indication at inbound"
187,"----","inv_attr_str8","%","1","%","%","%","%","%","%","%","%","%","%","%","%","0","%","%","%","%","%","0","%","PPQA","%","%","%","dlgGQPlantPassport=Y",0,0,0,0,0,0,0,"",0,"","","","","dlgQualityInspection[Y]","","","","GFF-CFG-069 (IFT-1755) Quality indication at inbound"
190,"----","inv_attr_str8","%","1","1","%","%","%","1","0","0","%","%","%","%","%","%","%","1","%","%","%","%","%","PP","%","0","0","dlgAddUnlinkedPAB=Y,dlgGQPlantPassport=Y",0,0,0,0,0,0,0,"",0,"","","","","dlgGpMbNotReceivedIsBroken[Y|N]","lotnum","","","GAI-CHK-001 - Check on Plant Passport."
193,"----","inv_attr_str8","%","1","1","%","%","%","1","0","0","%","%","%","%","%","%","%","1","%","%","%","%","%","PPQA","%","0","0","dlgAddUnlinkedPAB=Y,dlgGQPlantPassport=Y,dlgQualityInspection=Y",0,0,0,0,0,0,0,"",0,"","","","","dlgGpMbNotReceivedIsBroken[Y|N]","lotnum","","","GFF-CFG-069 (IFT-1755) Quality indication at inbound"
195,"----","inv_attr_str8","%","1","1","%","%","%","1","0","0","%","%","%","%","%","%","%","1","%","%","%","%","%","QA","%","0","0","dlgAddUnlinkedPAB=Y,dlgQualityInspection=Y",0,0,0,0,0,0,0,"",0,"","","","","dlgGpMbNotReceivedIsBroken[Y|N]","lotnum","","","GFF-CFG-069 (IFT-1755) Quality indication at inbound"
200,"----","inv_attr_str8","%","1","1","%","%","%","%","%","%","%","%","%","%","%","%","%","1","%","%","%","%","%","%","%","0","0","",0,0,0,0,0,0,0,"",0,"","","","","dlgAddUnlinkedPAB[Y|N]","","","","803603 - Ask confirmation if a non-linked PAB is to be added."
203,"----","inv_attr_str8","%","1","1","%","%","%","1","0","0","%","%","%","%","%","%","%","1","%","%","%","%","%","PPQA","%","1","1","dlgGQPlantPassport=Y,dlgQualityInspection=Y",0,0,0,0,0,0,0,"",0,"","","","","dlgGpMbNotReceivedIsBroken[Y|N]","lotnum","","","GFF-CFG-069 (IFT-1755) Quality indication at inbound"
205,"----","inv_attr_str8","%","1","1","%","%","%","1","0","0","%","%","%","%","%","%","%","1","%","%","%","%","%","QA","%","1","1","dlgQualityInspection=Y",0,0,0,0,0,0,0,"",0,"","","","","dlgGpMbNotReceivedIsBroken[Y|N]","lotnum","","","GFF-CFG-069 (IFT-1755) Quality indication at inbound"
209,"----","inv_attr_str8","%","1","%","%","%","%","%","%","%","%","1","%","%","%","%","%","1","%","%","%","%","%","PPQA","%","%","%","dlgGQPlantPassport=Y",0,0,0,0,0,0,0,"",0,"","","","","dlgQualityInspection[Y]","","USR_IDENTIFY_LOAD_EX","publish data where disable_back='1' and dvc_var_nam='hldpfx,hldnum,asset_typ,invtyp,nottxt' and dvc_ena_flg='0,0,0,0,0' and hldpfx=@@wh_id and hldnum='PHOTO.MISS' and invtyp='10' and nottxt=''","GFF-CFG-069 (IFT-1755) Quality indication at inbound"
210,"----","inv_attr_str8","%","1","1","%","%","%","%","%","%","%","%","%","%","%","%","%","1","%","%","%","%","%","%","%","0","0","dlgAddUnlinkedPAB=N",0,0,0,0,0,0,0,"",0,"","","","","","","","","803603 - User does not want to add the non-linked PAB."
211,"----","inv_attr_str8","%","1","%","%","0","%","%","%","%","*MULT*","%","%","%","%","%","%","1","%","%","%","%","%","%","%","%","%","dlgQualityInspection=Y",0,0,0,0,0,0,0,"",0,"","","errMultipleInvtyp","","","","USR_IDENTIFY_LOAD_EX","publish data where disable_back='1' and dvc_var_nam='hldpfx,hldnum,asset_typ,invtyp,nottxt' and dvc_ena_flg='0,0,1,1,0' and hldpfx=@@wh_id and hldnum='LOT.MULT'","GFF-CFG-069 (IFT-1755) Quality indication at inbound"
212,"----","inv_attr_str8","%","1","%","%","%","%","%","%","%","%","1","%","%","%","%","%","1","%","%","%","%","%","%","%","%","%","dlgQualityInspection=Y",0,0,0,0,0,0,0,"",0,"","","","stsPabAdded","","","USR_IDENTIFY_LOAD_EX","publish data where disable_back='1' and dvc_var_nam='hldpfx,hldnum,asset_typ,invtyp,nottxt' and dvc_ena_flg='0,0,0,0,0' and hldpfx=@@wh_id and hldnum='PHOTO.MISS' and invtyp='10' and nottxt=''","GFF-CFG-069 (IFT-1755) Quality indication at inbound"
213,"----","inv_attr_str8","%","1","0","%","%","%","%","%","%","%","%","%","456,567","%","%","%","1","%","%","%","%","%","%","%","%","%","dlgQualityInspection=Y",0,0,0,0,0,0,0,"",0,"","","","stsPabAdded","","","USR_IDENTIFY_LOAD_EX","publish data where disable_back='1' and dvc_var_nam='hldpfx,hldnum,asset_typ,invtyp,nottxt' and dvc_ena_flg='0,0,0,0,0' and hldpfx=@@wh_id and hldnum='PHOTO.MISS' and invtyp='10' and nottxt=''","GFF-CFG-069 (IFT-1755) Quality indication at inbound"
214,"----","inv_attr_str8","%","1","0","%","%","%","%","%","%","%","%","%","","456,567","%","%","1","%","%","%","%","%","%","%","%","%","dlgQualityInspection=Y",0,0,0,0,0,0,0,"",0,"","","","stsPabAdded","","","USR_IDENTIFY_LOAD_EX","publish data where disable_back='1' and dvc_var_nam='hldpfx,hldnum,asset_typ,invtyp,nottxt' and dvc_ena_flg='0,0,0,0,0' and hldpfx=@@wh_id and hldnum='PHOTO.MISS' and invtyp='10' and nottxt=''","GFF-CFG-069 (IFT-1755) Quality indication at inbound"
215,"----","inv_attr_str8","%","1","%","%","0","%","%","%","%","*MULT*","%","%","%","%","%","%","1","%","%","%","%","%","%","%","%","%","dlgGQPlantPassport=Y,dlgQualityInspection=Y",0,0,0,0,0,0,0,"",0,"","","errMultipleInvtyp","","","","USR_IDENTIFY_LOAD_EX","publish data where disable_back='1' and dvc_var_nam='hldpfx,hldnum,asset_typ,invtyp,nottxt' and dvc_ena_flg='0,0,1,1,0' and hldpfx=@@wh_id and hldnum='LOT.MULT'","GFF-CFG-069 (IFT-1755) Quality indication at inbound"
216,"----","inv_attr_str8","%","1","%","%","%","%","%","%","%","%","1","%","%","%","%","%","1","%","%","%","%","%","%","%","%","%","dlgGQPlantPassport=Y,dlgQualityInspection=Y",0,0,0,0,0,0,0,"",0,"","","","stsPabAdded","","","USR_IDENTIFY_LOAD_EX","publish data where disable_back='1' and dvc_var_nam='hldpfx,hldnum,asset_typ,invtyp,nottxt' and dvc_ena_flg='0,0,0,0,0' and hldpfx=@@wh_id and hldnum='PHOTO.MISS' and invtyp='10' and nottxt=''","GFF-CFG-069 (IFT-1755) Quality indication at inbound"
217,"----","inv_attr_str8","%","1","0","%","%","%","%","%","%","%","%","%","456,567","%","%","%","1","%","%","%","%","%","%","%","%","%","dlgQualityInspection=Y",0,0,0,0,0,0,0,"",0,"","","","stsPabAdded","","","USR_IDENTIFY_LOAD_EX","publish data where disable_back='1' and dvc_var_nam='hldpfx,hldnum,asset_typ,invtyp,nottxt' and dvc_ena_flg='0,0,0,0,0' and hldpfx=@@wh_id and hldnum='PHOTO.MISS' and invtyp='10' and nottxt=''","GFF-CFG-069 (IFT-1755) Quality indication at inbound"
218,"----","inv_attr_str8","%","1","0","%","%","%","%","%","%","%","%","%","","456,567","%","%","1","%","%","%","%","%","%","%","%","%","dlgGQPlantPassport=Y,dlgQualityInspection=Y",0,0,0,0,0,0,0,"",0,"","","","stsPabAdded","","","USR_IDENTIFY_LOAD_EX","publish data where disable_back='1' and dvc_var_nam='hldpfx,hldnum,asset_typ,invtyp,nottxt' and dvc_ena_flg='0,0,0,0,0' and hldpfx=@@wh_id and hldnum='PHOTO.MISS' and invtyp='10' and nottxt=''","GFF-CFG-069 (IFT-1755) Quality indication at inbound"
220,"----","inv_attr_str8","%","1","1","%","%","%","1","0","0","%","%","%","%","%","%","%","1","%","%","%","%","%","PP","%","1","1","dlgGQPlantPassport=Y",0,0,0,0,0,0,0,"",0,"","","","","dlgGpMbNotReceivedIsBroken[Y|N]","lotnum","","","GAI-CHK-001 - Check on Plant Passport."
224,"----","inv_attr_str8","%","1","%","%","0","%","%","%","%","%","%","%","%","%","%","%","1","%","%","%","%","%","PPQA","%","%","%","dlgGQPlantPassport=Y",0,0,0,0,0,0,0,"",0,"","","","","dlgQualityInspection[Y]","","","","GFF-CFG-069 (IFT-1755) Quality indication at inbound"
226,"----","inv_attr_str8","%","1","%","%","0","%","%","%","%","*MULT*","%","%","%","%","%","%","1","%","%","%","%","%","%","%","%","%","dlgGQPlantPassport=Y",0,0,0,0,0,0,0,"",0,"","","errMultipleInvtyp","","","","USR_IDENTIFY_LOAD_EX","publish data where disable_back='1' and dvc_var_nam='hldpfx,hldnum,asset_typ,invtyp,nottxt' and dvc_ena_flg='0,0,1,1,0' and hldpfx=@@wh_id and hldnum='LOT.MULT'","NAI-S02-07, Scenario f: Different part families or ASN types with non linked PRNs on 1 physical load."
227,"----","inv_attr_str8","%","1","%","%","%","%","%","%","%","%","1","%","%","%","%","%","1","%","%","%","%","%","%","%","%","%","dlgGQPlantPassport=Y",0,0,0,0,0,0,0,"",0,"","","","stsPabAdded","","","USR_IDENTIFY_LOAD_EX","publish data where disable_back='1' and dvc_var_nam='hldpfx,hldnum,asset_typ,invtyp,nottxt' and dvc_ena_flg='0,0,0,0,0' and hldpfx=@@wh_id and hldnum='PHOTO.MISS' and invtyp='10' and nottxt=''","CR803580, Change vraagtekenspoor LOT.MULTI to PHOTO.MISS"
228,"----","inv_attr_str8","%","1","0","%","%","%","%","%","%","%","%","%","456,567","%","%","%","1","%","%","%","%","%","%","%","%","%","dlgGQPlantPassport=Y",0,0,0,0,0,0,0,"",0,"","","","stsPabAdded","","","USR_IDENTIFY_LOAD_EX","publish data where disable_back='1' and dvc_var_nam='hldpfx,hldnum,asset_typ,invtyp,nottxt' and dvc_ena_flg='0,0,0,0,0' and hldpfx=@@wh_id and hldnum='PHOTO.MISS' and invtyp='10' and nottxt=''","NAI-S04-01, Scenario a: PRN contains auction group 'photo missing '."
229,"----","inv_attr_str8","%","1","0","%","%","%","%","%","%","%","%","%","","456,567","%","%","1","%","%","%","%","%","%","%","%","%","dlgGQPlantPassport=Y",0,0,0,0,0,0,0,"",0,"","","","stsPabAdded","","","USR_IDENTIFY_LOAD_EX","publish data where disable_back='1' and dvc_var_nam='hldpfx,hldnum,asset_typ,invtyp,nottxt' and dvc_ena_flg='0,0,0,0,0' and hldpfx=@@wh_id and hldnum='PHOTO.MISS' and invtyp='10' and nottxt=''","NAI-S04-01, Scenario a: PRN contains auction group 'photo missing '."
230,"----","inv_attr_str8","%","1","%","%","%","%","%","%","%","%","%","%","%","%","0","%","%","%","%","%","0","%","PP","%","%","%","dlgGQPlantPassport=Y",0,0,0,0,0,0,0,"",0,"","","","stsPabStarted","","","","","GAI-CHK-001 - Check on Plant Passport."
233,"----","inv_attr_str8","%","1","%","%","%","%","%","%","%","%","%","%","%","%","0","%","%","%","%","%","0","%","PPQA","%","%","%","dlgGQPlantPassport=Y,dlgQualityInspection=Y",0,0,0,0,0,0,0,"",0,"","","","stsPabStarted","","","","","GFF-CFG-069 (IFT-1755) Quality indication at inbound"
235,"----","inv_attr_str8","%","1","%","%","%","%","%","%","%","%","%","%","%","%","0","%","%","%","%","%","0","%","QA","%","%","%","dlgQualityInspection=Y",0,0,0,0,0,0,0,"",0,"","","","stsPabStarted","","","","","GFF-CFG-069 (IFT-1755) Quality indication at inbound"
240,"----","inv_attr_str8","%","1","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","PP","%","%","%","dlgAddUnlinkedPAB=Y,dlgGQPlantPassport=N",0,0,0,1,0,0,0,"",0,"","","","","","lotnum","USR_IDENTIFY_LOAD_EX","list usr rf identify load device scan status | publish data where disable_back='1' and dvc_var_nam='hldpfx,hldnum,asset_typ,invtyp,nottxt' and dvc_ena_flg='0,0,0,0,0' and hldpfx=@@wh_id and hldnum='PASSP.MISS' and asset_typ=@dc_asset_typ and invtyp=@dc_invtyp ","GAI-CHK-001 - Check on Plant Passport."
243,"----","inv_attr_str8","%","1","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","PPQA","%","%","%","dlgAddUnlinkedPAB=Y,dlgGQPlantPassport=N,dlgQualityInspection=Y",0,0,0,1,0,0,0,"",0,"","","","","","lotnum","USR_IDENTIFY_LOAD_EX","list usr rf identify load device scan status | publish data where disable_back='1' and dvc_var_nam='hldpfx,hldnum,asset_typ,invtyp,nottxt' and dvc_ena_flg='0,0,0,0,0' and hldpfx=@@wh_id and hldnum='PASSP.MISS' and asset_typ=@dc_asset_typ and invtyp=@dc_invtyp ","GFF-CFG-069 (IFT-1755) Quality indication at inbound"
245,"----","inv_attr_str8","%","1","%","%","%","%","1","0","%","%","1","%","%","%","1","%","%","%","%","%","%","%","PP","%","%","%","dlgGQPlantPassport=N,dlgGpMbNotReceivedIsBroken=Y",0,0,0,0,0,0,0,"process usr rf exception where lodnum=@lodnum and acttyp='L' and prc_hldpfx=@wh_id and prc_hldnum='LOT.SORT' and prc_reacod='OVERIG' and invtyp=@dc_invtyp and asset_typ='1'and nottxt=''",0,"","clear usr rf device context where clear_type='all_except_stoloc'","","stsScanGpMbFirst","","","","","GFF-CFG-069 (IFT-1755) Quality indication at inbound"
