eo_id,eo_ver,eo_seg_id,eo_seg_descr,parent_eo_id,parent_eo_ver,parent_eo_seg_id,blk_alg_id,blk_alg_eval_cd,retr_mthd_id,eo_seg_ordr,u_version,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id
"CANON_DESPATCH_ADVICE","2019.1.1","DESPATCHADVICESHIPTO","Despatch Advice ship to","CANON_DESPATCH_ADVICE","2019.1.1","DESPATCHADVICE","","","DA_SHIPTO",70,2,"20210202173305","20210202173316","SLIMP_I","SLIMP_I"
"CANON_DESPATCH_ADVICE","2019.1.1","DESPATCHADVICETRANSPORTINFO","Despatch Advice transport info","CANON_DESPATCH_ADVICE","2019.1.1","DESPATCHADVICE","","","DA_TRANSPORT_INFORMATION",110,2,"20210202173305","20210202173316","SLIMP_I","SLIMP_I"
"CANON_DESPATCH_ADVICE","2019.1.1","DESPATCHEXTENSION","extension","CANON_DESPATCH_ADVICE","2019.1.1","DESPATCHADVICELINEITEM","","","DISPATCH_ADVICE_EXTENSION",5,2,"20210202173305","20210202173316","SLIMP_I","SLIMP_I"
"CANON_DESPATCH_ADVICE","2019.1.1","DOCUMENTIDENTIFICATION","GS1 Document Identification Segment","CANON_DESPATCH_ADVICE","2019.1.1","STANDARDBUSINESSDOCUMENTHEADER","","","DESPATCH_ADVICE_DOCID",30,2,"20210202173305","20210202173316","SLIMP_I","SLIMP_I"
"CANON_DESPATCH_ADVICE","2019.1.1","DROPOFFSTOP","drop off stop","CANON_DESPATCH_ADVICE","2019.1.1","DAEXTENSION","","","DESPATCH_ADVICE_EXT_STOP",20,2,"20210202173305","20210202173316","SLIMP_I","SLIMP_I"
"CANON_DESPATCH_ADVICE","2019.1.1","EXTENSION","Extension","CANON_DESPATCH_ADVICE","2019.1.1","DESPATCHADVICE","","","DESPATCH_ADVICE_EXTENSION",5,2,"20210202173305","20210202173316","SLIMP_I","SLIMP_I"
"CANON_DESPATCH_ADVICE","2019.1.1","EXTSHIPMENT","shipment","CANON_DESPATCH_ADVICE","2019.1.1","DAEXTENSION","","","DESPATCH_ADVICE_EXT_SHIP",30,2,"20210202173305","20210202173316","SLIMP_I","SLIMP_I"
"CANON_DESPATCH_ADVICE","2019.1.1","LINEITEMCUSTOMERREF","Reference to the business document that triggered the delivery of the goods.","CANON_DESPATCH_ADVICE","2019.1.1","DESPATCHADVICELINEITEM","","","DA_LINEITEM_CUSTOMERREF",20,2,"20210202173305","20210202173316","SLIMP_I","SLIMP_I"
"CANON_DESPATCH_ADVICE","2019.1.1","LINEITEMPURCHASEORDER","Reference to the business document that triggered the delivery of the goods i.e Purchase Order.","CANON_DESPATCH_ADVICE","2019.1.1","DESPATCHADVICELINEITEM","","","DA_LINEITEM_PURCHASEORDER",30,2,"20210202173305","20210202173316","SLIMP_I","SLIMP_I"
"CANON_DESPATCH_ADVICE","2019.1.1","LOAD","load","CANON_DESPATCH_ADVICE","2019.1.1","DAEXTENSION","","","DESPATCH_ADVICE_EXT_LOAD",10,2,"20210202173305","20210202173316","SLIMP_I","SLIMP_I"
"CANON_DESPATCH_ADVICE","2019.1.1","LOGISTICUNITIDENTIFICATION","Despatch Advice logistic unit identification","CANON_DESPATCH_ADVICE","2019.1.1","DESPATCHADVICELOGISTICUNIT","","","DA_LOGISTIC_UNIT_ID",10,2,"20210202173305","20210202173316","SLIMP_I","SLIMP_I"
"CANON_DESPATCH_ADVICE","2019.1.1","MBOL","master bill of lading no","CANON_DESPATCH_ADVICE","2019.1.1","LOAD","","","DESPATCH_ADVICE_EXT_MBOL",10,2,"20210202173305","20210202173316","SLIMP_I","SLIMP_I"
"CANON_DESPATCH_ADVICE","2019.1.1","MEASUREMENTVALUE","Despatch Advice measurement value","CANON_DESPATCH_ADVICE","2019.1.1","TRANSACTIONALITEMWEIGHT","","","DA_MEASUREMENT_VALUE",10,2,"20210202173305","20210202173316","SLIMP_I","SLIMP_I"
"CANON_DESPATCH_ADVICE","2019.1.1","RECEIVER","GS1 Canonical Receiver Segment","CANON_DESPATCH_ADVICE","2019.1.1","STANDARDBUSINESSDOCUMENTHEADER","","","DESPATCH_ADVICE_RECEIVER",20,2,"20210202173305","20210202173316","SLIMP_I","SLIMP_I"
"CANON_DESPATCH_ADVICE","2019.1.1","RECEIVERADDITIONALPARTYID","Despatch Advice receiver party id","CANON_DESPATCH_ADVICE","2019.1.1","DESPATCHADVICERECEIVER","","","DA_RECEIVER_ADDITIONALPARTYID",10,2,"20210202173305","20210202173316","SLIMP_I","SLIMP_I"
"CANON_DESPATCH_ADVICE","2019.1.1","RECEIVERIDENTIFIER","Receiver Identifier","CANON_DESPATCH_ADVICE","2019.1.1","RECEIVER","","","DESPATCH_ADVICE_RECEIVER_RM",10,2,"20210202173305","20210202173316","SLIMP_I","SLIMP_I"
"CANON_DESPATCH_ADVICE","2019.1.1","SELLERADDITIONALPARTYID","Despatch Advice seller party id","CANON_DESPATCH_ADVICE","2019.1.1","DESPATCHADVICESELLER","","","DA_SELLER_ADDITIONALPARTYID",10,2,"20210202173305","20210202173316","SLIMP_I","SLIMP_I"
"CANON_DESPATCH_ADVICE","2019.1.1","SENDER","GS1 Canonical Sender Segment","CANON_DESPATCH_ADVICE","2019.1.1","STANDARDBUSINESSDOCUMENTHEADER","","","DESPATCH_ADVICE_SENDER",10,2,"20210202173305","20210202173316","SLIMP_I","SLIMP_I"
"CANON_DESPATCH_ADVICE","2019.1.1","SENDERIDENTIFIER","Sender Idenitfier","CANON_DESPATCH_ADVICE","2019.1.1","SENDER","","","DESPATCH_ADVICE_SENDER_RM",10,2,"20210202173305","20210202173316","SLIMP_I","SLIMP_I"
"CANON_DESPATCH_ADVICE","2019.1.1","SHIPFROMADDITIONALPARTYID","Despatch Advice ship from party id","CANON_DESPATCH_ADVICE","2019.1.1","DESPATCHADVICESHIPFROM","","","DA_SHIPFROM_ADDITIONALPARTYID",10,2,"20210202173305","20210202173316","SLIMP_I","SLIMP_I"
"CANON_DESPATCH_ADVICE","2019.1.1","SHIPMENTBOL","shipment level bill of lading number","CANON_DESPATCH_ADVICE","2019.1.1","DESPATCHADVICETRANSPORTINFO","","","DESPATCH_ADVICE_SHIP_BOL",5,2,"20210202173305","20210202173316","SLIMP_I","SLIMP_I"
"CANON_DESPATCH_ADVICE","2019.1.1","SHIPMENTIDENTIFICATION","Despatch Advice shipment identification","CANON_DESPATCH_ADVICE","2019.1.1","DESPATCHADVICETRANSPORTINFO","","","DA_SHIPMENT_IDENTIFICATION",10,2,"20210202173305","20210202173316","SLIMP_I","SLIMP_I"
"CANON_DESPATCH_ADVICE","2019.1.1","SHIPMENTPRO","pro number at shipment level","CANON_DESPATCH_ADVICE","2019.1.1","EXTSHIPMENT","","","DESPATCH_ADVICE_EXT_SHIPPRO",10,2,"20210202173305","20210202173316","SLIMP_I","SLIMP_I"
"CANON_DESPATCH_ADVICE","2019.1.1","SHIPPERADDITIONALPARTYID","Despatch Advice shipper party id","CANON_DESPATCH_ADVICE","2019.1.1","DESPATCHADVICESHIPPER","","","DA_SHIPPER_ADDITIONALPARTYID",10,2,"20210202173305","20210202173316","SLIMP_I","SLIMP_I"
"CANON_DESPATCH_ADVICE","2019.1.1","SHIPTOADDITIONALPARTYID","Despatch Advice ship to party id","CANON_DESPATCH_ADVICE","2019.1.1","DESPATCHADVICESHIPTO","","","DA_SHIPTO_ADDITIONALPARTYID",10,2,"20210202173305","20210202173316","SLIMP_I","SLIMP_I"
"CANON_DESPATCH_ADVICE","2019.1.1","STANDARDBUSINESSDOCUMENTHEADER","GS1 Canonical Order Standard Business Document Header Segment","CANON_DESPATCH_ADVICE","2019.1.1","DESPATCHADVICEMESSAGE","","","DESPATCH_ADVICE_SBDH",10,2,"20210202173305","20210202173316","SLIMP_I","SLIMP_I"
"CANON_DESPATCH_ADVICE","2019.1.1","STOPBOL","Stop Level bill of lading no","CANON_DESPATCH_ADVICE","2019.1.1","DROPOFFSTOP","","","DESPATCH_ADVICE_EXT_BOL",10,2,"20210202173305","20210202173316","SLIMP_I","SLIMP_I"
"CANON_DESPATCH_ADVICE","2019.1.1","STOPPRO","pro number at stop level","CANON_DESPATCH_ADVICE","2019.1.1","DROPOFFSTOP","","","DESPATCH_ADVICE_EXT_STOPPRO",20,2,"20210202173305","20210202173316","SLIMP_I","SLIMP_I"
"CANON_DESPATCH_ADVICE","2019.1.1","TMSSHIPMENTNUMBER","TMS Shipment Number","CANON_DESPATCH_ADVICE","2019.1.1","DESPATCHADVICELINEITEM","","","DA_TMS_SHIP_DTL",35,2,"20210202173305","20210202173316","SLIMP_I","SLIMP_I"
"CANON_DESPATCH_ADVICE","2019.1.1","TRANSACTIONALITEMDATA","Despatch Advice transactional item data","CANON_DESPATCH_ADVICE","2019.1.1","TRANSACTIONALTRADEITEM","","","DA_TRANSACTIONAL_ITEM_DATA",20,2,"20210202173305","20210202173316","SLIMP_I","SLIMP_I"
"CANON_DESPATCH_ADVICE","2019.1.1","TRANSACTIONALITEMWEIGHT","Despatch Advice transactional item weight","CANON_DESPATCH_ADVICE","2019.1.1","TRANSACTIONALITEMDATA","","","DA_TRANSACTIONAL_ITEM_WEIGHT",10,2,"20210202173305","20210202173316","SLIMP_I","SLIMP_I"
"CANON_DESPATCH_ADVICE","2019.1.1","TRANSACTIONALTRADEITEM","Despatch Advice transactional trade item","CANON_DESPATCH_ADVICE","2019.1.1","DESPATCHADVICELINEITEM","","","DA_TRANSACTIONAL_TRADE_ITEM",10,2,"20210202173305","20210202173316","SLIMP_I","SLIMP_I"
"CANON_DESPATCH_ADVICE","2019.1.1","TRANSACTIONREFSRN","TRANSACTIONREFSRN","CANON_DESPATCH_ADVICE","2019.1.1","DALINEEXTENSION","","","DESPATCH_ADVICE_TRNREF_SRN",5,2,"20210202173305","20210202173316","SLIMP_I","SLIMP_I"
"CANON_DESPATCH_ADVICE","2019.1.1","UNITLINEITEMAVPLIST","Despatch Advice logistic unit line item AVP list","CANON_DESPATCH_ADVICE","2019.1.1","DESPATCHADVICELINEITEM","","","DA_UNIT_LINE_ITEM_AVPLIST",40,2,"20210202173305","20210202173316","SLIMP_I","SLIMP_I"
"CANON_ORDER_TRAN","2019.1","ADDITIONALTRADEITEMID","GS1 Canonical Order Additional Trade Item Identification Segment","CANON_ORDER_TRAN","2019.1","TRANSACTIONALTRADEITEM","","","ADDITIONALTRADEITEMID",10,1,"20210202173212","","SLIMP_I",""
"CANON_ORDER_TRAN","2019.1","BILLTO","GS1 Canonical Order Bill To Segment","CANON_ORDER_TRAN","2019.1","ORDER","","","BILLTO",50,1,"20210202173212","","SLIMP_I",""
"CANON_ORDER_TRAN","2019.1","BILLTOADD","bill to additionalPartyIdentification","CANON_ORDER_TRAN","2019.1","BILLTO","","","BILLTOADDITIONALPARTYID",1,1,"20210202173212","","SLIMP_I",""
"CANON_ORDER_TRAN","2019.1","BILLTOADDRESS","GS1 Canonical Order Bill To Address Segment","CANON_ORDER_TRAN","2019.1","BILLTO","","","BILLTOADDRESS",10,1,"20210202173212","","SLIMP_I",""
"CANON_ORDER_TRAN","2019.1","BILLTOCONTACT","GS1 Canonical Order Ship To  Contact Segment","CANON_ORDER_TRAN","2019.1","BILLTO","","","BILLTOCONTACT",20,1,"20210202173212","","SLIMP_I",""
"CANON_ORDER_TRAN","2019.1","BILLTOCUSTOMER","Bill To Customer","CANON_ORDER_TRAN","2019.1","ORDEREXTENSION","","","GS1_EXTENSIONBILLTO_RM",40,1,"20210202173212","","SLIMP_I",""
"CANON_ORDER_TRAN","2019.1","BILLTOGEOGRAPHICALCOORDINATES","GS1 Canonical Order Bill To Geographical Coordinates Segment","CANON_ORDER_TRAN","2019.1","BILLTOADDRESS","","","BILLTOGEOGRAPHICALCOORDINATES",10,1,"20210202173212","","SLIMP_I",""
"CANON_ORDER_TRAN","2019.1","BRADDPARTY","broker additionalPartyIdentification","CANON_ORDER_TRAN","2019.1","BRCUSTOMER","","","BROKER_ADDPARTY_RM",10,1,"20210202173212","","SLIMP_I",""
"CANON_ORDER_TRAN","2019.1","BRCUSTOMER","Broker Customer","CANON_ORDER_TRAN","2019.1","ORDEREXTENSION","","","GS1_EXTENSIONBROKER_RM",50,1,"20210202173212","","SLIMP_I",""
"CANON_ORDER_TRAN","2019.1","BUYER","GS1 Canonical Order Buyer Segment","CANON_ORDER_TRAN","2019.1","ORDER","","","BUYER",30,1,"20210202173212","","SLIMP_I",""
"CANON_ORDER_TRAN","2019.1","BUYERADDITIONALPARTYID","GS1 Canonical Order Buyer Additional Party Identification Segment","CANON_ORDER_TRAN","2019.1","BUYER","","","BUYERADDITIONALPARTYID",10,1,"20210202173212","","SLIMP_I",""
"CANON_ORDER_TRAN","2019.1","CARRIER","GS1 Canonical Order Carrier Segment","CANON_ORDER_TRAN","2019.1","SHIPTRANSPORTATIONINFORMATION","","","CARRIER",10,1,"20210202173213","","SLIMP_I",""
"CANON_ORDER_TRAN","2019.1","CARRIERADDITIONALPARTYID","GS1 Canonical Order Carrier Additional Party Identification Segment","CANON_ORDER_TRAN","2019.1","CARRIER","","","CARRIERADDITIONALPARTYID",10,1,"20210202173213","","SLIMP_I",""
"CANON_ORDER_TRAN","2019.1","CERTIFICATEOFORIGINIDENTIFIER","certificate of original identifier","CANON_ORDER_TRAN","2019.1","EXPORTIMPORT","","","OL_CERTIORIGINIDENTI_RM",10,1,"20210202173212","","SLIMP_I",""
"CANON_ORDER_TRAN","2019.1","CUSTADD","additionalpartyidentification","CANON_ORDER_TRAN","2019.1","CUSTOMSDUTYCUSTOMER","","","EXT_CSTM_ADDPARTYCODE_RM",10,1,"20210202173212","","SLIMP_I",""
"CANON_ORDER_TRAN","2019.1","CUSTOMSDUTYCUSTOMER","CUSTOMSDUTYCUSTOMER","CANON_ORDER_TRAN","2019.1","ORDEREXTENSION","","","EXT_CSTM_RM",90,1,"20210202173212","","SLIMP_I",""
"CANON_ORDER_TRAN","2019.1","DISTRIBUTION","distribution","CANON_ORDER_TRAN","2019.1","ORDERLINEITEM","","","OL_DISTRIBUTION_RM",80,1,"20210202173212","","SLIMP_I",""
"CANON_ORDER_TRAN","2019.1","DOCUMENTIDENTIFICATION","GS1 Document Identification Segment","CANON_ORDER_TRAN","2019.1","STANDARDBUSINESSDOCUMENTHEADER","","","DOCUMENTIDENTIFICATION",30,1,"20210202173213","","SLIMP_I",""
"CANON_ORDER_TRAN","2019.1","EXCISEADDPARTY","additionalPartyIdentification","CANON_ORDER_TRAN","2019.1","EXCISEDUTYCUSTOMER","","","EXT_EXES_ADDPARTYCODE_RM",10,1,"20210202173212","","SLIMP_I",""
"CANON_ORDER_TRAN","2019.1","EXCISEDUTYCUSTOMER","EXCISEDUTYCUSTOMER","CANON_ORDER_TRAN","2019.1","ORDEREXTENSION","","","EXT_EXCESS_DUTY_RM",100,1,"20210202173212","","SLIMP_I",""
"CANON_ORDER_TRAN","2019.1","EXPORTIMPORT","export import","CANON_ORDER_TRAN","2019.1","ORDERLINEITEM","","","OL_EXPORTIMPORT_RM",84,1,"20210202173212","","SLIMP_I",""
"CANON_ORDER_TRAN","2019.1","EXPORTLICENSEIDENTIFIER","export license identiifer","CANON_ORDER_TRAN","2019.1","EXPORTIMPORT","","","OL_EXPORTLICENSEIDENTIFIER_RM",20,1,"20210202173212","","SLIMP_I",""
"CANON_ORDER_TRAN","2019.1","EXTENSION","extension","CANON_ORDER_TRAN","2019.1","ORDER","","","GS1_EXTENSION_RM",0,1,"20210202173212","","SLIMP_I",""
"CANON_ORDER_TRAN","2019.1","FREIGHTRATE","Order Freight Rate - This field is used to determine the COD amount for COD orders.","CANON_ORDER_TRAN","2019.1","ORDEREXTENSION","","","ORDER_FREIGHTRATE_RM",70,1,"20210202173212","","SLIMP_I",""
"CANON_ORDER_TRAN","2019.1","HANDLINGINSTRUCTIONCODE","Parcel Service Conditions","CANON_ORDER_TRAN","2019.1","SHIPTRANSPORTATIONINFORMATION","","","GS1_HANDLINGINSTRUCTIONCODE",5,1,"20210202173213","","SLIMP_I",""
"CANON_ORDER_TRAN","2019.1","HANDLINGINSTRUCTIONPARAMETER","Parcel Service Conditions Parameter","CANON_ORDER_TRAN","2019.1","ORDERAVPLIST","","","GS1_HANDLINGINSTRUCTIONPARAM",10,1,"20210202173212","","SLIMP_I",""
"CANON_ORDER_TRAN","2019.1","IMPORTLICENSEIDENTIFIER","import license identiifer","CANON_ORDER_TRAN","2019.1","EXPORTIMPORT","","","OL_IMPORTLICENSEIDENTIFIER_RM",30,1,"20210202173212","","SLIMP_I",""
"CANON_ORDER_TRAN","2019.1","NAFTABLANKETPERIOD","nafta blanket period","CANON_ORDER_TRAN","2019.1","EXPORTIMPORT","","","OL_NAFTABLANKETPERIOD_RM",40,1,"20210202173212","","SLIMP_I",""
"CANON_ORDER_TRAN","2019.1","NETPRICE","net price","CANON_ORDER_TRAN","2019.1","ORDERLINEITEM","","","OL_NETPRICE_RM",83,1,"20210202173212","","SLIMP_I",""
"CANON_ORDER_TRAN","2019.1","ORDER","GS1 Canonical Order Segment","CANON_ORDER_TRAN","2019.1","ORDERMESSAGE","","","ORDER",20,1,"20210202173212","","SLIMP_I",""
"CANON_ORDER_TRAN","2019.1","ORDER_LINE_ALLOC_RULE_DTL_SEG","Order Line Allocation Rule Detail.","CANON_ORDER_TRAN","2019.1","ORDER_LINE_ALLOC_RULE_HDR_SEG","","","ORD_LINE_ALLOC_RULE_DTL_RM",0,1,"20210202173212","","SLIMP_I",""
"CANON_ORDER_TRAN","2019.1","ORDER_LINE_ALLOC_RULE_HDR_SEG","Order Line Allocation Rule Header.","CANON_ORDER_TRAN","2019.1","ORDERLINEITEM","","","ORD_LINE_ALLOC_RULE_HDR_RM",60,1,"20210202173212","","SLIMP_I",""
"CANON_ORDER_TRAN","2019.1","ORDERAVPLIST","GS1 Canonical Order AVP List Segment","CANON_ORDER_TRAN","2019.1","ORDER","","","ORDERAVPLIST",10,1,"20210202173212","","SLIMP_I",""
"CANON_ORDER_TRAN","2019.1","ORDEREXTENSION","Connect order extension","CANON_ORDER_TRAN","2019.1","EXTENSION","","","GS1_ORDEREXTENSION_RM",10,1,"20210202173212","","SLIMP_I",""
"CANON_ORDER_TRAN","2019.1","ORDERIDENTIFICATION","GS1 Canonical Order Identification Segment","CANON_ORDER_TRAN","2019.1","ORDER","","","ORDERIDENTIFICATION",20,1,"20210202173212","","SLIMP_I",""
"CANON_ORDER_TRAN","2019.1","ORDERLINE_NOTE_SEG","This segment is used to create or change order line notes for this order line in the [ORD_LINE_NOTE] table.","CANON_ORDER_TRAN","2019.1","ORDERLINEITEM","","","ORDERLINE_NOTE_RM",50,1,"20210202173212","","SLIMP_I",""
"CANON_ORDER_TRAN","2019.1","ORDERLINEITEM","GS1 Canonical Order Line Item Segment","CANON_ORDER_TRAN","2019.1","ORDER","","","ORDERLINEITEM",70,1,"20210202173212","","SLIMP_I",""
"CANON_ORDER_TRAN","2019.1","ORDERLINEITEMDETAIL","GS1 Canonical Order Line Item Detail Segment","CANON_ORDER_TRAN","2019.1","ORDERLINEITEM","","","ORDERLINEITEMDETAIL",30,1,"20210202173212","","SLIMP_I",""
