sys_obj_typ,sys_obj_id,cust_lvl,cmnt,grp_nam,is_purged
"graph_type","124",0,"This is a hybrid chart accepting two data sources. The data source bound to the ColumnData DataAppearance property of the ColumnLineChart property has the same requirements as any Column Chart. It is represented on the Y-axis. The data source bound to the LineData DataAppearance property of the ColumnLineChart property has the same requirements as any LineChart. It is represented on the Y2-axis.","mcs_data",0
"graph_type","125",0,"This is a hybrid chart accepting two data sources. The data source bound to the ScatterData DataAppearance property of the ScatterLineChart property has the same requirements as any Scatter Chart. It is represented on the Y-axis. The data source bound to the LineData DataAppearance property of the ScatterLineChart property has the same requirements as any LineChartLineChart. It is represented on the Y2-axis.","mcs_data",0
"graph_type","126",0,"One or more numeric columns. If there are multiple rows, each row constitutes a 'series' or grouping of vertical columns. Series may be separated by an interval of SeriesSpacing column widths.","mcs_data",0
"graph_type","127",0,"One or more numeric columns. If there are multiple rows, each row constitutes a new area. The data points delineating the top of the area region connect adjacent columns within a given row (in the order they are projected.)","mcs_data",0
"graph_type","128",0,"Two columns containing DateTime values and two columns containing String or Numeric values.","mcs_data",0
"graph_type","129",0,"Two numeric columns. The first column will be the angle and second will be the radial-distance.","mcs_data",0
"graph_type","130",0,"One or more numeric columns. Only the first row of data will be plotted. Column names will be used as item labels. ","mcs_data",0
"graph_type","131",0,"One or more numeric columns. If there are multiple rows of data, each row constitutes a line/area. Ideally, two or more numeric columns are used so that each line can have two or more points. ","mcs_data",0
"graph_type","132",0,"One or more numeric columns. If there are multiple rows of data, each row constitutes a line. Ideally, two or more numeric columns are used so that each line can have two or more points.","mcs_data",0
"graph_type","133",0,"One or more numeric columns. If there are multiple rows of data, each row constitutes a line. Ideally, two or more numeric columns are used so that each line can have two or more points.","mcs_data",0
"graph_type","134",0,"One or more numeric columns. If there are multiple rows of data, each row constitutes a line/area. Ideally, two or more numeric columns are used so that each line can have two or more points.","mcs_data",0
"graph_type","135",0,"One or more numeric columns. If there are multiple rows, each row constitutes a 'series' or grouping of vertical columns. Series may be separated by an interval of SeriesSpacing column widths.","mcs_data",0
"graph_type","136",0,"One or more numeric columns. If there are multiple rows rows, each row represents a needle value on the gauge. Values are must fall between 0 and 100 or they are treated as that extreme.","mcs_data",0
"pol_id","ADDON_ID_HOOK",0,"These policies enable fields in the Variable Configuration Maintenance application which enable the user to customize other variables based on these variables added in a name value format to the addonID.","mcs_data",0
"pol_are_id","ADV-ALLOC-ROUTES",0,"These policies are used to configured the background process that will automatically plan and allocate distribution routes.","dcs_policy",0
"pol_id","ADV-ALLOC-ROUTES-CMD",0,"Command to be used to plan and allocate distribution routes.","dcs_data",0
"pol_id","ADV-ALLOC-ROUTES-EXIT",0,"Should the background process automatically exit on an error or keep running.","dcs_data",0
"pol_id","ADV-ALLOC-ROUTES-INIT-TIMER",0,"Time to wait in seconds after the system is started before the background process runs the first time to automatically execute slotting plans.","dcs_data",0
"pol_id","ADV-ALLOC-ROUTES-INST",0,"Determines whether the background process is installed.  The ADV-ALLOC-ROUTES registry task must be enabled as well.","dcs_data",0
"pol_id","ADV-ALLOC-ROUTES-TIMER",0,"Time to wait in seconds between each time the background process runs.","dcs_data",0
"pol_are_id","ALLOCATE",0,"These policies deal with Allocation and the different configurations.","dcs_policy",0
"pol_are_id","ALLOCATE-INV",0,"These policies deal with Inventory Allocation, and the different configurations.","dcs_policy",0
"pol_id","ALLOCATE-INV-COMMIT-DURING-ALLOC",0,"This policy determines whether or not commits occur during allocation. If this policy is enabled, then commits occur during allocation.","dcs_data",0
"pol_id","ALLOCATE-INV-FORCE-FULL-UNTCAS-FOR-PALLET-PICKS",0,"This policy determines whether the pick quantity for pallet picks must be a multiple of the specified units per case. If this policy is enabled, and the split flag of the outbound outbound order is not set, then any pallets whose quantities are not multiples of the specified units per case are not considered.","dcs_data",0
"pol_id","ALLOCATE-INV-FORCE-NULL-CHECK-FOR-UIA",0,"This policy will have the inventory attributes for which  check has to be done at inventory allocation.","dcs_data",0
"pol_id","ALLOCATE-INV-LOG-FILE-ENABLED",0,"This policy determines if Inventory Allocation logs its progress. If this policy is set, then a trace file is created in the log directory of LES.  This trace file is named AllocInv.Sts plus an additional suffix.  The suffix is set depending on the functionality which is allocating inventory.","dcs_data",0
"pol_id","ALLOCATE-INV-ORDER-INV",0,"These policy determines how to outbound order potential inventory when trying to satisfy requirements for outbound orders. During the inventory allocation process, the outbound order by column from the outbound order is evaluated in the command List Available Pickable Inventory.  If the outbound order by column matches one of the outbound outbound order by types in these policies, then the outbound order by clause is used to determine the outbound order of potential inventory.  If the outbound order by type does not exist, the default LOCATION-ORDER-BY is used.  If the default does not exist, then the inventory is outbound ordered by invsum.olddte and locmst.curqvl. If an outbound order by type has the key word ABSOLUTE in the naming then then each location is validated during allocation if an inventory match is found to be sure it has the best inventory for the date controlled product. The INVENTORY-IN-LOCATION policy is used to outbound order the pallets that are looked at within a single sku location.","dcs_data",0
"pol_id","ALLOCATE-INV-ORDER-INV-CODE",0,"Set Absolute Order Inventory Date Code","wm_pol_inf",0
"pol_id","ALLOCATE-INV-ORDER-INV-ENABLE",0,"Enables Absolute Order Inventory Tracking","wm_pol_inf",0
"pol_id","ALLOCATE-INV-ORDER-INV-PREC",0,"Set Absolute Order Inventory Precision","wm_pol_inf",0
"pol_id","ALLOCATE-INV-ORDER-INV-TYPE",0,"Set Absolute Order Inventory Type","wm_pol_inf",0
"pol_id","ALLOCATE-INV-ORDER-INV-WIN",0,"Set Absolute Order Inventory Window","wm_pol_inf",0
"pol_are_id","ALLOCATE-INV-RESCOD-ZONE-DEF-ASSC",0,"These policies, evaluated within the command GET RESOURCE CODE, deal with the different configurations for calculating resource codes used during inventory allocation.","dcs_policy",0
"pol_id","ALLOCATE-INV-RESCOD-ZONE-DEF-ASSC-CMD",0,"This policy determines how the resource code during inventory allocation is created.  If the policy is set, and inventory is moving through the specified area, then the specified command is used to generate the resource code in that area.","dcs_data",0
"pol_id","ALLOCATE-INV-RESCOD-ZONE-DEF-ASSC-DERIVED",0,"This policy determines how the resource code during inventory allocation is created.  If the policy is set, and inventory is moving through the specified area, then the resource code for that area is derived from the specific columns.  Multiple columns can be specified, as long as they are delimited by hyphens.","dcs_data",0
"pol_id","ALLOCATE-INV-RESCOD-ZONE-DEF-ASSC-FIXED",0,"This policy determines how the resource code during inventory allocation is created.  If the policy is set, and inventory is moving through the specified area, then the resource code for that area is set to the specified value.","dcs_data",0
"pol_id","ALLOCATE-INV-RESCOD-ZONE-DEF-ASSC-GEN",0,"This policy determines how the resource code during inventory allocation is created.  If this policy is set, then the resource code is generated by the specified sequence name.","dcs_data",0
"pol_id","ALLOCATE-INV-RESCOD-ZONE-DEF-ASSC-LOC-ASG",0,"This policy determines how the resource code curing inventory allocation is created.  If the policy is set, and inventory is moving through the specified area, then the resource code for that area is set to XXXX.  This differs though from FIXED association, as the specified location is also written to the resulting pick move.  Because the pick move will then have been assigned to a location, less work is done during the pick release process.","dcs_data",0
"pol_id","ALLOCATE-LOC-IGNORE-COMMITTED-INVENTORY-ENABLED",0,"This policy determines if FIFO Skip Locations functionality should ignore committed inventory when checking for older inventory. When this policy is set the system removes committed inventory from consideration when looking for older inventory.","dcs_data",0
"pol_id","ALLOCATE-LOC-MISCELLANEOUS-USE-EACH-HEIGHT",0,"This policy determines whether to use stkuom to retrieve length, width and height.","dcs_data",0
"pol_id","ALLOCATE-LOC-RESPECT-FIFO-SKIP-LOCS-ENABLED",0,"This policy determines if a FIFO-controled item should NOT put product in assigned locations if older inventory exists in non-assigned locations.","dcs_data",0
"pol_id","ALLOCATE-ONLY-ASSIGNED-LANES",0,"This policy detemines whether we need to use assigned lanes.","dcs_data",0
"pol_are_id","ALLOCATE-WAVE",0,"These policies deal with allocate location, and the different configurations.","dcs_policy",0
"pol_id","ALLOCATE-WAVE-LOG-FILE-ENABLED",0,"This policy determines if a log file is created whenever allocate location is called.  Allocate location is called whenever the system is trying to determine a location for the inventory.","dcs_data",0
"pol_id","ALLOCATE-WAVE-MISCELLANEOUS-STATUS-FILE-NAME",0,"This policy specifies the log file to which allocate next wave logs the data","dcs_data",0
"pol_id","ALLOW-0-QTY-NO-PARTIAL",0,"If this policy is set, the system will allow shipments to be shipped even though they contain shipment lines with a staged quantity of 0 and the Partial Shipment Flag is unchecked on the outbound outbound order line.","dcs_data",0
"pol_id","ALLOW-AUTO-STAGING",0,"This policy specifies the shipping staging areas which are enabled for automatic staging of shipments.","dcs_data",0
"pol_id","ALLOW-CARRIER-CHANGE",0,"This policy is used to determine whether or not a carrier may be changed","dcs_data",0
"pol_id","ALLOW-LTL-SHIPMENT-SPLIT",0,"This policy is used to determine whether or not shipments destined for an LTL carrier may be split across Transport Equipments.","dcs_data",0
"pol_id","APPL-ADDR-VALIDATEADRTYP",0,"This policy is used to configure the type of the addresses that needs to be validated while creating or changing an address in the system.","sal_data",0
"pol_id","APPL-ADDR-VALIDATION",0,"This policy configures whether or not an address is validated against the list of valid Country/State/City/Postalcode combinations (see City Postal Code Maintenance) . It also configures whether or not to validate the address against locations that were determined to be invalid (they were valid at one time, but based on updated city postal code data they are no longer valid). A Country/State/City/Postal code combination is invalid if its invalid_flg is set. If an addres was determined to be valid due to an invalid city/state/zip an EMS event will be raised so someone can fix the address for the future. However please note that since distributed data consists of data for USA and Canada only, this configuration will apply to the countries USA and Canada - other countries are not validated at this time.","sal_data",0
"pol_are_id","APPLICATION",0,"These policies deal with application level configuration.","dcs_policy",0
"pol_are_id","ARCHIVE-SYSTEM",0,"These policies deal with configuration/installation of the archive system.","sal_policy",0
"pol_id","ARCHIVE-SYSTEM-INSTALLED",0,"This policy configures the system to turn on archiving.  Archiving refers to the replication of data from a production instance to an archival instance.  There are two distinct types of archives.  A simple archive is characterized by targeting the archival of a single table.  While a complex archive considers a hierarchy of information to archive, driven off of one driver table.","sal_policy",0
"pol_id","ARCHIVE-SYSTEM-LOCAL",0,"This policy determines if the system is set to archive locally.","sal_policy",0
"pol_id","ARCHIVE-SYSTEM-REMOTE-HOST",0,"This policy determines the host connection string to the remote archival instance.  The rtstr1 value refers to the host address.","sal_policy",0
"pol_id","ARCHIVE-SYSTEM-SOURCE-NAME",0,"This policy determines the archive source system.  This would usually be the production environment that becomes the source for the data to archive.","sal_policy",0
"pol_id","ARCHIVE-SYSTEM-TABLE-PREFIX",0,"This policy determines the prefix for the archiving tables.  This is used when you are archiving locally so that unique table names will be created for the archive.","sal_policy",0
"pol_id","ASSET-TRACKING",0,"If this policy is set and  if the handling unit tracking is configured in wh_asset_cat table, handling unit tracking will be enabled for Sub-LPNs i.e. we can identify handling units for Sub-LPNs also. Otherwise we can identify handling units only for LPNs","dcs_data",0
"pol_id","AUTO-CLOSE-CONSIGNMENT",0,"This policy is used to configure whether or not to auto close customs consignment at Planned Inbound Order.","dcs_policy",0
"pol_are_id","AUTO-CLOSE-PARCELS",0,"These policies are used to configured the background process that will automatically close fully staged and manifested parcel shipments.  The shipments must be fully staged with no outstanding picks and all product must be manifested.  Also, the setting on the carrier must be configured to auto close shipments as well.","dcs_policy",0
"pol_id","AUTO-CLOSE-PARCELS-CMD",0,"Command to be used to find and automatically close parcel shipments.","dcs_data",0
"pol_id","AUTO-CLOSE-PARCELS-EXIT",0,"Should the background process automatically exit on an error or keep running.","dcs_data",0
"pol_id","AUTO-CLOSE-PARCELS-INIT-TIMER",0,"Time to wait in seconds after the system is started before the background process runs the first time to automatically close shipments.","dcs_data",0
"pol_id","AUTO-CLOSE-PARCELS-INST",0,"Determines whether the background process is installed.  The AUTO-CLOSE registry task must be enabled as well.","dcs_data",0
"pol_id","AUTO-CLOSE-PARCELS-TIMER",0,"Time to wait in seconds between each time the background process runs.","dcs_data",0
"pol_are_id","AUTO-CLOSE-TRUCKS",0,"These policies deal with automatically closing the receive transport equipment.","dcs_policy",0
"pol_id","AUTO-CREATE-CONSIGNMENT",0,"This policy is used to configure whether or not to auto create customs consignment id when operate receiving line.","dcs_policy",0
"pol_id","AUTO-CREATE-LOAD-TRLR-WORK",0,"This policy dictates how the system behaves when an Device operator completes the loading of all of the shipments for a stop. If this policy is enabled, and there are more stops to load on that Transport Equipment, the system will automatically create work in the work queue to load the next stop.","dcs_data",0
"pol_id","AUTO-CREATE-TRLRS",0,"If this policy is enabled, the operator will have the option to have the system automatically generate a Transport Equipment and load structure for a shipment.","dcs_data",0
"pol_id","AUTO-PRINT-PAPER-LVL",0,"This determines the point in the shipping processat which shipping paperwork will be automatically printed.","dcs_data",0
"pol_are_id","BULK-PICKING",0,"These policies deal with Bulk Picking and their configurations.","dcs_policy",0
"pol_id","BULK-PICKING-ALLOCATION-COMMAND",0,"This policy specifies an shipment line precedence.","dcs_data",0
"pol_id","BULK-PICKING-BREAK-ON-ORDERS",0,"This policy specifies how system will use matching criteria into different bulk picks during bulk allocation.","dcs_data",0
"pol_id","BULK-PICKING-INSTALLED",0,"This policy specifies whether Bulk Picking is installed or not.","dcs_data",0
"pol_id","BULK-PICKING-THRESHOLD-PICK-RETURN-TO-STORAGE",0,"This policy specifies when threshold pick would return to storage: 1. Immediately following picking; 2. After break down","dcs_data",0
"pol_id","BUNDLE-MANIFESTED-CASE-ENABLED",0,"This policy will be used to control if the system is allowed to bundle an already manifested case/kit to a load. If it is turned on, system will auto void the package first, then bundle the case to the load.","dcs_data",0
"pol_id","BUNDLE-RULES",0,"This policy will be used to define what packages can be bundled together. The packages with the same break-on field values can be bundled together.","dcs_data",0
"pol_id","CANCEL-PICK-CANCEL-CODE",0,"This new policy is used to determine the cancel code when cancel pick","dcs_data",0
"pol_id","CANCEL-PICK-CANCEL-SINGLE-METERED-PICK",0,"This new policy is used to determine whether to cancel the whole pick works with the same comb code. If the policy is enabled, only cancel the current pick work.","dcs_data",0
"pol_id","CANCEL-PICK-COMMIT-DURING-PROCESSING",0,"If enabled, the system will commit after each selected pick is cancelled. In facilities that routinely cancel mass quantities of picks, setting this flag could help eliminate problems with locked multiple locations during the mass cancel of picks.","dcs_data",0
"pol_id","CANCEL-PICK-SKIP-LIMIT",0,"This new policy is used to determine the limit when do skip pick.","dcs_data",0
"pol_are_id","CANONICAL",0,"These policies deal with the configuration of the integration elements for a Canonical system.","dcs_policy",0
"pol_id","CANONICAL-3PL-DEFAULT-CANONICAL-CLIENT",0,"This policy is used to define the default client code in an Intelligent Fulfilment system where 3PL is not enabled. All client values for canonical messages outbound from WM will be mapped to this value in WM systems that are not enabled for 3PL.","dcs_data",0
"pol_id","CANONICAL-APPOINTMENT-DELETE-MESSAGE",0,"This policy is used to define the valid receivers or systems that are expecting to receive Canonical appointment delete messages. Canonical appointment delete messages are sent to this list of receivers when an appointment information is deleted in the WM.","dcs_data",0
"pol_id","CANONICAL-APPOINTMENT-UPDATE-MESSAGE",0,"This policy is used to define the valid receivers or systems that are expecting to receive Canonical appointment update messages. Canonical appointment update messages are sent to this list of receivers when an appointment information is changed/updated in the WM.","dcs_data",0
"pol_id","CANONICAL-DA-INCLUDE-SHIPLINE-ADDRESS",0,"This policy is used to determine when the Bill To/Ship To Address information on an Order will be included in the Despatch Advice GS1 message. The message is sent through the CARRIER_MOVE_TO_CANONICAL integration transaction whenever an outbound TL or LTL or parcel load is shipped. This policy can take any one from the pre-defined values(NEVER/MANIFEST-ONLY/ALWAYS). 1. NEVER : The addresses are never included in the message. 2. MANIFEST-ONLY : The addresses are only included for manifested parcel shipments. 3. ALWAYS : The addresses are always included in the message.","dcs_data",0
"pol_id","CANONICAL-DESPATCH-ADVICE",0,"This policy is used to define the valid receivers or systems that are expecting to receive Canonical despatch advice messages from this WM system. Canonical despatch advice messages are sent to this list of receivers when a trailer is dispatched from the WM.","dcs_data",0
"pol_id","CANONICAL-DESPATCH-ADVICE-PARCEL",0,"This policy is used to define the valid receivers or systems that are expecting to receive Canonical despatch advice messages from this WM system. Canonical despatch advice messages are sent to this list of receivers when a trailer is dispatched from the WM to OMS via Parcel.","dcs_data",0
"pol_id","CANONICAL-GS1-COD-MAP-DOCK-TYPE",0,"This policy is used to configure Dock Type(Both for GS1 Code and WM Code) for Canonical integration system. The system will convert GS1 code to WM code and vice versa for Dock Type.","dcs_data",0
"pol_id","CANONICAL-GS1-COD-MAP-FRT-COD",0,"This policy is used to configure Freight Code(Both for GS1 Code and WM Code) for Canonical integration system. The system will convert GS1 code to WM code and vice versa for Freight Code.","dcs_data",0
"pol_id","CANONICAL-GS1-COD-MAP-INVSTS-COD",0,"This policy is used to configure Inventory Status Code(Both for GS1 Code and WM Code) for Canonical integration system. The system will convert GS1 code to WM code and vice versa for Inventory Status Code.","dcs_data",0
"pol_id","CANONICAL-GS1-COD-MAP-ORD-CHG-REACOD",0,"This policy is used to configure Order Change Reason Code(Both for GS1 Code and WM Code) for Canonical integration system. The system will convert GS1 code to WM code and vice versa for Order Change Reason Code.","dcs_data",0
"pol_id","CANONICAL-GS1-COD-MAP-ORD-PRIORITY",0,"This policy is used to configure Order Priority Code(Both for GS1 Code and WM Code) for Canonical integration system. The system will convert GS1 code to WM code and vice versa for Order Priority Code.","dcs_data",0
"pol_id","CANONICAL-GS1-COD-MAP-RET-COND",0,"This policy is used to configure Return Condition Code(Both for GS1 Code and WM Code) for Canonical integration system. The system will convert GS1 code to WM code and vice versa for Return Condition Code.","dcs_data",0
"pol_id","CANONICAL-GS1-COD-MAP-RET-REASON-CODE",0,"This policy is used to configure Return Reason Code(Both for GS1 Code and WM Code) for Canonical integration system. The system will convert GS1 code to WM code and vice versa for Return Reason Code.","dcs_data",0
"pol_id","CANONICAL-GS1-COD-MAP-SERV-COND-COD",0,"This policy is used to configure Service Condition Code(Both for GS1 Code and WM Code) for Canonical integration system. The system will convert GS1 code to WM code and vice versa for Service Condition Code.","dcs_data",0
"pol_id","CANONICAL-INSTALLED",0,"This policy is used to determine if Canonical integration is configured for this system. If installed, the system will send the appropriate outbound canonical messages to the receiving systems through the integration tool.","dcs_data",0
"pol_id","CANONICAL-ORDER-DELETE-MESSAGE",0,"This policy is used to define the valid receivers or systems that are expecting to receive Canonical order delete messages. Canonical order delete messages are sent to this list of receivers when an order is removed","dcs_data",0
"pol_id","CANONICAL-ORDER-UPDATE-MESSAGE",0,"This policy is used to define the valid receivers or systems that are expecting to receive Canonical order update messages. Canonical order update messages are sent to this list of receivers when an order is removed or order line is changed/removed/added for an order in the WM.","dcs_data",0
"pol_id","CANONICAL-SHIPMENT",0,"This policy is used to configure TMS Shipment Consolidation. It determines whether to consolidate or not to consolidate the TMS Shipment.","dcs_data",0
"pol_id","CANONICAL-WAREHOUSING-OUTBOUND-INSTRUCTION",0,"This policy is used to define the valid receivers or systems that are expecting to receive Canonical warehousing outbound instruction messages. Canonical warehousing outbound instruction messages are sent to this list of receivers when a shipment is splitted in the WM.","dcs_data",0
"pol_id","CANONICAL-WAREHOUSING-OUTBOUND-NOTIFICATION",0,"This policy is used to define the valid receivers or systems that are expecting to receive Canonical warehousing outbound notification messages. Canonical warehousing outbound notification messages are sent to this list of receivers when a shipment is allocated, released and picked in the WM.","dcs_data",0
"pol_id","CANONICAL-WAREHOUSING-OUTBOUND-NOTIFICATION-STATUS",0,"This policy is used for enabling WON Policy to send Canonical warehousing outbound notification messages. It determines whether to send the WON message or not.","dcs_data",0
"pol_id","CANONICAL-WON-INCLUDE-SHIPMENT-LINE",0,"This policy is used for enabling WON Policy to include shipment line information in Canonical warehousing outbound notification message. It determines whether to send the Shipment Lines in WON message or not.","dcs_data",0
"pol_id","CANT-MOD-SHIP-AFTER-INPR",0,"This policy determines the field(s) which the system will prevent the user from modifying at any time after a shipment has been allocated (status is 'InProcess').","dcs_data",0
"pol_id","CANT-MOD-SHIP-AFTER-LOADING",0,"This policy determines the field(s) which the system will prevent the user from modifying at any time after a shipment has begun loading (ship status is 'Loading', 'Loaded', or 'Load Complete').","dcs_data",0
"pol_are_id","CARTONIZATION",0,"These policies deal with Cartonization and their configurations.","dcs_policy",0
"pol_id","CARTONIZATION-BREAK-ON",0,"This policy specifies a value, which, when used in a select-clause, should return a single value to be used for the break-on comparison.  When this value changes, the process knows to break the carton.  For that reason, it is extremely important that this value return only one string. If multiple DB fields are used to determine the break, then they must be concatenated together to form the break value.  For example, if you want to break-on outbound order number and source area, then the break-on value would be set to:  pckwrk_dtl.ordnum||pckwrk_hdr.srcare. Break fields for cartonization may come from the item repack class (prtrpk), item master (prtmst), location master (locmst), footprint master (ftpmst), shipment line (shipment_line) and pick work (pckwrk_hrd,pckwrk_dtl).  Note, however, that break fields for pre-cartonization can only come from outbound order line (ord_line), item master(prtmst), footprint master (ftpmst), and shipment line (shipment_line)","dcs_data",0
"pol_id","CARTONIZATION-CARTONIZE-METHOD",0,"These policies specify settings for the type and performance of cartonization. Cartonize method determines the type of cartonization.  Default is VOLUME cartonization. Complex Iteration Limit is used to manage the number of iterations performed during COMPLEX cartonization.  Default is 750000. Complex popup iteration limit is used to manage the number of popup iterations performed during COMPLEX cartonization.  Default is 2000. Complex popup levels percentage determines the percentage of popup iterations to decrement, if the popup iteration limit is reached during COMPLEX cartonization.  Default is 50.0.","dcs_data",0
"pol_id","CARTONIZATION-INSTALLED",0,"This policy specifies whether Cartonization is installed or not.","dcs_data",0
"pol_id","CARTONIZATION-MAX-BOXES-PER-CARTON",0,"This policy specifies the maximum number of boxes that can be placed in a carton. Here, rtstr1=boxcod and rtnum1=#boxes can be specified. Cartonization will search for a policy matching a box code before it is placed in a carton. If the policy does not exist, the box count will not be limited (but subject to weight, volume and other limiting criteria). If the policy exists, the box count will be limited to rtnum1; this may require distributing boxes among cartons generated for a break value and possibly even increasing the carton count. The policy applies to all cartons into which the box may be placed. Default installation does not provide policies for any of the cartons defined in the system.","dcs_data",0
"pol_id","CARTONIZATION-ORDER-BY-COLUMNS",0,"This policy specifies the outbound order in which to process the candidate set of pick works during cartonization. The value specified in this policy can be a single field or a comma-separated list of fields from the following tables: item master (prtmst), location master (locmst), footprint detail (prtftp_dtl), shipment line (shipment_line), and pick work (pckwrk_view). ","dcs_data",0
"pol_id","CARTONIZATION-PICK-TO-BOX-LOAD-LEVEL",0,"This policy specifies the pick load levels that should be considered for pick to box. Here, rtstr1=lodlvl can be specified. Default installation data activates the detail LPN level. Policies can be added to activate case and pallet load levels. Cartonization will select picks with load levels activated by these policies for assignment to a box. Picks for other load levels will be processed by cartonization into cartons (not boxes).","dcs_data",0
"pol_id","CARTONIZATION-PREVENT-RELEASE-TO-DEFAULT-CARTON",0,"This policy specifies if system should default carton if the item does not fit in the carton defined in repack class for the item.","dcs_data",0
"pol_id","CARTONIZATION-RELEASE-BY-GROUPING",0,"This policy specifies which sets of pckwrk_hdr,pckwrk_dtl entries should be considered during a single processing cycle (when called by wrkref). If, for example, cartonization is called for a specific wrkref, and the group by policy is set to ship_id, then cartonization would process not only that work reference, but also all work references with that same shipment ID. The field specification can be any field or concatenation of fields from any one of the following tables: pick work (pckwrk_hdr, pckwrk_dtl), location master(locmst), shipment line (shipment_line).","wm_pol_inf",0
"pol_id","CARTONIZATION-SPLIT-QTYS-ACROSS-CARTONS",0,"This policy determines whether the system will split quantities from a single pick work across multiple cartons.  If the policy does not exist, or is not set, then the system defaults to splitting.  Also, if the cartonize method is set to 'COMPLEX', then the the system will default to splitting, regardless of the policy setting.","dcs_data",0
