arc_nam,seqnum,srtseq,arc_table,list_cmd,post_arc_cmd,action_on_dup
"CANCELLED-SHIPMENTS",8,8,"ORD_INS","if (dbtype = 'ORACLE') { [select ord_ins.rowid, ord_ins.* from ord_ins, shipment_line where ord_ins.ordnum = shipment_line.ordnum and ord_ins.client_id = shipment_line.client_id and shipment_line.ship_id = @ship_id] } else { [select ord_ins.* from ord_ins, shipment_line where ord_ins.ordnum = shipment_line.ordnum and ord_ins.client_id = shipment_line.client_id and shipment_line.ship_id = @ship_id] } ","","I"
"CANCELLED-SHIPMENTS",9,9,"ORD_LINE","if (dbtype = 'ORACLE') { [select ord_line.rowid, ord_line.* from ord_line, shipment_line where ord_line.ordnum = shipment_line.ordnum and ord_line.client_id = shipment_line.client_id and ord_line.ordlin = shipment_line.ordlin and ord_line.ordsln = shipment_line.ordsln and ord_line.wh_id = shipment_line.wh_id and shipment_line.ship_id = @ship_id and ord_line.bckflg = 0 and ord_line.ordqty >= ord_line.shpqty] } else { [select ord_line.* from ord_line, shipment_line where ord_line.ordnum = shipment_line.ordnum and ord_line.client_id = shipment_line.client_id and ord_line.ordlin = shipment_line.ordlin and ord_line.ordsln = shipment_line.ordsln and ord_line.wh_id = shipment_line.wh_id and shipment_line.ship_id = @ship_id and ord_line.bckflg = 0 and ord_line.ordqty >= ord_line.shpqty] }","","R"
"CANCELLED-SHIPMENTS",10,10,"ORD_LINE_NOTE","if (dbtype = 'ORACLE') { [select ord_line_note.rowid, ord_line_note.* from ord_line_note, shipment_line where ord_line_note.ordnum = shipment_line.ordnum and ord_line_note.client_id = shipment_line.client_id and ord_line_note.ordlin = shipment_line.ordlin and ord_line_note.ordsln = shipment_line.ordsln and ord_line_note.wh_id = shipment_line.wh_id and shipment_line.ship_id = @ship_id] } else { [select ord_line_note.* from ord_line_note, shipment_line where ord_line_note.ordnum = shipment_line.ordnum and ord_line_note.client_id = shipment_line.client_id and ord_line_note.ordlin = shipment_line.ordlin and ord_line_note.ordsln = shipment_line.ordsln and ord_line_note.wh_id = shipment_line.wh_id and shipment_line.ship_id = @ship_id] }","","I"
"CANCELLED-SHIPMENTS",11,11,"ORD_LINE_INS","if (dbtype = 'ORACLE') { [select ord_line_ins.rowid, ord_line_ins.* from ord_line_ins, shipment_line where ord_line_ins.ordnum = shipment_line.ordnum and ord_line_ins.client_id = shipment_line.client_id and ord_line_ins.ordlin = shipment_line.ordlin and ord_line_ins.ordsln = shipment_line.ordsln and shipment_line.ship_id = @ship_id] } else { [select ord_line_ins.* from ord_line_ins, shipment_line where ord_line_ins.ordnum = shipment_line.ordnum and ord_line_ins.client_id = shipment_line.client_id and ord_line_ins.ordlin = shipment_line.ordlin and ord_line_ins.ordsln = shipment_line.ordsln and shipment_line.ship_id = @ship_id] }","","I"
"CANCELLED-SHIPMENTS",12,12,"INVDTL","if (dbtype = 'ORACLE') { [select invdtl.rowid, invdtl.* from invdtl, shipment_line where invdtl.ship_line_id = shipment_line.ship_line_id and shipment_line.ship_id = @ship_id] } else { [select invdtl.* from invdtl, shipment_line where invdtl.ship_line_id = shipment_line.ship_line_id and shipment_line.ship_id = @ship_id] }","","I"
"CANCELLED-SHIPMENTS",13,13,"INVSUB","if (dbtype = 'ORACLE') { [select distinct invsub.rowid, invsub.* from invsub, invdtl, shipment_line where invsub.subnum = invdtl.subnum and invdtl.ship_line_id = shipment_line.ship_line_id and shipment_line.ship_id = @ship_id] } else { [select distinct invsub.* from invsub, invdtl, shipment_line where invsub.subnum = invdtl.subnum and invdtl.ship_line_id = shipment_line.ship_line_id and shipment_line.ship_id = @ship_id] }","","I"
"CANCELLED-SHIPMENTS",14,14,"INVLOD","if (dbtype = 'ORACLE') { [select distinct invlod.rowid, invlod.* from invlod, invsub, invdtl, shipment_line where invlod.lodnum = invsub.lodnum and invsub.subnum = invdtl.subnum and invdtl.ship_line_id = shipment_line.ship_line_id and shipment_line.ship_id = @ship_id] } else { [select distinct invlod.* from invlod, invsub, invdtl, shipment_line where invlod.lodnum = invsub.lodnum and invsub.subnum = invdtl.subnum and invdtl.ship_line_id = shipment_line.ship_line_id and shipment_line.ship_id = @ship_id] }","","I"
"CANCELLED-SHIPMENTS",15,15,"CANPCK","if (dbtype = 'ORACLE') { [select canpck.rowid, canpck.* from canpck where canpck.ship_id = @ship_id] } else { [select canpck.* from canpck where canpck.ship_id = @ship_id] }","","I"
"CANCELLED-SHIPMENTS",16,16,"SHIP_ASSET","if (dbtype = 'ORACLE') { [select distinct ship_asset.rowid, ship_asset.* from ship_asset where ship_asset.ship_id = @ship_id] } else { [select distinct ship_asset.* from ship_asset where ship_asset.ship_id = @ship_id] }","","I"
"CANCELLED-SHIPMENTS",17,17,"ASSET_LINK","if (dbtype = 'ORACLE') { [select distinct asset_link.rowid, asset_link.* from asset_link, ship_asset where ship_asset.asset_id = asset_link.asset_id and ship_asset.ship_id = @ship_id union select distinct asset_link.rowid, asset_link.* from asset_link, invlod, invsub, invdtl, shipment_line where asset_link.asset_num = invlod.lodnum and invlod.lodnum = invsub.lodnum and invsub.subnum = invdtl.subnum and invdtl.ship_line_id = shipment_line.ship_line_id and shipment_line.ship_id = @ship_id union select distinct asset_link.rowid, asset_link.* from asset_link, invlod, invsub, invdtl, shipment_line where asset_link.asset_num = invsub.subnum and invlod.lodnum = invsub.lodnum and invsub.subnum = invdtl.subnum and invdtl.ship_line_id = shipment_line.ship_line_id and shipment_line.ship_id = @ship_id] } else { [select distinct asset_link.* from asset_link, ship_asset where ship_asset.asset_id = asset_link.asset_id and ship_asset.ship_id = @ship_id union select distinct asset_link.* from asset_link, invlod, invsub, invdtl, shipment_line where asset_link.asset_num = invlod.lodnum and invlod.lodnum = invsub.lodnum and invsub.subnum = invdtl.subnum and invdtl.ship_line_id = shipment_line.ship_line_id and shipment_line.ship_id = @ship_id union select distinct asset_link.* from asset_link, invlod, invsub, invdtl, shipment_line where asset_link.asset_num = invsub.subnum and invlod.lodnum = invsub.lodnum and invsub.subnum = invdtl.subnum and invdtl.ship_line_id = shipment_line.ship_line_id and shipment_line.ship_id = @ship_id] }","","I"
"CANCELLED-SHIPMENTS",18,18,"SER_ASSET","if (dbtype = 'ORACLE') { [select distinct ser_asset.rowid, ser_asset.* from ser_asset, asset_typ, asset_link, ship_asset where asset_link.asset_id = ser_asset.asset_id and asset_typ.asset_typ = ser_asset.asset_typ and ship_asset.asset_id = asset_link.asset_id and asset_typ.temp_flg = 1 and ship_asset.ship_id = @ship_id union select distinct ser_asset.rowid, ser_asset.* from ser_asset, asset_typ, asset_link, invlod, invsub, invdtl, shipment_line where ser_asset.asset_id = asset_link.asset_id and asset_typ.asset_typ = ser_asset.asset_typ and asset_link.asset_num = invlod.lodnum and invlod.lodnum = invsub.lodnum and invsub.subnum = invdtl.subnum and invdtl.ship_line_id = shipment_line.ship_line_id and asset_typ.temp_flg = 1 and shipment_line.ship_id = @ship_id] } else { [select distinct ser_asset.* from ser_asset, asset_typ, asset_link, ship_asset where ser_asset.asset_id = asset_link.asset_id and asset_typ.asset_typ = ser_asset.asset_typ and ship_asset.asset_id = asset_link.asset_id and asset_typ.temp_flg = 1 and ship_asset.ship_id = @ship_id union select distinct ser_asset.* from ser_asset, asset_typ, asset_link, invlod, invsub, invdtl, shipment_line where ser_asset.asset_id = asset_link.asset_id and asset_typ.asset_typ = ser_asset.asset_typ and asset_link.asset_num = invlod.lodnum and invlod.lodnum = invsub.lodnum and invsub.subnum = invdtl.subnum and invdtl.ship_line_id = shipment_line.ship_line_id and asset_typ.temp_flg = 1 and shipment_line.ship_id = @ship_id] }","","I"
"CANCELLED-SHIPMENTS",19,19,"PCKWRK_DTL","if (dbtype = 'ORACLE') { [select pckwrk_dtl.rowid, pckwrk_dtl.* from pckwrk_hdr,pckwrk_dtl where pckwrk_hdr.wrkref = pckwrk_dtl.wrkref and pckwrk_dtl.ship_id = @ship_id] } else { [select pckwrk_dtl.* from pckwrk_hdr,pckwrk_dtl where pckwrk_hdr.wrkref = pckwrk_dtl.wrkref and pckwrk_dtl.ship_id = @ship_id] }","","I"
"CANCELLED-SHIPMENTS",20,20,"ORD_LINE_SERV_OPT","if (dbtype = 'ORACLE') { [select ord_line_serv_opt.rowid, ord_line_serv_opt.* from ord_line_serv_opt, shipment_line where ord_line_serv_opt.ordnum = shipment_line.ordnum and ord_line_serv_opt.client_id = shipment_line.client_id and ord_line_serv_opt.ordlin = shipment_line.ordlin and ord_line_serv_opt.ordsln = shipment_line.ordsln and ord_line_serv_opt.wh_id = shipment_line.wh_id and shipment_line.ship_id = @ship_id] } else { [select ord_line_serv_opt.* from ord_line_serv_opt, shipment_line where ord_line_serv_opt.ordnum = shipment_line.ordnum and ord_line_serv_opt.client_id = shipment_line.client_id and ord_line_serv_opt.ordlin = shipment_line.ordlin and ord_line_serv_opt.ordsln = shipment_line.ordsln and ord_line_serv_opt.wh_id = shipment_line.wh_id and shipment_line.ship_id = @ship_id] }","","I"
"CANCELLED-SHIPMENTS",21,21,"SERV_OPT_PARAM","if (dbtype = 'ORACLE') { [select serv_opt_param.rowid, serv_opt_param.* from serv_opt_param, shipment_line where serv_opt_param.ordnum = shipment_line.ordnum and serv_opt_param.client_id = shipment_line.client_id and serv_opt_param.ordlin = shipment_line.ordlin and serv_opt_param.ordsln = shipment_line.ordsln and serv_opt_param.wh_id = shipment_line.wh_id and shipment_line.ship_id = @ship_id] } else { [select serv_opt_param.* from serv_opt_param, shipment_line where serv_opt_param.ordnum = shipment_line.ordnum and serv_opt_param.client_id = shipment_line.client_id and serv_opt_param.ordlin = shipment_line.ordlin and serv_opt_param.ordsln = shipment_line.ordsln and serv_opt_param.wh_id = shipment_line.wh_id and shipment_line.ship_id = @ship_id] }","","I"
"CNFRM_INV_SERV",1,1,"CNFRM_SERV_VAL","if (dbtype = 'ORACLE') { [select cnfrm_serv_val.rowid, cnfrm_serv_val.* from cnfrm_serv_val where cnfrm_serv_id = @cnfrm_serv_id] } else { [select cnfrm_serv_val.* from cnfrm_serv_val where cnfrm_serv_id = @cnfrm_serv_id] }","","I"
"CNFRM_INV_SERV",2,2,"CNFRM_SERV_INS","if (dbtype = 'ORACLE') { [select cnfrm_serv_ins.rowid, cnfrm_serv_ins.* from cnfrm_serv_ins where cnfrm_serv_id = @cnfrm_serv_id] } else { [select cnfrm_serv_ins.* from cnfrm_serv_ins where cnfrm_serv_id = @cnfrm_serv_id] }","","I"
"CNFRM-NONINV-SERV",1,1,"CNFRM_SERV_VAL","if (dbtype = 'ORACLE') { [select cnfrm_serv_val.rowid, cnfrm_serv_val.* from cnfrm_serv_val where cnfrm_serv_id = @cnfrm_serv_id] } else { [select cnfrm_serv_val.* from cnfrm_serv_val where cnfrm_serv_id = @cnfrm_serv_id] }","","I"
"CNFRM-NONINV-SERV",2,2,"CNFRM_SERV_INS","if (dbtype = 'ORACLE') { [select cnfrm_serv_ins.rowid, cnfrm_serv_ins.* from cnfrm_serv_ins where cnfrm_serv_id = @cnfrm_serv_id] } else { [select cnfrm_serv_ins.* from cnfrm_serv_ins where cnfrm_serv_id = @cnfrm_serv_id] }","","I"
"DISPATCHED-RCV-TRUCK",0,0,"TRLR","if (dbtype = 'ORACLE') { [select trlr.rowid, trlr.* from trlr,rcvtrk where trlr.trlr_id = rcvtrk.trlr_id and rcvtrk.trknum = @trknum] } else { [select trlr.* from trlr,rcvtrk where trlr.trlr_id = rcvtrk.trlr_id and rcvtrk.trknum = @trknum] }","","R"
"DISPATCHED-RCV-TRUCK",1,1,"ORD","if (dbtype = 'ORACLE') { [select ord.*, ord.rowid from distro, ord_line, ord where distro.trknum = @trknum and distro.wh_id = @wh_id and distro.client_id = ord_line.client_id and distro.wh_id = ord_line.wh_id and distro.distro_id = ord_line.distro_id and ord_line.wh_id = ord.wh_id and ord_line.ordnum = ord.ordnum and ord_line.client_id = ord.client_id and not exists (select 'x' from shipment_line sl where sl.wh_id = ord_line.wh_id and sl.client_id = ord_line.client_id and sl.ordnum = ord_line.ordnum and sl.ordlin = ord_line.ordlin and sl.ordsln = ord_line.ordsln and sl.linsts != 'B')] } else { [select ord.* from distro, ord_line, ord where distro.trknum = @trknum and distro.wh_id = @wh_id and distro.client_id = ord_line.client_id and distro.wh_id = ord_line.wh_id and distro.distro_id = ord_line.distro_id and ord_line.wh_id = ord.wh_id and ord_line.ordnum = ord.ordnum and ord_line.client_id = ord.client_id and not exists (select 'x' from shipment_line sl where sl.wh_id = ord_line.wh_id and sl.client_id = ord_line.client_id and sl.ordnum = ord_line.ordnum and sl.ordlin = ord_line.ordlin and sl.ordsln = ord_line.ordsln and sl.linsts != 'B')] }","","R"
"DISPATCHED-RCV-TRUCK",2,2,"ORD_LINE","if (dbtype = 'ORACLE') { [select ord_line.*, ord_line.rowid from distro, ord_line where distro.trknum = @trknum and distro.wh_id = @wh_id and distro.client_id = ord_line.client_id and distro.wh_id = ord_line.wh_id and distro.distro_id = ord_line.distro_id and not exists (select 'x' from shipment_line sl where sl.wh_id = ord_line.wh_id and sl.client_id = ord_line.client_id and sl.ordnum = ord_line.ordnum and sl.ordlin = ord_line.ordlin and sl.ordsln = ord_line.ordsln and sl.linsts != 'B')] } else { [select ord_line.* from distro, ord_line where distro.trknum = @trknum and distro.wh_id = @wh_id and distro.client_id = ord_line.client_id and distro.wh_id = ord_line.wh_id and distro.distro_id = ord_line.distro_id and not exists (select 'x' from shipment_line sl where sl.wh_id = ord_line.wh_id and sl.client_id = ord_line.client_id and sl.ordnum = ord_line.ordnum and sl.ordlin = ord_line.ordlin and sl.ordsln = ord_line.ordsln and sl.linsts != 'B')] }","","R"
"DISPATCHED-RCV-TRUCK",3,3,"DISTRO","if (dbtype = 'ORACLE') { [select distro.*, distro.rowid from distro where trknum = @trknum and wh_id = @wh_id] } else { [select distro.* from distro where trknum = @trknum and wh_id =@wh_id] }","","R"
"DISPATCHED-RCV-TRUCK",4,4,"RCVINV","if (dbtype = 'ORACLE') { [select rcvinv.*, rcvinv.rowid from rcvinv where trknum = @trknum and wh_id = @wh_id] } else { [select rcvinv.* from rcvinv where trknum = @trknum and wh_id =@wh_id] }","","R"
"DISPATCHED-RCV-TRUCK",5,5,"RCVLIN","if (dbtype = 'ORACLE') { [select rcvlin.*, rcvlin.rowid from rcvlin where trknum = @trknum and wh_id = @wh_id] } else { [select * from rcvlin where trknum = @trknum and wh_id = @wh_id] }","","R"
"DISPATCHED-RCV-TRUCK",6,6,"LOCMST","if (dbtype = 'ORACLE') { [select locmst.*, locmst.rowid from locmst where stoloc = @trknum and wh_id = @wh_id] } else { [select * from locmst where stoloc = @trknum and wh_id = @wh_id] }","","R"
"DISPATCHED-RCV-TRUCK",7,7,"INB_SERV_RCVINV","if (dbtype = 'ORACLE') { [select inb_serv_rcvinv.rowid, inb_serv_rcvinv.* from inb_serv_rcvinv where inb_serv_rcvinv.trknum = @trknum and inb_serv_rcvinv.wh_id = @wh_id] } else { [select inb_serv_rcvinv.* from inb_serv_rcvinv where inb_serv_rcvinv.trknum = @trknum and inb_serv_rcvinv.wh_id = @wh_id] }","","R"
"DISPATCHED-RCV-TRUCK",8,8,"INB_SERV_RCVLIN","if (dbtype = 'ORACLE') { [select inb_serv_rcvlin.rowid, inb_serv_rcvlin.* from inb_serv_rcvlin where inb_serv_rcvlin.trknum = @trknum and inb_serv_rcvlin.wh_id = @wh_id] } else { [select inb_serv_rcvlin.* from inb_serv_rcvlin where inb_serv_rcvlin.trknum = @trknum and inb_serv_rcvlin.wh_id = @wh_id] }","","R"
"DISPATCHED-RCV-TRUCK",9,9,"POWERUNIT","if (dbtype = 'ORACLE') { [select powerunit.rowid, powerunit.* from powerunit, trlr where trlr.powerunit_id = powerunit.powerunit_id and powerunit_sts = 'D' and trlr.trlr_id = @trlr_id] } else { [select powerunit.* from powerunit, trlr where trlr.powerunit_id = powerunit.powerunit_id and powerunit_sts = 'D' and trlr.trlr_id = @trlr_id] }","","R"
"DISPATCHED-RCV-TRUCK",10,10,"RCV_ASSET","if (dbtype = 'ORACLE') { [select rcv_asset.*, rcv_asset.rowid from rcv_asset where trknum = @trknum and wh_id = @wh_id ] } else { [select rcv_asset.* from rcv_asset where trknum = @trknum and wh_id = @wh_id] } ","","I"
"DISPATCHED-RCV-TRUCK-2",0,0,"TRLR","if (dbtype = 'ORACLE') { [select trlr.rowid, trlr.* from trlr,rcvtrk where trlr.trlr_id = rcvtrk.trlr_id and rcvtrk.trknum = @trknum] } else { [select trlr.* from trlr,rcvtrk where trlr.trlr_id = rcvtrk.trlr_id and rcvtrk.trknum = @trknum] }","","I"
"DISPATCHED-RCV-TRUCK-2",1,1,"ORD","if (dbtype = 'ORACLE') { [select ord.*, ord.rowid from distro, ord_line, ord where distro.trknum = @trknum and distro.wh_id = @wh_id and distro.client_id = ord_line.client_id and distro.wh_id = ord_line.wh_id and distro.distro_id = ord_line.distro_id and ord_line.wh_id = ord.wh_id and ord_line.ordnum = ord.ordnum and ord_line.client_id = ord.client_id and not exists (select 'x' from shipment_line sl where sl.wh_id = ord_line.wh_id and sl.client_id = ord_line.client_id and sl.ordnum = ord_line.ordnum and sl.ordlin = ord_line.ordlin and sl.ordsln = ord_line.ordsln and sl.linsts != 'B')] } else { [select ord.* from distro, ord_line, ord where distro.trknum = @trknum and distro.wh_id = @wh_id and distro.client_id = ord_line.client_id and distro.wh_id = ord_line.wh_id and distro.distro_id = ord_line.distro_id and ord_line.wh_id = ord.wh_id and ord_line.ordnum = ord.ordnum and ord_line.client_id = ord.client_id and not exists (select 'x' from shipment_line sl where sl.wh_id = ord_line.wh_id and sl.client_id = ord_line.client_id and sl.ordnum = ord_line.ordnum and sl.ordlin = ord_line.ordlin and sl.ordsln = ord_line.ordsln and sl.linsts != 'B')] }","","R"
"DISPATCHED-RCV-TRUCK-2",2,2,"ORD_LINE","if (dbtype = 'ORACLE') { [select ord_line.*, ord_line.rowid from distro, ord_line where distro.trknum = @trknum and distro.wh_id = @wh_id and distro.client_id = ord_line.client_id and distro.wh_id = ord_line.wh_id and distro.distro_id = ord_line.distro_id and not exists (select 'x' from shipment_line sl where sl.wh_id = ord_line.wh_id and sl.client_id = ord_line.client_id and sl.ordnum = ord_line.ordnum and sl.ordlin = ord_line.ordlin and sl.ordsln = ord_line.ordsln and sl.linsts != 'B')] } else { [select ord_line.* from distro, ord_line where distro.trknum = @trknum and distro.wh_id = @wh_id and distro.client_id = ord_line.client_id and distro.wh_id = ord_line.wh_id and distro.distro_id = ord_line.distro_id and not exists (select 'x' from shipment_line sl where sl.wh_id = ord_line.wh_id and sl.client_id = ord_line.client_id and sl.ordnum = ord_line.ordnum and sl.ordlin = ord_line.ordlin and sl.ordsln = ord_line.ordsln and sl.linsts != 'B')] }","","R"
"DISPATCHED-RCV-TRUCK-2",3,3,"DISTRO","if (dbtype = 'ORACLE') { [select distro.*, distro.rowid from distro where trknum = @trknum and wh_id = @wh_id] } else { [select distro.* from distro where trknum = @trknum and wh_id =@wh_id] }","","R"
"DISPATCHED-RCV-TRUCK-2",4,4,"RCVINV","if (dbtype = 'ORACLE') { [select rcvinv.*, rcvinv.rowid from rcvinv where trknum = @trknum and wh_id = @wh_id] } else { [select rcvinv.* from rcvinv where trknum = @trknum and wh_id =@wh_id] }","","R"
"DISPATCHED-RCV-TRUCK-2",5,5,"RCVLIN","if (dbtype = 'ORACLE') { [select rcvlin.*, rcvlin.rowid from rcvlin where trknum = @trknum and wh_id = @wh_id] } else { [select * from rcvlin where trknum = @trknum and wh_id = @wh_id] }","","R"
"DISPATCHED-RCV-TRUCK-2",6,6,"LOCMST","if (dbtype = 'ORACLE') { [select locmst.*, locmst.rowid from locmst where stoloc = @trknum and wh_id = @wh_id] } else { [select * from locmst where stoloc = @trknum and wh_id = @wh_id] }","","R"
"DISPATCHED-RCV-TRUCK-2",7,7,"INB_SERV_RCVINV","if (dbtype = 'ORACLE') { [select inb_serv_rcvinv.rowid, inb_serv_rcvinv.* from inb_serv_rcvinv where inb_serv_rcvinv.trknum = @trknum and inb_serv_rcvinv.wh_id = @wh_id] } else { [select inb_serv_rcvinv.* from inb_serv_rcvinv where inb_serv_rcvinv.trknum = @trknum and inb_serv_rcvinv.wh_id = @wh_id] }","","R"
"DISPATCHED-RCV-TRUCK-2",8,8,"INB_SERV_RCVLIN","if (dbtype = 'ORACLE') { [select inb_serv_rcvlin.rowid, inb_serv_rcvlin.* from inb_serv_rcvlin where inb_serv_rcvlin.trknum = @trknum and inb_serv_rcvlin.wh_id = @wh_id] } else { [select inb_serv_rcvlin.* from inb_serv_rcvlin where inb_serv_rcvlin.trknum = @trknum and inb_serv_rcvlin.wh_id = @wh_id] }","","R"
"DISPATCHED-RCV-TRUCK-2",9,9,"POWERUNIT","if (dbtype = 'ORACLE') { [select powerunit.rowid, powerunit.* from powerunit, trlr where trlr.powerunit_id = powerunit.powerunit_id and powerunit_sts = 'D' and trlr.trlr_id = @trlr_id] } else { [select powerunit.* from powerunit, trlr where trlr.powerunit_id = powerunit.powerunit_id and powerunit_sts = 'D' and trlr.trlr_id = @trlr_id] }","","R"
"DISPATCHED-RCV-TRUCK-P",0,0,"TRLR","if (dbtype = 'ORACLE') { [select trlr.rowid, trlr.* from trlr,rcvtrk where trlr.trlr_id = rcvtrk.trlr_id and rcvtrk.trknum = @trknum] } else { [select trlr.* from trlr,rcvtrk where trlr.trlr_id = rcvtrk.trlr_id and rcvtrk.trknum = @trknum] }","","I"
"DISPATCHED-RCV-TRUCK-P",1,1,"ORD","if (dbtype = 'ORACLE') { [select ord.*, ord.rowid from distro, ord_line, ord where distro.trknum = @trknum and distro.wh_id = @wh_id and distro.client_id = ord_line.client_id and distro.wh_id = ord_line.wh_id and distro.distro_id = ord_line.distro_id and ord_line.wh_id = ord.wh_id and ord_line.ordnum = ord.ordnum and ord_line.client_id = ord.client_id and not exists (select 'x' from shipment_line sl where sl.wh_id = ord_line.wh_id and sl.client_id = ord_line.client_id and sl.ordnum = ord_line.ordnum and sl.ordlin = ord_line.ordlin and sl.ordsln = ord_line.ordsln and sl.linsts != 'B')] } else { [select ord.* from distro, ord_line, ord where distro.trknum = @trknum and distro.wh_id = @wh_id and distro.client_id = ord_line.client_id and distro.wh_id = ord_line.wh_id and distro.distro_id = ord_line.distro_id and ord_line.wh_id = ord.wh_id and ord_line.ordnum = ord.ordnum and ord_line.client_id = ord.client_id and not exists (select 'x' from shipment_line sl where sl.wh_id = ord_line.wh_id and sl.client_id = ord_line.client_id and sl.ordnum = ord_line.ordnum and sl.ordlin = ord_line.ordlin and sl.ordsln = ord_line.ordsln and sl.linsts != 'B')] }","","R"
