job_id,role_id,name,enabled,type,command,log_file,trace_level,overlap,schedule,start_delay,timer,grp_nam
"INV-ADJ-DAY","","Play Adjustment After Daily Work",0,"cron","[select wh_id from wh] | play adjustments where wh_id = @wh_id catch(-1403)","$LESDIR/log/inv_adj_day.log","",0,"0 0 1 * * ?",0,0,"dcs_data"
"INV-AGE","","Processes Automated Aging Of Inventory Based On The Aging Profile",0,"cron","process inventory aging","$LESDIR/log/inv_age.log","",0,"0 0 1 * * ?",0,0,"dcs_data"
"INVAVAILSTAT","","create available inventory stats",0,"cron","list warehouses | create available inventory stats where wh_id = @wh_id","$LESDIR/log/invavailstat.log","",0,"0 0 1 * * ?",0,0,"dcs_data"
"INV-RECON","","Auto Play Inventory Reconciliation",0,"cron","play inventory reconciliation","$LESDIR/log/inv-recon.log","",0,"0 0 1 * * ?",0,0,"dcs_data"
"INV-SNAP","","Generates Inventory Snapshot Records For Every Part",0,"cron","generate inventory snapshot","$LESDIR/log/inv_snapshot.log","",0,"0 0 0 ? * 7",0,0,"dcs_data"
"LOG-BLOCKING-LOCKS-AND-PROBES-DATA","","LOG-BLOCKING-LOCKS-AND-PROBES-DATA",0,"cron","generate support zip files where alwaysCollect = 0 and filesToGenerate = 'probes.csv;database-connections.csv;sessions.csv;thread-cpu-report.txt;native-processes.csv;blocking-locks.csv'","","",0,"0 */1 * ? * *",0,0,""
"LOG-PROBLEM-QUERY-AND-OTHER-SUPPORT-ZIP-DATA","","LOG-PROBLEM-QUERY-AND-OTHER-SUPPORT-ZIP-DATA",0,"cron","generate support zip files where alwaysCollect = 1 and filesToGenerate = '{group=com.redprairie.moca, type=SQL-Executions, name=all-requests-timer}.csv;{group=com.redprairie.moca, type=SQL-Executions, name=result-set-sizes}.csv;{group=com.redprairie.moca, type=SQL-Executions, name=slowest-queries}.csv'","","",0,"0 0 */2 ? * *",0,0,""
"LOG-REGISTRY-JOBS-HEALTH-CHECKS","","LOG-REGISTRY-JOBS-HEALTH-CHECKS",0,"cron","generate support zip files where alwaysCollect = 1 and healthCheck = true and filesToGenerate = 'jobs.csv;tasks.csv;registry;health-checks.csv'","","",0,"0 0 0 ? * * *",0,0,""
"LOW-ASSET-ALERT","","Processes The EMS Alerts For Locations With Assets Less Than The Minimum Stocking Level",0,"cron","list warehouses | process ems event for low assets at location where wh_id = @wh_id","$LESDIR/log/low_asset_alert.log","",0,"0 0 0 * * ?",0,0,"dcs_data"
"OUTBOUND-WORK-SEQUENCING","","Unlocks work to Ship staging by Outbound Work Sequence",0,"timer","list warehouses | process outbound work sequence where wh_id = @wh_id","$LESDIR/log/process_outbound_work_sequence.log","",0,"",0,600,"dcs_data"
"PARCEL-SHP-VALIDATION","","Parcel Shipment Validation",0,"cron","job parcel shipment validation where numofthreads = 20","$LESDIR/log/parcelshpvalidation.log","",0,"0 0 * ? * *",0,0,"dcs_data"
"PCKRELMGR","","Pick Release Manager",1,"timer","job pick release manager","$LESDIR/log/pckrelmgr.log","",0,"",0,60,"dcs_data"
"PCKRSVMGR","","Pick Reservation Manager",0,"timer","job pick reservation manager","$LESDIR/log/pckrsvmgr.log","",0,"",0,120,"dcs_data"
"PICKSUMMARYBYHOUR","","create pick summary by hour",1,"cron","list warehouses | create pick summary by hour where wh_id = @wh_id","$LESDIR/log/picksummarybyhour.log","",0,"0 0 * ? * *",0,0,"dcs_data"
"PROCESS-ADV-ALLOC-ROUTE","","Process Advance Allocation Routes",0,"timer","list warehouses | process advanced allocation for routes where wh_id=@wh_id catch(-1403)","$LESDIR/log/adv_alloc_routes.log","",0,"",60,3600,"dcs_data"
"PROCESS-AUTO-ALLOCATION","","Process Auto Allocation",1,"cron","list warehouses /*| create shipments for sequence orders catch(@?)*/ | process auto allocation where oprmod = 'S' and rulmod = 'B' and wh_id = @wh_id","$LESDIR/log/process_auto_allocation.log","",0,"0 0/10 * ? 1-12 1-7 *",0,0,"dcs_data"
"PROCESS-CSGN","","Process Consigned Inventory",0,"cron","list warehouses | process scheduled ownership change where wh_id=@wh_id","$LESDIR/log/process_csgn.log","",0,"0 0 * * *",0,0,"dcs_data"
"PROCESS-DFRD-LMLE","","Process Labor Work Estimates",0,"cron","execute deferred commands where exec_typ='LMLE' and delflg = 1","$LESDIR/log/proc_dfrd_lmle.log","",0,"0 0,5,10,15,20,25,30,35,40,45,50,55 * * * ?",0,0,"dcs_data"
"PROCESS-PIP-SCHBAT","","Generate PIP Emergency Replenishment",0,"cron","process pip emergency replenishment","$LESDIR/log/pip_schbat.log","",0,"0 0,5,10,15,20,25,30,35,40,45,50,55 * * * ?",0,0,"dcs_data"
"PROCESS-RCV-PLAN","","Process Receive Plan",0,"timer","list warehouses | process lms planning for receive trucks where wh_id = @wh_id","$LESDIR/log/process_rcv_plan.log","",0,"",1800,1800,"dcs_data"
"PROCESS-USR-AUTOLOAD-LPN","","Process usr autoload lpn",0,"timer","list warehouses | process usr auto load of lpn","$LESDIR/log/usr_autoload_lpn_process.log","",0,"",60,600,"dcs_data"
"PROCESS-WKO-ADVREL","","Any Work Order With Auto Release Pick On With Picks In Pending Or Hold Status Will Be Automatically Released Based On The Auto Release Pick Date",0,"cron","process advanced pick release for work order","$LESDIR/log/wko_adv_pick_rel.log","",0,"0 0,5,10,15,20,25,30,35,40,45,50,55 * * * ?",0,0,"dcs_data"
"PUR-DIRS","","Purge Directories",1,"cron","purge directories","$LESDIR/log/purge_dirs.log","",0,"0 0 3 ? * *",0,0,"sal_data"
"PURGE-ALLOC-RULES","","Purges Unused Allocation Rules",1,"cron","list warehouses | purge allocation rule where wh_id = @wh_id","$LESDIR/log/purge_allocation_rules.log","",0,"0 30 1 * * ?",0,0,"dcs_data"
"PURGE-ALLOC-STATS","","Purges allocation statistics",0,"cron","list warehouses | purge allocation stats where wh_id = @wh_id and dayold = 7","","",0,"0 0 1 * * ?",0,0,"dcs_data"
"PURGE-ASYNC-RESOURCE","","Purges Asynchronous Resources",1,"cron","purge asynchronous resources where dayold = 7","","",0,"0 0 * * * ?",0,0,"dcs_data"
"PURGE-CANCEL-CNT","","Purges Cancelled Counts",0,"cron","purge cancelled counts where dayold = 30","$LESDIR/log/purge_cancel_cnt.log","",0,"0 0 17 ? * 6",0,0,"dcs_data"
"PURGE-CANCEL-RPL","","Purges Cancelled Replenishment Picks",1,"cron","purge cancelled replenishment picks where dayold = 30","$LESDIR/log/purge_cancel_repln.log","",0,"0 30 1 * * ?",0,0,"dcs_data"
"PURGE-CUST-CONSIGNMENTS","","Purges Customs Consignments",0,"cron","purge customs consignments where dayold = 30","$LESDIR/log/purge_cust_consign.log","",0,"0 45 1 * * ?",0,0,"dcs_data"
"PURGE-CUSTOMS-RTTN","","Purges old Customs Rotations whose used flag is 'Y'",1,"cron","list warehouses | purge customs rotations where wh_id = @wh_id","$LESDIR/log/purge_customs_rotations.log","",0,"0 30 1 * * ?",0,0,"dcs_data"
"PURGE-DAILY-TRN","","Purges Daily Transactions",0,"cron","purge daily transaction table where dayold = 30","$LESDIR/log/purge_dlytrn.log","",0,"0 45 1 * * ?",0,0,"dcs_data"
"PURGE-EXHRS","","Purges Any Exception Hours Sets Configured As Temporary That Are Not Being Referenced By An Address Transportation Operation",1,"cron","purge exception hours set","$LESDIR/log/purge_exhrs.log","",0,"0 46 23 * * ?",0,0,"dcs_data"
"PURGE-INV-ADJ","","Purges Inventory In An Adjustment Area",1,"cron","purge adjusted inventory where dayold = 2","$LESDIR/log/purge_invadj.log","",0,"0 0 5 ? * 1",0,0,"dcs_data"
"PURGE-JOB-EXECUTIONS","","MOCA Job Execution Purger",1,"cron","remove job execution where start_dte < sysdate - 7","","",0,"0 0 9 ? * *",0,0,"moca_data"
"PURGE-MANCNTDIS","","Purges Manual Count Discrepancies",0,"cron","purge manual count discrepancies where dayold = 1","$LESDIR/log/purge_mancntdis.log","",0,"0 0,5,10,15,20,25,30,35,40,45,50,55 * * * ?",0,0,"dcs_data"
"PURGE-OPHRS","","Purges Any Address Status Tolerance Sets Configured As Temporary That Are Not Being Referenced By An Address Transportation Operation",1,"cron","purge operational hours set","$LESDIR/log/purge_ophrs.log","",0,"0 47 23 * * ?",0,0,"dcs_data"
"PURGE-ORDER-ACT","","Purges Order Activity",0,"cron","purge order activity where dayold = 30","$LESDIR/log/purge_ordact.log","",0,"0 30 1 * * ?",0,0,"dcs_data"
"PURGE-ORPHAN-TRLR","","Purges Transport Equipments That Have Been Dispatched, But Have Never Had Carrier Loads Or Planned Inbound Orders Tied To Them",0,"cron","purge orphan trailers where dayold = 30","$LESDIR/log/purge_orphan_trlr.log","",0,"0 30 1 * * ?",0,0,"dcs_data"
"PURGE-RCV-ITEM-FTP","","Purging Receiving Item Footprint",0,"cron","list warehouses | [select * from prtftp where rcvftp_flg=1 and defftp_flg=0 and wh_id=@wh_id and not exists (select 1 from invdtl where ftpcod=prtftp.ftpcod and prtnum=prtftp.prtnum and prt_client_id=prtftp.prt_client_id and wh_id=prtftp.wh_id)]catch(-1403)|if (@? = 0) { remove part footprint where ftpcod=@ftpcod and prtnum=@prtnum and prt_client_id=@prt_client_id and wh_id=@wh_id}","$LESDIR/log/purge_rcv_item_ftp.log","",0,"0 0 0 L */3 ?",0,0,"dcs_data"
"PURGE-REPL-LINK","","Purge Replenishment Links",0,"cron","purge replenishment link","","",0,"0 0 1 ? * 1",0,0,"dcs_data"
"PURGE-REPORT-BOOKMARKS","","Purge Report Bookmarks",0,"cron","purge report bookmarks where bookmark_expiration_days=90","$LESDIR/log/purge_report_bookmarks.log","",0,"0 0 1 * * ?",0,0,"reporting_data"
"PURGE-RPL-ALLOC-LOC-LOG","","Purges Failed Allocate Location Logs during Allocating Replenishment",0,"cron","purge replenishment allocate location log where dayold = 30","","",0,"0 0 1 * * ?",0,0,"dcs_data"
"PURGE-SHIPPED-LPN-ACT","","Purges Shipped Lpn Activities",0,"cron","purge shipped lpn activity table where dayold = 30","$LESDIR/log/purge_shipped_lpn_act.log","",0,"0 45 1 * * ?",0,0,"dcs_data"
"PURGE-TASK-EXECUTIONS","","MOCA Task Execution Purger",1,"cron","remove task execution where start_dte < sysdate - 7","","",0,"0 0 4 ? * *",0,0,"moca_data"
"PURGE-TRN-ERR-INFO","","Purges transaction errors information",0,"cron","purge transaction error information where dayold = 30 and prcsd_flg = 1","","",0,"0 30 1 * * ?",0,0,"dcs_data"
"PURGE-UOM-PICK-EXCEPTIONS","","Purges UOM pick exceptions",0,"cron","purge uom pick exceptions where dayold = 30","","",0,"0 0 1 * * ?",0,0,"dcs_data"
"PURGE-WCS-DISCREPANCIES","","Purging WCS Discrepancies",0,"cron","list warehouses | purge wcs discrepancies where wh_id = @wh_id","$LESDIR/log/purge_wcs_disc.log","",0,"0 0 1 ? * 1",0,0,"dcs_data"
"PURGE-WEB-PERF","","Purging web performance entries",1,"cron","purge web perf resources where dayold=.5","$LESDIR/log/purge_web_perf.log","",0,"0 0 * ? * *",0,0,"dcs_data"
"PUR-PRONUM","","Purge Used PRO Number Blocks",0,"cron","purge used pro number blocks where daysold = 30.0","$LESDIR/log/purge_pronum.log","",0,"0 45 23 * * ?",0,0,"sal_data"
"PUR-SYSAUD","","Purge System Audit",1,"cron","purge system audit records","$LESDIR/log/purge_sysaud.log","",0,"0 0 23 * * ?",0,0,"sal_data"
"RECALC-VELZON","","Recalculates the Item Velocities",0,"cron","recalculate item velocities","$LESDIR/log/recalc_itemvel.log","",0,"0 0 0 15 * ?",0,0,"dcs_data"
"RECEIVING-SNAPSHOT","","Receiving Snapshot",1,"cron","list warehouses | create current receiving snapshot for warehouse where wh_id = @wh_id","","",0,"0 0,30 * * * ?",0,0,"dcs_data"
"REL-PICKS","","Release Picks Based On Labor Planning Policy",1,"cron","list warehouses | release picks by dispatch time where wh_id = @wh_id","$LESDIR/log/rel_picks.log","",0,"0 0 1 * * ?",0,0,"dcs_data"
"REPLENMGR","","Replenishment Manager",0,"timer","job emergency replenishment manager","$LESDIR/log/replenmgr.log","",0,"",0,300,"dcs_data"
"ReportPurge","","Purge Reports",1,"cron","purge moca report archive files catch(501, -1403)","$LESDIR/log/ReportPurge.log","",0,"0 3 * * * ?",0,0,"mocarpt_data"
"RESERVE_NEXT_LOCATION","","Reserve the next locatoin for load",0,"timer","process failed inventory reservation","$LESDIR/log/reserve_next_location.log","",0,"",60,120,"dcs_data"
"RFID-MISSING-TAGS","","Processes The EMS Alerts For Trailers With RFID Tags In The Yard That Are Missing From The Roll Call",0,"cron","list warehouses | process missing rfid tags where wh_id = @wh_id","$LESDIR/log/rfid_miss_tag.log","",0,"0 20 * * * ?",0,0,"dcs_data"
"RFID-ROLL-CALL","","Executes The Roll Call For Trailers With RFID tags",0,"cron","list warehouses | process roll call where wh_id = @wh_id","$LESDIR/log/rfid_roll_call.log","",0,"0 0 0 * * ?",0,0,"dcs_data"
"SCHAGT-1","","Deletes Entries from Discrete table",1,"cron","Purge Discrete Details","","",0,"0 10 1 * * ? *",0,0,"lm_data"
"SCHAGT-10","","Deletes Planning assignments",1,"cron","Purge Planning Assignments","","",0,"0 15 1 * * ? *",0,0,"lm_data"
"SCHAGT-11","","Sends an alert to EMS for Low User Performance",1,"cron","Raise EMS Event For Low Performance","","",0,"0 0 2 * * ? *",0,0,"lm_data"
"SCHAGT-12","","Deletes entries from schedule history tables",1,"cron","Purge Schedule History","","",0,"0 57 1 * * ? *",0,0,"lm_data"
"SCHAGT-13","","Deletes Entries from KVI_SUMMARY_HST and KVI_ADJUSTMENTS_HST tables",1,"cron","Purge Assignments History","","",0,"0 5 1 * * ? *",0,0,"lm_data"
"SCHAGT-2","","Deletes Entries from Process_log table",1,"cron","Purge Process Log","","",0,"0 20 1 * * ? *",0,0,"lm_data"
"SCHAGT-3","","Deletes Entries from EMP_SCHED_LINK",1,"cron","Purge User Schedules","","",0,"0 25 1 * * ? *",0,0,"lm_data"
"SCHAGT-4","","Deletes Entries from JOBCODE_HST,JOB_CODE_MAPPING_HST and JOBCODE_KVI_HST tables",1,"cron","Purge Jobcode History","","",0,"0 30 1 * * ? *",0,0,"lm_data"
"SCHAGT-5","","Deletes Entries from KVI_SUMMARY,KVI_MERGED,KVI_ADJUSTMENTS and DISCRETE tables",1,"cron","Purge Assignments","","",0,"0 5 1 * * ? *",0,0,"lm_data"
"SCHAGT-6","","Deletes Entries from the Import and Export directories",1,"cron","Purge Import And Export","","",0,"0 40 1 * * ? *",0,0,"lm_data"
"SCHAGT-7","","Deletes InActive Users who do not have assignments",1,"cron","Purge Employees","","",0,"0 45 1 * * ? *",0,0,"lm_data"
"SCHAGT-9","","Deletes entries from pay table",1,"cron","Purge Pays","","",0,"0 50 1 * * ? *",0,0,"lm_data"
"SCHAGT-CT-EMS1","","Checks for missing Clock Punches and sends an EMS alert when found.",0,"cron","raise ems event for missing punch","","",0,"30 2 * * * ?",0,0,"comptrak_data"
"SCHAGT-CT-EMS2","","Checks for punched-in users that are not currently Active and sends an EMS alert when found.",0,"cron","raise ems event for punchin no active","","",0,"35 2 * * * ?",0,0,"comptrak_data"
"SCHAGT-CT-EMS3","","Checks for scheduled users not punched in and sends an EMS alert when found.",0,"cron","raise ems event for sched no punchin","","",0,"40 2 * * * ?",0,0,"comptrak_data"
"SCHAGT-CT-EMS4","","Checks for Active users that have not punched-in and sends an EMS alert when found.",0,"cron","raise ems event for signon no punchin","","",0,"45 2 * * * ?",0,0,"comptrak_data"
"SCHAGT-CT-PPC","","Creates Pay Periods",0,"cron","create pay_periods where datetime = sysdate and num_days = 30","","",0,"0 1 0 * * ?",0,0,"comptrak_data"
"SCHAGT-CT-PRC-TIME","","Process and create timeblocks for last pay period",0,"cron","calculate payroll where datetime = sysdate + 1","","",0,"0 1 1 * * ?",0,0,"comptrak_data"
"SCHAGT-CT-PURBANK","","Deletes Non-Worked Time Bank user assignments",0,"cron","purge users from non worked time bank","","",0,"18 2 * * * ?",0,0,"comptrak_data"
"SCHAGT-CT-PURBNKH","","Deletes Non-Worked Time Bank history data",0,"cron","purge non worked time bank history","","",0,"20 2 * * * ?",0,0,"comptrak_data"
"SCHAGT-CT-PURCPH","","Deletes Clock Punch History data",1,"cron","purge clock punch history","","",0,"0 22 2 * * ? *",0,0,"lm_data"
"SCHAGT-CT-PURDIF","","Delete Differential data",0,"cron","purge differential","","",0,"24 2 * * * ?",0,0,"comptrak_data"
"SCHAGT-CT-PURDIH","","Delete Differential history data",0,"cron","purge differential history","","",0,"26 2 * * * ?",0,0,"comptrak_data"
"SCHAGT-CT-PURHOL","","Deletes Entries from holiday_setup table and recreates annual holidays",0,"cron","purge holidays","","",0,"28 2 * * * ?",0,0,"comptrak_data"
"SCHAGT-CT-PUROTH","","Deletes OT Holiday history data",0,"cron","purge ot holiday history","","",0,"30 2 * * * ?",0,0,"comptrak_data"
"SCHAGT-CT-PUROVH","","Deletes Overtime history data",0,"cron","purge overtime history","","",0,"32 2 * * * ?",0,0,"comptrak_data"
"SCHAGT-CT-PURPAY","","Deletes Payroll data",0,"cron","purge payroll","","",0,"10 2 * * * ?",0,0,"comptrak_data"
"SCHAGT-CT-PURPCH","","Deletes Pay Class History data",1,"cron","purge pay class history","","",0,"0 34 2 * * ? *",0,0,"lm_data"
"SCHAGT-CT-PURPHT","","Deletes Payroll history data",0,"cron","purge payroll history","","",0,"15 2 * * * ?",0,0,"comptrak_data"
"SCHAGT-CT-PURWGE","","Deletes Wage Scale data",0,"cron","purge wage scale","","",0,"36 2 * * * ?",0,0,"comptrak_data"
"SCHAGT-CT-PURWHST","","Deletes Wage Scale and User Wage Scale history data",0,"cron","purge wage history","","",0,"38 2 * * * ?",0,0,"comptrak_data"
"SCHAGT-LM-C-DID","","Calculate derived item data",0,"cron","calculate derived item data where plan_date = sysdate","","",0,"0 0 1 * * ? *",0,0,"lm_data"
"SCHAGT-LM-C-TID","","Transfer item data",0,"cron","transfer item data","","",0,"0 0 1 * * ? *",0,0,"lm_data"
"SCHAGT-LM-ENT-TA-IMP-RETR","","Retrieves Import Files for Enterprise T&A from a Shared Source",0,"cron","retrieve ent_ta import files","","",0,"* * * * * ? *",0,0,"lm_data"
"SCHAGT-LM-E-PAS","","Transfers assignments from the production to the model db",0,"cron","extract model assignments","","",0,"0 1 2 * * ? *",0,0,"lm_data"
"SCHAGT-LM-LMS-MST","","Download LMS milestone data",0,"cron","process lms mst","","",0,"0 15 2 * * ? *",0,0,"lm_data"
"SCHAGT-LM-P-IV","","Deletes entries from the item velocity table",1,"cron","purge item velocity data","","",0,"0 59 1 * * ? *",0,0,"lm_data"
"SCHAGT-LM-P-LCHST","","Deletes entries from learning_curve_hst,learning_curve_usr_hst,learning_curve_job_hst, learning_curve_scale_hst tables",1,"cron","Purge Learning Curve History","","",0,"0 15 3 * * ? *",0,0,"lm_data"
"SCHAGT-LM-P-MD","","Deletes entries from metric data table",1,"cron","Purge Metric Data","","",0,"0 10 3 * * ? *",0,0,"lm_data"
"SCHAGT-LM-P-MDHST","","Deletes entries from metric data history table",1,"cron","Purge Metric Data History","","",0,"0 15 3 * * ? *",0,0,"lm_data"
"SCHAGT-LM-P-MLSTN","","Deletes entries from milestone table",1,"cron","Purge Milestones","","",0,"0 45 2 * * ? *",0,0,"lm_data"
"SCHAGT-LM-P-MOST","","Deletes entries from most_audit table",1,"cron","purge most audit data","","",0,"0 35 1 * * ? *",0,0,"lm_data"
