pol_id,polcod,polvar,polval,srtseq,alw_mult,alw_del,ena_flg,allw_ovrd_flg,grp_nam,is_purged
"ARCHIVE-SYSTEM-INSTALLED","ARCHIVE-SYSTEM","INSTALLED","INSTALLED",0,0,0,1,0,"sal_data",0
"ARCHIVE-SYSTEM-LOCAL","ARCHIVE-SYSTEM","MISCELLANEOUS","LOCAL-ARCHIVE",0,0,0,1,0,"sal_data",0
"ARCHIVE-SYSTEM-REMOTE-HOST","ARCHIVE-SYSTEM","MISCELLANEOUS","REMOTE-HOST",0,0,0,1,0,"sal_data",0
"ARCHIVE-SYSTEM-SOURCE-NAME","ARCHIVE-SYSTEM","MISCELLANEOUS","SOURCE-NAME",0,0,0,1,0,"sal_data",0
"ARCHIVE-SYSTEM-TABLE-PREFIX","ARCHIVE-SYSTEM","MISCELLANEOUS","TABLE-PREFIX",0,0,0,1,0,"sal_data",0
"ASSET-TRACKING-INSTALLED","ASSET-TRACKING","ENABLE-SUB-ASSETS","ENABLED",0,0,0,1,1,"dcs_data",0
"AUDIT-DAYS-TO-KEEP","SYSTEM-AUDITING","INTERACTIVE-AUDITING","AUDIT-DAYS-TO-KEEP",0,0,0,1,0,"mcs_policy",0
"AUDIT-SUCCESS-ONLY","SYSTEM-AUDITING","INTERACTIVE-AUDITING","AUDIT-SUCCESS-ONLY",0,0,0,1,0,"mcs_policy",0
"AUTO-CLOSE-CONSIGNMENT","CSTMS","CSTMS-CNSGMNT","AUTO-CLOSE",0,1,1,1,1,"dcs_data",0
"AUTO-CREATE-CONSIGNMENT","CSTMS","CSTMS-CNSGMNT","AUTO-CREATE",0,0,1,1,1,"dcs_data",0
"AUTO-CREATE-LOAD-TRLR-WORK","SHIPPING","MISCELLANEOUS","CREATE-LOAD-TRAILER-WORK",0,0,0,1,1,"dcs_data",0
"AUTO-CREATE-TRLRS","SHIPPING","MISCELLANEOUS","AUTO-CREATE-TRAILERS",0,0,0,1,1,"dcs_data",0
"BULK-PICKING-ALLOCATION-COMMAND","BULK-PICKING","ALLOCATION-RULES","LINE-PRECEDENCE",0,0,0,1,1,"dcs_data",0
"BULK-PICKING-BREAK-ON-ORDERS","BULK-PICKING","ALLOCATION-RULES","MATCHING-CRITERIA-FOR-ORDER",0,0,0,1,1,"dcs_data",0
"BULK-PICKING-BREAK-ON-WORK-ORDERS","BULK-PICKING","ALLOCATION-RULES","MATCHING-CRITERIA-FOR-WORK-ORDER",0,0,0,1,1,"dcs_data",0
"BULK-PICKING-INSTALLED","BULK-PICKING","INSTALLED","INSTALLED",0,0,0,1,1,"dcs_data",0
"BULK-PICKING-THRESHOLD-PICK-RETURN-TO-STORAGE","BULK-PICKING","PICKING-RULES","THRESHOLD-PICK-RETURN-TO-STORAGE",0,0,0,1,1,"dcs_data",0
"BUNDLE-MANIFESTED-CASE-ENABLED","BUNDLING","MISCELLANEOUS","BUNDLE-MANIFESTED-CASE-ENABLED",0,0,0,1,1,"dcs_data",0
"BUNDLE-RULES","BUNDLING","BUNDLE-RULES","BREAK-ON",0,1,1,1,1,"dcs_data",0
"CANCEL-PICK-CANCEL-CODE","CANCEL-PICK","MISCELLANEOUS","CANCEL_CODE",0,1,1,1,1,"dcs_data",0
"CANCEL-PICK-CANCEL-SINGLE-METERED-PICK","CANCEL-PICK","MISCELLANEOUS","CANCEL-SINGLE-METERED-PICK",0,1,1,1,1,"dcs_data",0
"CANCEL-PICK-COMMIT-DURING-PROCESSING","CANCEL-PICK","MISCELLANEOUS","COMMIT-DURING-PROCESSING",0,1,1,1,1,"dcs_data",0
"CANCEL-PICK-SKIP-LIMIT","CANCEL-PICK","MISCELLANEOUS","SKIP_LIMIT",0,1,1,1,1,"dcs_data",0
"CANONICAL-3PL-DEFAULT-CANONICAL-CLIENT","CANONICAL","THIRD-PARTY-LOGISTICS","DEFAULT-CANONICAL-CLIENT",0,0,0,1,1,"dcs_data",0
"CANONICAL-APPOINTMENT-UPDATE-MESSAGE","CANONICAL","APPOINTMENT-UPDATE-MESSAGE","RECEIVER",0,0,0,1,1,"dcs_data",0
"CANONICAL-BLIND-RECEIPT","CANONICAL","BLIND-RECEIPT","RECEIVER",0,0,0,1,1,"dcs_data",0
"CANONICAL-DA-INCLUDE-SHIPLINE-ADDRESS","CANONICAL","DESPATCH-ADVICE","INCLUDE-SHIPLINE-ADDRESS",0,0,0,1,1,"dcs_data",0
"CANONICAL-DESPATCH-ADVICE","CANONICAL","DESPATCH-ADVICE","RECEIVER",0,0,0,1,1,"dcs_data",0
"CANONICAL-DESPATCH-ADVICE-PARCEL","CANONICAL","DESPATCH-ADVICE-PARCEL","RECEIVER",0,0,0,1,1,"dcs_data",0
"CANONICAL-GS1-COD-MAP-DOCK-TYPE","CANONICAL","GS1-COD-MAP","DOCK-TYPE",0,1,1,1,1,"dcs_data",0
"CANONICAL-GS1-COD-MAP-FRT-COD","CANONICAL","GS1-COD-MAP","FRT-COD",0,1,1,1,1,"dcs_data",0
"CANONICAL-GS1-COD-MAP-INVSTS-COD","CANONICAL","GS1-COD-MAP","INVSTS-COD",0,1,1,1,1,"dcs_data",0
"CANONICAL-GS1-COD-MAP-ORD-CHG-REACOD","CANONICAL","GS1-COD-MAP","ORD-CHG-REACOD",0,1,1,1,1,"dcs_data",0
"CANONICAL-GS1-COD-MAP-ORD-PRIORITY","CANONICAL","GS1-COD-MAP","ORD-PRIORITY",0,1,1,1,1,"dcs_data",0
"CANONICAL-GS1-COD-MAP-RET-COND","CANONICAL","GS1-COD-MAP","RET-COND",0,1,1,1,1,"dcs_data",0
"CANONICAL-GS1-COD-MAP-RET-REASON-CODE","CANONICAL","GS1-COD-MAP","RET-REASON-CODE",0,1,1,1,1,"dcs_data",0
"CANONICAL-GS1-COD-MAP-SERV-COND-COD","CANONICAL","GS1-COD-MAP","SERV-COND-COD",0,1,1,1,1,"dcs_data",0
"CANONICAL-INSTALLED","CANONICAL","INSTALLED","INSTALLED",0,0,0,1,1,"dcs_data",0
"CANONICAL-ORDER-UPDATE-MESSAGE","CANONICAL","ORDER-UPDATE-MESSAGE","RECEIVER",0,0,0,1,1,"dcs_data",0
"CANONICAL-SHIPMENT","CANONICAL","SHIPMENT","CONSOLIDATE-TM-SHIPMENT",0,0,0,1,1,"dcs_data",0
"CANONICAL-WAREHOUSING-OUTBOUND-INSTRUCTION","CANONICAL","WAREHOUSING-OUTBOUND-INSTRUCTION","RECEIVER",0,0,0,1,1,"dcs_data",0
"CANONICAL-WAREHOUSING-OUTBOUND-NOTIFICATION","CANONICAL","WAREHOUSING-OUTBOUND-NOTIFICATION","RECEIVER",0,0,0,1,1,"dcs_data",0
"CANONICAL-WAREHOUSING-OUTBOUND-NOTIFICATION-STATUS","CANONICAL","WAREHOUSING-OUTBOUND-NOTIFICATION","WON_STATUS",0,0,0,1,1,"dcs_data",0
"CANONICAL-WON-INCLUDE-SHIPMENT-LINE","CANONICAL","WAREHOUSING-OUTBOUND-NOTIFICATION","INCLUDE-SHIPMENT-LINE",0,0,0,1,1,"dcs_data",0
"CANT-MOD-SHIP-AFTER-INPR","SHIPPING","MISCELLANEOUS","CANT-MODIFY-SHIPMENT-AFTER-INPR",0,1,1,1,1,"dcs_data",0
"CANT-MOD-SHIP-AFTER-LOADING","SHIPPING","MISCELLANEOUS","CANT-MODIFY-SHIPMENT-AFTER-LOADING",0,1,1,1,1,"dcs_data",0
"CARTONIZATION-BREAK-ON","CARTONIZATION","RELEASE-RULES","BREAK-ON",0,1,0,1,1,"dcs_data",0
"CARTONIZATION-CARTONIZE-METHOD","CARTONIZATION","RELEASE-RULES","CARTONIZE-METHOD",0,0,0,1,1,"dcs_data",0
"CARTONIZATION-INSTALLED","CARTONIZATION","INSTALLED","INSTALLED",0,0,0,1,1,"dcs_data",0
"CARTONIZATION-MAX-BOXES-PER-CARTON","CARTONIZATION","RELEASE-RULES","MAX-BOXES-PER-CARTON",0,0,0,1,1,"dcs_data",0
"CARTONIZATION-ORDER-BY-COLUMNS","CARTONIZATION","RELEASE-RULES","ORDER-BY-COLUMNS",0,0,0,1,1,"dcs_data",0
"CARTONIZATION-PICK-TO-BOX-LOAD-LEVEL","CARTONIZATION","RELEASE-RULES","PICK-TO-BOX-LOAD-LEVEL",0,0,0,1,1,"dcs_data",0
"CARTONIZATION-PREVENT-RELEASE-TO-DEFAULT-CARTON","CARTONIZATION","RELEASE-RULES","PREVENT-RELEASE-TO-DEFAULT-CARTON",0,0,0,1,1,"dcs_data",0
"CARTONIZATION-RELEASE-BY-GROUPING","CARTONIZATION","RELEASE-RULES","RELEASE-BY-GROUPING",0,0,0,1,1,"dcs_data",0
"CARTONIZATION-SPLIT-QTYS-ACROSS-CARTONS","CARTONIZATION","RELEASE-RULES","SPLIT-QTYS-ACROSS-CARTONS",0,0,0,1,1,"dcs_data",0
"CARTONIZATION-USE-CUSTOM-RF-FORM","CARTONIZATION","RELEASE-RULES","USE-CUSTOM-RF-FORM",0,0,0,1,1,"dcs_data",0
"CARTONIZATION-USE-SENSITIVE-CARTONS","CARTONIZATION","RELEASE-RULES","USE-SENSITIVE-CARTONS",0,0,0,1,1,"dcs_data",0
"CHECK-INV-HOLD","SHIPPING","MISCELLANEOUS","CHECK-INV-HOLD",0,1,1,1,1,"dcs_data",0
"CHECK-INVSTS","SHIPPING","MISCELLANEOUS","CHECK-INVSTS",0,1,1,1,1,"dcs_data",0
"CLEAR-DRIVER-DATA-ENABLED","SYSTEM-SECURITY","DATA-PROTECTION","CLEAR-DRIVER-DATA-ENABLED",0,0,0,1,0,"dcs_data",0
"CLEAR-PERSONAL-DATA-ENABLED","SYSTEM-SECURITY","DATA-PROTECTION","CLEAR-PERSONAL-DATA-ENABLED",0,0,0,1,0,"dcs_data",0
"CLIENT-CACHE","SYSTEM-INFORMATION","CLIENT_CACHE","DEFAULT",0,0,0,1,0,"mcs_policy",0
"CLIENT-HELP-BASEURL","SYSTEM-INFORMATION","CLIENT-HELP","BASEURL",0,0,0,1,0,"mcs_policy",0
"CLIENT-HOOKS","SYSTEM-INFORMATION","CLIENT-HOOKS","",0,1,1,1,0,"mcs_policy",0
"CLIENT-UPDATE-ENABLED-RU","SYSTEM-INFORMATION","CLIENT-UPDATE","ENABLED-RU",0,0,0,1,0,"mcs_policy",0
"CLIENT-UPDATE-PATH","SYSTEM-INFORMATION","CLIENT-UPDATE","UPDATE-PATH",0,1,1,1,0,"mcs_policy",0
"CLOSE-TRAILER-DISCREPANCIES-ROLE","CLOSE-TRAILER-DISCREPANCIES","ROLE","",0,1,1,1,1,"dcs_data",0
"COMMIT-TOP-OFF","REPLENISHMENT","TOP-OFF","COMMIT-DURING-PROCESSING",0,0,0,1,1,"dcs_data",0
"CONFIGURE-LABELS-DEFAULT","SHPADJOPR","MISCELLANEOUS","LABELS-DEFAULTS",0,0,0,1,1,"dcs_data",0
"CONFIGURE-STORAGE-LOC-ASSIGN","SHPADJOPR","MISCELLANEOUS","SELECTION-DEFAULTS",0,0,0,1,1,"dcs_data",0
"CROSS-DOCKING-DETAIL","CROSS-DOCKING","PICK-METHOD","D",0,1,1,1,1,"dcs_data",0
"CROSS-DOCKING-LOAD","CROSS-DOCKING","PICK-METHOD","L",0,1,1,1,1,"dcs_data",0
"CROSS-DOCKING-MISS-PRIORITY","CROSS-DOCKING","MISCELLANEOUS","PRIORITY",0,0,0,1,1,"dcs_data",0
"CROSS-DOCKING-SUB","CROSS-DOCKING","PICK-METHOD","S",0,1,1,1,1,"dcs_data",0
"CSTMSTYP-REQ-RCPT","CSTMS","CSTMS-CNSGMNT","CSTMSTYP-REQ-RCPT",0,0,1,1,1,"dcs_data",0
"CSTMSTYP-REQ-WKO","CSTMS","CSTMS-CNSGMNT","CSTMSTYP-REQ-WKO",0,0,1,1,1,"dcs_data",0
"CYCLE-COUNTING_BY_CATCH_QTY","CYCLE-COUNTING","MISCELLANEOUS","CATCH-QTY-COUNT",0,0,0,1,1,"dcs_data",0
"DEFAULT-LAST-ASSET-CONFIG","IDENTIFY","MISCELLANEOUS","DEFAULT-LAST-ASSET-CONFIG",0,0,0,0,1,"dcs_data",0
"DEFAULT-PASSWORD","SYSTEM-SECURITY","PASSWORD-FORMAT","DEFAULT-PASSWORD",0,0,0,1,0,"mcs_policy",0
"DEFAULT-UOM-FOR-GTIN","IDENTIFY","MISCELLANEOUS","DEFAULT-UOM-FOR-GTIN",0,0,0,0,1,"dcs_data",0
"DEF-CUST-LVL","SYSTEM-INFORMATION","CUSTOMIZATION-LEVEL","DEFAULT",0,0,0,1,0,"mcs_policy",0
"DEFER-SHIP-CHANGE-WHILE-INPR","SHIPPING","MISCELLANEOUS","DEFER-SHIPMENT-CHANGE-WHILE-INPROCESS",0,1,1,1,1,"dcs_data",0
"DEFER-TRIGGERED-REPLENISHMENTS","MOVE-INVENTORY","MISCELLANEOUS","DEFER-TRIGGERED-REPLENISHMENTS",0,0,0,1,1,"dcs_data",0
"DEF-GRP-NAM","SYSTEM-INFORMATION","MISCELLANEOUS","DEFAULT-GROUP-NAME",0,0,0,1,0,"mcs_policy",0
"DIGITAL-SIG-FILE-PATH","SYSTEM-INFORMATION","REPORTS","DIGITAL-SIGNATURE-FILE-PATH",0,0,0,1,1,"sal_data",0
"DIRECTED-WORK-PROXIMITY-ENABLED","DIRECTED-WORK","PROXIMITY","ENABLED",1,0,0,1,1,"dcs_data",0
"DIRECTED-WORK-PROXIMITY-RANDOM","DIRECTED-WORK","PROXIMITY","RANDOM",1,0,0,1,1,"dcs_Data",0
"DISABLE-REPL-DYNAMIC-PICKFACES","REPLENISHMENT","MISCELLANEOUS","DISABLE-REPL-DYNAMIC-PICKFACES",0,0,0,1,1,"dcs_data",0
"DISASSEMBLY-PROCESSING-MISC-ALLOW-SCRAP-EXCEEDED","WORK-ORDER-PROCESSING","MISCELLANEOUS","ALLOW-EXPECTED-SCRAP-EXCEEDED",0,0,0,1,1,"dcs_data",0
"DISASSEMBLY-PROCESSING-MISC-ALLOW-UNEXPECTED-PART","WORK-ORDER-PROCESSING","MISCELLANEOUS","ALLOW-UNEXPECTED-PART",0,0,0,1,1,"dcs_data",0
"DISPLAY-SUBUCC","RDTALLOPR","CLUSTER-PICK","CLUSTER-PICK-DISPLAY",0,0,0,1,1,"dcs_data",0
"DISTRO-INSTALLED","DISTRO","INSTALLED","INSTALLED",0,0,0,1,1,"dcs_data",0
"DISTRO-PRE-PROCESS","DISTRO","MISCELLANEOUS","PRE-PROCESS",0,0,0,1,1,"dcs_data",0
"DLYTRN-AUTOCOMMIT","DLYTRN","NAMED-THREADPOOL","AUTOCOMMIT",0,0,0,1,1,"dcs_data",0
"DLYTRN-BOOTSTRAP-MOCA-CONTEXT","DLYTRN","NAMED-THREADPOOL","BOOTSTRAP-MOCA-CONTEXT",0,0,0,1,1,"dcs_data",0
"DLYTRN-ENABLED","DLYTRN","NAMED-THREADPOOL","ENABLED",0,0,0,1,1,"dcs_data",0
"DLYTRN-LOGGING","DLYTRN","LOGGING","DEFAULT-MODE",0,0,0,1,1,"dcs_data",0
"DLYTRN-PROBE-REPORTING-INTERVAL-IN-SECONDS","DLYTRN","NAMED-THREADPOOL","PROBE-REPORTING-INTERVAL-IN-SECONDS",0,0,0,1,1,"dcs_data",0
"DLYTRN-SIZE","DLYTRN","NAMED-THREADPOOL","SIZE",0,0,0,1,1,"dcs_data",0
"DOCNUM-ASSIGN-LEVEL","SHIPPING","MISCELLANEOUS","DOCNUM-ASSIGNMENT-LEVELS",0,0,1,1,1,"dcs_data",0
"DOCNUM-REQ-FOR-SHIP-PAPER","SHIPPING","MISCELLANEOUS","DOCNUM-REQUIRED-FOR-PAPERWORK",0,0,0,1,1,"dcs_data",0
"DYNAMIC-SLOT-PLAN-TEMPLATE","REPLENISHMENT","MISCELLANEOUS","DYNAMIC-SLOT-PLAN-TEMPLATE",0,0,0,1,1,"dcs_data",0
"EMERGENCY-REPLENISHMENTS-INSTALLED","EMERGENCY-REPLENISHMENTS","INSTALLED","INSTALLED",0,0,0,1,1,"dcs_data",0
"EMS-DEF-LOCALE","EMS","MISCELLANEOUS","DEFAULT-LOCALE",0,0,0,1,0,"ems_data",0
"EMS-DUPLICATES","EMS","MISCELLANEOUS","CHECK-ALL-EVENTS-FOR-DUPLICATES",0,0,0,1,0,"ems_data",0
"EMS-EVENT-LIMIT","EMS","EVENTS","EMS-EVENT-LIMIT",0,0,0,1,0,"ems_data",0
"EMS-EVENTS-INT-ASYNCEVT","EMS","EVENTS-INT-ASYNCEVT","",0,1,0,1,0,"sl_data",0
"EMS-EVENTS-INT-INB_IFD","EMS","EVENTS-INT-INB_IFD","",0,1,0,1,0,"sl_data",0
"EMS-EVENTS-INT-INBOUND","EMS","EVENTS-INT-INBOUND","",0,1,0,1,0,"sl_data",0
"EMS-EVENTS-INT-OUT_IFD","EMS","EVENTS-INT-OUT_IFD","",0,1,0,1,0,"sl_data",0
"EMS-EVENTS-INT-OUTBOUND","EMS","EVENTS-INT-OUTBOUND","",0,1,0,1,0,"sl_data",0
"EMS-EVENTS-INT-TBLTOEVT","EMS","EVENTS-INT-TBLTOEVT","",0,1,0,1,0,"sl_data",0
"EMS-FILE-PATH","EMS","FILE-ATTACHMENTS","PATH",1,0,0,1,0,"ems_data",0
"EMS-FROM-EMAIL","EMS","MISCELLANEOUS","FROM-EMAIL",0,0,0,1,0,"ems_data",0
"EMS-HELD-ALERT-LIMIT","EMS","EVENTS","EMS-HELD-ALERT-LIMIT",0,0,0,1,0,"ems_data",0
"EMS-HOST","EMS","MISCELLANEOUS","HOSTNAME",0,0,0,1,0,"ems_data",0
"EMS-IM-MSG","EMS","INSTANT-MESSENGER","LEAD-MESSAGE",0,0,0,1,0,"ems_data",0
"EMS-IM-TRACING","EMS","INSTANT-MESSENGER","TRACING",0,0,0,1,0,"ems_data",0
"EMS-INSTALLED","EMS","INSTALLED","INSTALLED",0,0,0,1,0,"sal_data",0
"EMS-LMT-ITERATIONS","EMS","LIMIT-PROCESSING","ITERATIONS",0,0,0,1,0,"ems_data",0
"EMS-LMT-RAISED-EVT","EMS","LIMIT-PROCESSING","RAISED-EVENTS",0,1,1,1,0,"ems_data",0
"EMS-LMT-SEND","EMS","LIMIT-PROCESSING","SEND-ALERTS",0,0,0,1,0,"ems_data",0
"EMS-PCL-SHP-VALIDATION","EMS","EVENTS","PCL-SHP-VALIDATION",0,0,0,1,1,"dcs_data",0
"EMS-PRIME-EVENTS","EMS","MISCELLANEOUS","PRIME-EVENTS",0,0,0,1,0,"ems_data",0
"EMS-SMTP-PASSWORD","EMS","MISCELLANEOUS","SMTP-PASSWORD",0,0,0,0,0,"ems_data",0
"EMS-SMTP-PORT","EMS","MISCELLANEOUS","SMTP-PORT",0,0,0,1,0,"ems_data",0
"EMS-SMTP-USERNAME","EMS","MISCELLANEOUS","SMTP-USERNAME",0,0,0,1,0,"ems_data",0
"EMS-SOURCE-SYSTEM","EMS","MISCELLANEOUS","SOURCE-SYSTEM",0,0,0,1,0,"sal_data",0
"EMS-TEST-UOM","EMS","EVENTS","EMS-TEST-UOM",0,0,0,1,0,"ems_data",0
"EMS-WMD-AREA-STRANDED-INVENTORY","EMS","EVENTS","WMD-AREA-STRANDED-INVENTORY",0,0,0,1,1,"dcs_data",0
"EMS-WMD-ASSET-FEATURE-OUT-OF-THRESHOLD","EMS","EVENTS","WMD-ASSET-FEATURE-OUT-OF-THRESHOLD",0,0,0,1,1,"dcs_data",0
"EMS-WMD-ASSET-UNEXPECTED-LOC","EMS","EVENTS","WMD-ASSET-UNEXPECTED-LOC",0,0,0,1,1,"dcs_data",0
